SNOMEDCTCodes,Description
289903006,Menopause present (finding)
773251000,Age at onset of menopause (observable entity)
307429007,After menopause (qualifier value)
373717006,Premature menopause (finding)
303111005,During menopause (qualifier value)
237123000,Normal menopause (finding)
20045006,Delayed menopause (finding)
276477006,Menopause finding (finding)
103610009,Abnormal presence of endometrial cells in specimen from a menopausal woman (finding)
402804002,Dermatosis of menopause (disorder)
403389006,Postmenopausal flushing (disorder)
403574001,Postmenopausal pruritus (disorder)
423478005,Difficulty managing menopause (finding)
68811000,Menopausal problem (finding)
21801002,Menopausal symptom (finding)
198436008,Menopausal flushing (finding)
161541000119104,Perimenopausal state (finding)
371036001,Postsurgical menopause (disorder)
278063007,Post-hysterectomy menopause (disorder)
313207002,Menopause education (procedure)
170961007,Menopause dietary education (procedure)
170962000,Menopause sexual education (procedure)
161712005,"Menopause, function (observable entity)"
268530007,Menopause monitoring (regime/therapy)
170950004,Menopause follow-up assessment (regime/therapy)
170953002,Menopause: bone density check (regime/therapy)
170949004,Menopause initial assessment (regime/therapy)
31351009,Postartificial menopausal syndrome (disorder)
278064001,Post-radiation menopause (disorder)
439421000,Counseling for menopause (procedure)
237138004,Menopause ovarian failure (disorder)
1287706006,Consultation for menopause (procedure)
427956008,History of normal menopause (situation)
243875009,Menopause monitoring status (finding)
170960008,Hormonal replacement therapy: combined estrogen/progestogen (finding)
170959003,Hormonal replacement therapy: unopposed estrogen (finding)
390989002,Hormone replacement therapy bleed pattern - abnormal (finding)
390991005,Hormone replacement therapy bleed pattern - no bleeding (finding)
390988005,Hormone replacement therapy bleed pattern - normal (finding)
390990006,Hormone replacement therapy bleed pattern - not relevant (finding)
464852003,Static magnetic menopause-relief plate (physical object)
309605003,Temporal periods relating to menopause (qualifier value)
1260298008,Depression following menopause (disorder)
735614005,Osteopenia following menopause (disorder)
16779841000119104,Genitourinary syndrome of menopause (disorder)
1255975008,Menopause thermal therapy wristband (physical object)
1148241000000105,Greene Climacteric Scale (assessment scale)
412894004,Menopausal profile (procedure)
198438009,Menopausal headache (disorder)
198437004,Menopausal sleeplessness (disorder)
77888002,Climacteric arthritis (disorder)
201985002,Climacteric arthritis of multiple sites (disorder)
429298008,Climacteric arthritis of spine (disorder)
201983009,Climacteric arthritis of the ankle and/or foot (disorder)
201980007,Climacteric arthritis of the hand (disorder)
201981006,Climacteric arthritis of the pelvic region and thigh (disorder)
201977006,Climacteric arthritis of the shoulder region (disorder)
123756000,Menopausal syndrome (disorder)
32369003,Menopausal osteoporosis (disorder)
1254878004,Menopausal hyperhidrosis (disorder)
198439001,Menopausal concentration lack (disorder)
201054008,Keratoderma climactericum (disorder)
198435007,"Female climacteric state, function (observable entity)"
427368007,Climacteric flushing (disorder)
1148321000000105,Assessment using Greene Climacteric Scale (procedure)
405163004,Symptom severity level: perimenopause (observable entity)
76498008,Postmenopausal state (finding)
76742009,Postmenopausal bleeding (finding)
415149004,Postmenopausal postcoital bleeding (finding)
21237001,Postmenopausal urethral atrophy (disorder)
