V2Codes,Description
1512.,Menopause
C1634,Early menopause
66U..,Menopause monitoring
66U1.,Menopause initial assessment
66U2.,Menopause follow-up assessment
66U3.,Menopause symptoms present
66U4.,"Menopause: LH, FSH checked"
66U5.,Menopause: bone density check
66U6.,HRT contraindicated
66U7.,HRT started
66UB.,HRT: unopposed oestrogen
66UC.,HRT: combined oestrog/progest
66UD.,Menopause: dietary advice
66UE.,Menopause: sexual advice
66UF.,Menopause: gen counselling
66UH.,Hormone replacement therapy bleed pattern - normal
66UI.,Hormone replacement therapy bleed pattern - abnormal
66UJ.,Hormone replacement therapy bleed pattern - not relevant
66UK.,Hormone replacement therapy bleed pattern - no bleeding
66UL.,Years on hormone replacement therapy
66UZ.,Menopause monitoring NOS
C1631,Premature menopause NOS
K5A4.,Artificial menopause state
67I1.,Advice about the menopause
N063.,Menopausal arthritis
N0630,Climacteric arthritis of unspecified site
N0631,Climacteric arthritis of the shoulder region
N0632,Climacteric arthritis of the upper arm
N0633,Climacteric arthritis of the forearm
N0634,Climacteric arthritis of the hand
N0635,Climacteric arthritis of the pelvic region and thigh
N0636,Climacteric arthritis of the lower leg
N0637,Climacteric arthritis of the ankle and foot
N0638,Climacteric arthritis of other specified site
N0639,Climacteric arthritis of multiple sites
N063z,Climacteric arthritis NOS
K5A0.,Climacteric menorrhagia
K5A2.,Menopausal or female climacteric state
K5A20,Menopausal flushing
K5A21,Menopausal sleeplessness
K5A22,Menopausal headache
K5A23,Menopausal concentration lack
K5A2z,Menopausal symptoms NOS
K5A..,Menopausal and postmenopausal disorders
K5A5.,Perimenopausal atrophic vaginitis
K5A6.,Perimenopausal menorrhagia
K5Ay.,Other menopausal and postmenopausal states
K5Az.,Menopausal and postmenopausal disorder NOS
M2110,Climacteric keratoderma
N3302,Postmenopausal osteoporosis
1583.,H/O: post-menopausal bleeding
K5A3.,Postmenopausal atrophic vaginitis
