MedCodeID,Description
4380481000006115,Subjective muscle weakness
252995016,Weakness present
254826012,O/E - paresis (weakness)
254827015,O/E - weakness
4566551000006110,On examination - paresis (weakness)
254828013,O/E - paresis
5277691000006111,Weakness of sternomastoid
5278411000006119,Truncal muscle weakness
5278421000006110,Weakness of back
5278431000006113,Proximal muscle weakness
5278441000006115,Shoulder girdle weakness
5278451000006118,Pelvic girdle weakness
5278461000006116,Distal muscle weakness
5278471000006111,Weakness of distal arms and legs
2925111000006118,Muscle strength reduced
58981000006110,Muscle weakness
2925121000006114,Decreased muscle strength
5850251000006113,Weakness of joint movement
5850741000006115,Hand muscle weakness
5887071000006118,Quadriceps weakness
5986541000006110,Calf muscle weakness
7162701000006119,Abnormal gait due to muscle weakness
7705071000006111,Muscle weakness of upper limb
7705081000006114,Muscle weakness of limb
2476475010,Loss of power in limb
250611000006117,Paralysis symptoms
372825010,Weakness of arm
372826011,Weakness of leg
317066018,Asthenia
298141000006116,Weakness - general
2718651000006117,General weakness
2718681000006113,Weakness
2718701000006111,Feeling weak
5255301000006116,Attacks of weakness
