MedCodeID,Description
9310151000006115,Myocarditis due to influenza A
9310161000006118,Myocarditis caused by influenza A
8466561000006119,Myocarditis due to scarlet fever
2677871000006113,Acute myopericarditis
12990591000006117,Myocarditis caused by 2019-nCoV (novel coronavirus)
12990611000006111,Myocarditis caused by 2019 novel coronavirus
13012251000006111,Myocarditis caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
13483851000006110,Myocarditis due to disease caused by Severe acute respiratory syndrome coronavirus 2
13483831000006115,Myocarditis due to disease caused by 2019 novel coronavirus
12990601000006113,Myocarditis caused by Wuhan 2019-nCoV (novel coronavirus)
13483861000006112,Myocarditis due to disease caused by 2019-nCoV (novel coronavirus)
13484011000006117,Myocarditis caused by 2019-nCoV (novel coronavirus)
13483821000006118,Myocarditis due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
13483841000006113,Myocarditis due to COVID-19
8045391000006112,Myocarditis due to Influenza A virus subtype H1N1
8045411000006112,Myocarditis caused by Influenza A virus subtype H1N1
8045421000006116,Myocarditis caused by H1N1 influenza
8045401000006114,Myocarditis due to H1N1 influenza
2793471000006118,Subacute interstitial myocarditis
287863017,Toxoplasma myocarditis
4775501000006112,Acute rheumatic fever with myocarditis
299567017,Acute rheumatic myocarditis
4775511000006110,Active rheumatic fever with myocarditis
299938010,Acute myocarditis associated with another disorder
299928017,Acute myocarditis in diseases EC
299929013,Acute aseptic myocarditis of the newborn
299930015,Acute myocarditis - coxsackie
299931016,Acute myocarditis - diphtheritic
299932011,Acute myocarditis - influenzal
299933018,Acute myocarditis - syphilitic
299934012,Acute myocarditis - toxoplasmosis
299935013,Acute myocarditis - tuberculous
299936014,Acute myocarditis - meningococcal
299937017,Meningococcal myocarditis
299945010,Septic myocarditis - pneumococcal
299946011,Septic myocarditis - staphylococcal
299947019,Septic myocarditis - streptococcal
4777241000006117,Sarcoid heart muscle disease
161591000006114,Sarcoid heart disease
1494958019,Sarcoid myocarditis
300221014,Rheumatoid myocarditis
2861011000006119,Myocarditis due to infectious agent
2861021000006110,Infective myocarditis
299948012,Septic myocarditis NOS
399321000006111,[X]Myocarditis in other infectious+parasitic diseases CE
5056771000006113,Q fever myocarditis
