SNOMEDCTCodes,Description
50920009,Myocarditis (disorder)
46701001,Acute myocarditis (disorder)
194943002,Acute aseptic myocarditis of the newborn (disorder)
194944008,Acute myocarditis - coxsackie (disorder)
194945009,Acute myocarditis - diphtheritic (disorder)
194950003,Acute myocarditis - meningococcal (disorder)
194948006,Acute myocarditis - toxoplasmosis (disorder)
194942007,Acute myocarditis associated with another disorder (disorder)
194947001,Acute myocarditis caused by Treponema pallidum (disorder)
30328003,Acute myoendocarditis (disorder)
11176009,Acute myopericarditis (disorder)
421929001,Myocarditis with acquired immunodeficiency syndrome (disorder)
194709000,Acute rheumatic fever with myocarditis (disorder)
427372006,Eosinophilic myocarditis (disorder)
472707009,Fetal myocarditis (disorder)
488007,Fibroid myocarditis (disorder)
60812006,Giant cell myocarditis (disorder)
91025000,Idiopathic myocarditis (disorder)
471841009,Inflammatory cardiomyopathy (disorder)
37925008,Interstitial myocarditis (disorder)
45093008,Chronic interstitial myocarditis (disorder)
18484008,Subacute interstitial myocarditis (disorder)
266238009,Isolated (Fiedler's) myocarditis (disorder)
55482007,Isolated diffuse granulomatous myocarditis (disorder)
427443009,Lymphocytic myocarditis (disorder)
74918002,Measles myocarditis (disorder)
1204460007,Myocardial dysfunction with sepsis (disorder)
72527006,Myocarditis caused by drug (disorder)
79096004,Myocarditis caused by physical agent (disorder)
88782004,Myocarditis caused by radiation (disorder)
713318009,Myocarditis co-occurrent with human immunodeficiency virus infection (disorder)
421272004,Subacute myocarditis with acquired immunodeficiency syndrome (disorder)
871640001,Myocarditis due to autoimmune disease (disorder)
61012002,Chronic myocarditis due to rheumatic heart disease (disorder)
756003,Chronic myopericarditis due to rheumatic heart disease (disorder)
55087008,Myocarditis due to chemical agent (disorder)
870301007,Myocarditis due to childhood type dermatomyositis (disorder)
1240531000000103,Myocarditis due to disease caused by severe acute respiratory syndrome coronavirus 2 (disorder)
8676001,Myocarditis due to hypersensitivity state (disorder)
1208897003,Myocarditis due to idiopathic hypereosinophilic syndrome (disorder)
22653005,Myocarditis due to infectious agent (disorder)
64043005,Bacterial myocarditis (disorder)
26117009,Diphtheritic myocarditis (disorder)
91468009,Meningococcal myocarditis (disorder)
460317007,Myocarditis caused by Genus Rickettsia (disorder)
1052287002,Myocarditis caused by Neisseria gonorrhoeae (disorder)
460352004,Myocarditis caused by Order Spirochaetales (disorder)
460620006,Myocarditis caused by Genus Borrelia (disorder)
4082005,Myocarditis caused by Treponema pallidum (disorder)
233867000,Q fever myocarditis (disorder)
194957000,Septic myocarditis - staphylococcal (disorder)
194958005,Septic myocarditis - streptococcal (disorder)
194956009,Septic myocarditis - pneumococcal (disorder)
47292005,Tuberculosis of myocardium (disorder)
194949003,Acute myocarditis - tuberculous (disorder)
233868005,Fungal myocarditis (disorder)
460338001,Myocarditis caused by Genus Aspergillus (disorder)
460329003,Myocarditis caused by Genus Candida (disorder)
723865005,Infection causing myoendocarditis (disorder)
233869002,Parasitic myocarditis (disorder)
8916007,Protozoan myocarditis (disorder)
871587002,Myocarditis due to Chaga disease (disorder)
187195003,Toxoplasma myocarditis (disorder)
76534005,Myocarditis due to acquired toxoplasmosis (disorder)
89141000,Viral myocarditis (disorder)
65718001,Adenoviral myocarditis (disorder)
37217002,Coxsackie myocarditis (disorder)
63462008,Mumps myocarditis (disorder)
460345001,Myocarditis caused by echovirus (disorder)
78046005,Myocarditis caused by influenza virus (disorder)
194946005,Acute myocarditis - influenzal (disorder)
10629351000119108,Myocarditis caused by Influenza A virus (disorder)
142951000119106,Myocarditis caused by Influenza A virus subtype H1N1 (disorder)
64190005,Rubella myocarditis (disorder)
880012008,Myocarditis due to Kawasaki disease (disorder)
1089931000119105,Myocarditis due to scarlet fever (disorder)
723863003,Myopericarditis (disorder)
195136004,Rheumatoid myocarditis (disorder)
195033009,Sarcoid heart muscle disease (disorder)
279001,Senile myocarditis (disorder)
69589006,Subacute myoendocarditis (disorder)
31993003,Toxic myocarditis (disorder)
1153452008,Dilated cardiomyopathy due to parasitic myocarditis (disorder)
40532006,Dilated cardiomyopathy due to protozoan myocarditis (disorder)
54830008,Dilated cardiomyopathy due to bacterial myocarditis (disorder)
44630002,Dilated cardiomyopathy due to fungal myocarditis (disorder)
472811009,Cardiovascular abnormality due to infective myocarditis (disorder)
1204204003,Left ventricular failure with normal ejection fraction due to myocarditis (disorder)
703274008,Heart failure with reduced ejection fraction due to myocarditis (disorder)
413933004,Coxsackie myocarditis of newborn (disorder)
