V2Codes,Description
G5y0.,Myocarditis NOS
G52..,Acute myocarditis
G520.,Acute myocarditis in diseases EC
G5200,Acute aseptic myocarditis of the newborn
G5201,Acute myocarditis - coxsackie
G5202,Acute myocarditis - diphtheritic
G5203,Acute myocarditis - influenzal
G5204,Acute myocarditis - syphilitic
G5205,Acute myocarditis - toxoplasmosis
G5206,Acute myocarditis - tuberculous
G5207,Acute myocarditis - meningococcal
G52y.,Other acute myocarditis
G52y0,"Acute myocarditis, unspecified"
G52y1,Isolated (Fiedler's) myocarditis
G52y2,Idiopathic myocarditis NOS
G52y3,Septic myocarditis - pneumococcal
G52y4,Septic myocarditis - staphylococcal
G52y5,Septic myocarditis - streptococcal
G52y6,Septic myocarditis NOS
G52y7,Toxic myocarditis
G52yz,Other acute myocarditis NOS
G52z.,Acute myocarditis NOS
G5y7.,Sarcoid myocarditis
G1y0.,Rheumatic myocarditis
A7423,Coxsackie myocarditis
AD03.,Toxoplasma myocarditis
G5y8.,Rheumatoid myocarditis
A93y1,Syphilitic myocarditis
A32y1,Diphtheritic myocarditis
A3643,Meningococcal myocarditis
G012.,Acute rheumatic myocarditis
