MedCodeID,Description
5122891000006111,Discoid pattern atopic dermatitis
5122901000006110,Discoid pattern atopic eczema
5122881000006113,Discoid atopic dermatitis
5123081000006111,Discoid eczema of hands and feet
5123161000006119,Constitutional discoid hand eczema
6661191000006115,Discoid pattern atopic hand eczema
6661181000006118,Discoid pattern atopic hand dermatitis
6661881000006110,Dry discoid eczema
6661891000006113,Discoid eczema (dry type)
6661901000006112,Exudative discoid eczema
6661911000006110,Discoid eczema (exudative type)
6661931000006116,Infected nummular dermatitis
6661921000006119,Infected discoid eczema
6667341000006118,Discoid eczema of hand
622951000006114,Discoid eczema
3823981000006111,Exudative neurodermatitis
3823951000006115,Nummular eczema
135069015,Nummular dermatitis
3823971000006113,Nummular eczematous dermatitis
622961000006111,Discoid eczema
