SNOMEDCTCodes,Description
81418003,Nummular eczema (disorder)
402572008,Discoid eczema of hand (disorder)
402185002,Discoid pattern atopic hand dermatitis (disorder)
238552006,Discoid eczema of hands and feet (disorder)
1251432004,Adult nummular atopic dermatitis (disorder)
402214000,Exudative discoid eczema (disorder)
402215004,Infected discoid eczema (disorder)
402213006,Dry discoid eczema (disorder)
1251409003,Childhood nummular atopic eczematous dermatitis (disorder)
238543002,Discoid atopic dermatitis (disorder)
238557000,Constitutional discoid hand eczema (disorder)
