CTV3Codes,Description
XE0ae,Inflammatory bowel disease
J402.,Regional ileocolitis
X303k,Indeterminate colitis
J41y1,Toxic megacolon
XaB5z,Enterocolitis
XE0aj,Other non-infective inflammatory gastroenteritis and colitis
Xa3fm,"Non-infective gastrointestinal inflammation, NOS"
XaB5x,Non-infective enteritis and colitis
XaK6F,Exacerbation of non-infective colitis
J421z,Chronic intestinal vascular insufficiency NOS
X303v,Ischaemic colitis
X3068,Transient ischaemic colitis
J4213,Chronic ischaemic colitis
XSE1i,Acute ischaemic colitis
XaKyb,Ischaemic colitis NOS
J4212,Chronic ischaemic enterocolitis
X302l,Ischaemic enteritis
J4211,Chronic ischaemic enteritis
X302j,Enteritis
X302k,Drug-induced enteritis
X302m,Phlegmonous enteritis
J4301,Radiation enteritis
X302n,Acute radiation enteritis
X302o,Chronic radiation enteropathy
J4302,Radiation enterocolitis
J4311,Toxic enteritis
J4312,Toxic enterocolitis
J4321,Allergic enteritis
J4331,Dietetic enteritis
X303f,Colitis
XaRD4,Eosinophilic colitis
X303j,Non-Crohn's granulomatous colitis
X303r,Drug-induced colitis
X303s,Non-steroidal anti-inflammatory drug-induced colitis
X303t,Antibiotic-induced colitis
X303u,Pseudomembranous colitis
X303w,Microscopic colitis
X303x,Collagenous colitis
X303y,Lymphocytic colitis
X303z,Hypersensitivity colitis
X3040,Diversion colitis
X3041,Phlegmonous colitis
X3042,Neutropenic colitis
J4303,Radiation colitis
X3043,Acute radiation colitis
X3044,Chronic radiation colitis
X3045,Chemically-induced colitis
X3046,Behcet's colitis
Xa7nY,Non-infective colitis
J4333,Dietetic colitis
J4z3.,Non-infective colitis NOS
XE0ak,Toxic colitis
X304G,Sigmoiditis
J4z4.,Non-infective sigmoiditis NOS
X3047,Proctitis
X3048,Chemically-induced proctitis
X3049,Radiation proctitis
X304A,Acute radiation proctitis
X304B,Chronic radiation proctitis
X304C,Traumatic proctitis
J574C,Proctitis NOS
X303e,Proctocolitis
J41y.,Other idiopathic proctocolitis
J41yz,Other idiopathic proctocolitis NOS
J41z.,Idiopathic proctocolitis NOS
X304F,Caecitis
