SNOMEDCTCodes,Description
24526004,Inflammatory bowel disease (disorder)
721686000,Inflammatory polyps co-occurrent and due to inflammatory bowel disease (disorder)
6382002,Chronic inflammatory small bowel disease (disorder)
771333006,"Immune dysregulation, inflammatory bowel disease, arthritis, recurrent infection syndrome (disorder)"
128999004,Inflammatory disorder of digestive tract (disorder)
235705002,Drug-induced enteritis (disorder)
235750000,Drug-induced colitis (disorder)
397696004,Antibiotic enterocolitis (disorder)
73817000,Enteritis caused by radiation (disorder)
235707005,Acute radiation enteritis (disorder)
235761008,Acute radiation proctitis (disorder)
26838001,Fibrinous enteritis (disorder)
23916006,Pyogranulomatous enteritis (disorder)
235224000,Hemorrhagic enteritis (disorder)
81318004,Hemorrhagic colitis (disorder)
359664009,Idiopathic chronic inflammatory bowel disease (disorder)
359656003,Idiopathic diffuse ulcerative nongranulomatous enteritis (disorder)
64226004,Colitis
235756006,Acute radiation colitis (disorder)
737316004,Allergic colitis caused by food protein in infant (disorder)
235758007,Behcet's colitis (disorder)
72965009,Chemical colitis (disorder)
54597004,Chronic colitis (disorder)
369445005,Chronic proctocolitis (disorder)
369447002,"Chronic proctocolitis, confluent (disorder)"
369446006,"Chronic proctocolitis, patchy (disorder)"
52506002,Chronic ulcerative rectosigmoiditis (disorder)
235757002,Chronic radiation colitis (disorder)
55809007,Colitis caused by radiation (disorder)
197013009,Radiation enterocolitis (disorder)
19311003,Collagenous colitis (disorder)
373639002,Distal colitis (disorder)
51290000,Diversion colitis (disorder)
235751001,Non-steroidal anti-inflammatory drug-induced colitis (disorder)
29120000,Eosinophilic colitis (disorder)
783185002,Focal active colitis (disorder)
359660000,Idiopathic colitis (disorder
235746007,Indeterminate colitis (disorder)
43752006,Inflammation of small intestine and colon (disorder)
197024006,Allergic enterocolitis (disorder)
197030006,Dietetic enterocolitis (disorder)
737315000,Allergic enterocolitis caused by food protein (disorder)
236016008,Acute hemorrhagic enterocolitis (disorder)
240358005,Neutropaenic enterocolitis (disorder)
13470001,Chronic ulcerative ileocolitis (disorder)
71207007,Noninfectious enteritis (disorder)
22231002,Allergic enteritis (disorder)
30304000,Allergic colitis (disorder)
266451002,Allergic gastroenteritis and colitis (disorder)
735731005,Chronic non-infectious enteritis of uncertain etiology (disorder)
30719001,Dietetic enteritis (disorder)
307418008,Non-infective enteritis and colitis (disorder)
870351002,Non-infective enteritis due to graft-versus-host disease (disorder)
14066009,Noninfectious colitis (disorder)
720820000,Cutaneous photosensitivity and lethal colitis syndrome (disorder)
72547003,Dietetic colitis (disorder)
414155001,Exacerbation of non-infective colitis (disorder)
53372009,Noninfectious sigmoiditis (disorder)
25887009,Allergic sigmoiditis (disorder)
49464009,Dietetic sigmoiditis (disorder
70349001,Noninfectious enteritis due to immunoglobulin A vasculitis (disorder)
421983003,Noninfectious gastroenteritis associated with acquired immunodeficiency syndrome (disorder)
32097002,Necrotic enteritis (disorder)
716063008,Adult necrotizing enterocolitis (disorder)
39747007,Enteritis necroticans (disorder)
805601000000103,Necrotising enterocolitis (disorder)
7024001,Lymphocytic-plasmacytic enteritis (disorder)
73665001,Ischemic enteritis (disorder)
33906009,Acute ischemic enteritis
73235004,Chronic ischemic enteritis
254591001,Inflammatory fibroid polyposis of intestine (disorder)
788718000,Iritis co-occurrent with inflammatory bowel disease (disorder)
64613007,Inflammation of small intestine (disorder)
737193000,Allergic enteritis of small intestine (disorder)
717873003,Eosinophilic duodenitis (disorder)
737194006,Dietetic enteritis of small intestine (disorder)
722536004,Toxic enteritis of small intestine caused by drug (disorder)
722535000,Toxic enteritis of small intestine caused by substance (disorder)
370487000,Enterotyphlitis (disorder)
733156007,Eosinophilic enteritis (disorder)
71913005,"Granulomatous enteritis, non-Crohn's disease (disorder)"
733155006,IgE mediated allergic enteritis of small intestine (disorder)
52457000,Ileitis (disorder)
32295003,Allergic ileitis (disorder)
51151007,Noninfectious ileitis (disorder)
196983007,Regional ileocolitis (disorder)
302168000,Inflammation of large intestine (disorder)
3951002,Proctitis (disorder)
313327004,Inflammatory cloacogenic polyp (disorder)
28536002,Toxic megacolon (disorder)
235753003,Microscopic colitis (disorder)
31437008,Lymphocytic-plasmacytic colitis (disorder)
