V2Codes,Description
H20..,Viral pneumonia
H200.,Pneumonia due to adenovirus
H201.,Pneumonia due to respiratory syncytial virus
H202.,Pneumonia due to parainfluenza virus
H203.,Pneumonia due to human metapneumovirus
H20y.,Viral pneumonia NEC
H20y0,Severe acute respiratory syndrome
H20z.,Viral pneumonia NOS
H21..,Lobar (pneumococcal) pneumonia
H22..,Other bacterial pneumonia
H220.,Pneumonia due to klebsiella pneumoniae
H221.,Pneumonia due to pseudomonas
H222.,Pneumonia due to haemophilus influenzae
H223.,Pneumonia due to streptococcus
H2230,"Pneumonia due to streptococcus, group B"
H224.,Pneumonia due to staphylococcus
H22y.,Pneumonia due to other specified bacteria
H22y0,Pneumonia due to escherichia coli
H22y1,Pneumonia due to proteus
H22y2,Pneumonia - Legionella
H22y3,Pneumonia due to Gram negative bacteria
H22yX,Pneumonia due to other aerobic gram-negative bacteria
H22yz,Pneumonia due to bacteria NOS
H22z.,Bacterial pneumonia NOS
H23..,Pneumonia due to other specified organisms
H230.,Pneumonia due to Eaton's agent
H231.,Pneumonia due to mycoplasma pneumoniae
H232.,Pneumonia due to pleuropneumonia like organisms
H233.,Chlamydial pneumonia
H23z.,Pneumonia due to specified organism NOS
H24..,Pneumonia with infectious diseases EC
H240.,Pneumonia with measles
H241.,Pneumonia with cytomegalic inclusion disease
H242.,Pneumonia with ornithosis
H243.,Pneumonia with whooping cough
H244.,Pneumonia with tularaemia
H245.,Pneumonia with anthrax
H246.,Pneumonia with aspergillosis
H247.,Pneumonia with other systemic mycoses
H2470,Pneumonia with candidiasis
H2471,Pneumonia with coccidioidomycosis
H2472,Pneumonia with histoplasmosis
H247z,Pneumonia with systemic mycosis NOS
H24y.,Pneumonia with other infectious diseases EC
H24y0,Pneumonia with actinomycosis
H24y1,Pneumonia with nocardiasis
H24y2,Pneumonia with pneumocystis carinii
H24y3,Pneumonia with Q-fever
H24y4,Pneumonia with salmonellosis
H24y5,Pneumonia with toxoplasmosis
H24y6,Pneumonia with typhoid fever
H24y7,Pneumonia with varicella
H24yz,Pneumonia with other infectious diseases EC NOS
H24z.,Pneumonia with infectious diseases EC NOS
H25..,Bronchopneumonia due to unspecified organism
H26..,Pneumonia due to unspecified organism
H260.,Lobar pneumonia due to unspecified organism
H2600,Lung consolidation
H261.,Basal pneumonia due to unspecified organism
H262.,Postoperative pneumonia
H263.,"Pneumonitis, unspecified"
H28..,Atypical pneumonia
