SNOMED Code,Description
155326007,(Pulmonary embolism) or (pulmonary infarct) (disorder)
308159008,[V] Personal history of pulmonary embolism
315761003,[V] Personal history of pulmonary embolism
50206009,Abortion with pulmonary embolism
706870000,Acute pulmonary embolism
17263003,Amniotic fluid pulmonary embolism
200294005,Amniotic fluid pulmonary embolism - delivered (disorder)
200295006,Amniotic fluid pulmonary embolism - delivered with postnatal complication (disorder)
200298008,Amniotic fluid pulmonary embolism NOS (disorder)
200293004,Amniotic fluid pulmonary embolism unspecified (disorder)
200296007,Amniotic fluid pulmonary embolism with antenatal complication (disorder)
200297003,Amniotic fluid pulmonary embolism with postnatal complication (disorder)
233936003,AMPE - Acute massive pulmonary embolism
133971000119108,Chronic pulmonary embolism
58123006,Failed attempted abortion with pulmonary embolism
430801003,Family history of pulmonary embolism (situation)
10761511000119101,History of pulmonary embolism on long-term anticoagulation therapy
55589000,Illegal abortion with pulmonary embolism
441746000,Infarction of lung due to iatrogenic pulmonary embolism
51096002,Legal abortion with pulmonary embolism
200288002,Obstetric air pulmonary embolism - delivered (disorder)
200289005,Obstetric air pulmonary embolism - delivered with postnatal complication (disorder)
200286003,Obstetric air pulmonary embolism (disorder)
200292009,Obstetric air pulmonary embolism NOS (disorder)
200287007,Obstetric air pulmonary embolism unspecified (disorder)
200290001,Obstetric air pulmonary embolism with antenatal complication (disorder)
200291002,Obstetric air pulmonary embolism with postnatal complication (disorder)
200301007,Obstetric blood-clot pulmonary embolism - delivered (disorder)
200302000,Obstetric blood-clot pulmonary embolism - delivered with postnatal complication
200299000,Obstetric blood-clot pulmonary embolism (disorder)
200305003,Obstetric blood-clot pulmonary embolism NOS
200300008,Obstetric blood-clot pulmonary embolism unspecified (disorder)
200303005,Obstetric blood-clot pulmonary embolism with antenatal complication
200304004,Obstetric blood-clot pulmonary embolism with postnatal complication
237341004,Obstetric pulmonary embolism
156273009,Obstetric pulmonary embolism (disorder)
200320009,Obstetric pulmonary embolism NOS
200326003,Obstetric pulmonary embolism NOS
200322001,Obstetric pulmonary embolism NOS - delivered
200323006,Obstetric pulmonary embolism NOS - delivered with postnatal complication
200324000,Obstetric pulmonary embolism NOS with antenatal complication
200325004,Obstetric pulmonary embolism NOS with postnatal complication
200321008,"Obstetric pulmonary embolism NOS, unspecified"
267284008,Obstetric pyaemic and septic pulmonary embolism
200308001,Obstetric pyaemic and septic pulmonary embolism - delivered
200312007,Obstetric pyaemic and septic pulmonary embolism NOS
200310004,Obstetric pyaemic and septic pulmonary embolism with antenatal complication
200306002,Obstetric pyemic and septic pulmonary embolism
200309009,Obstetric pyemic and septic pulmonary embolism - delivered with postnatal complication
200307006,Obstetric pyemic and septic pulmonary embolism unspecified
200311000,Obstetric pyemic and septic pulmonary embolism with postnatal complication
50286006,Obstetrical pulmonary embolism
233217004,Operation for pulmonary embolism
200313002,Other obstetric pulmonary embolism
267285009,Other obstetric pulmonary embolism
200315009,Other obstetric pulmonary embolism - delivered (disorder)
200316005,Other obstetric pulmonary embolism - delivered with postnatal complication (disorder)
200319003,Other obstetric pulmonary embolism NOS
200314008,Other obstetric pulmonary embolism unspecified (disorder)
200317001,Other obstetric pulmonary embolism with antenatal complication
200318006,Other obstetric pulmonary embolism with postnatal complication
45015000,"Other obstetrical pulmonary embolism, NEC"
200284000,Puerperal pulmonary embolism
194882001,Pulmonary embolism
266292008,Pulmonary embolism
59282003,Pulmonary embolism
723859005,Pulmonary embolism as current complication following acute myocardial infarction (disorder)
860680001,Pulmonary embolism due to and following ectopic pregnancy
860681002,Pulmonary embolism due to and following molar pregnancy (disorder)
198855003,Pulmonary embolism following abortive pregnancy
663008,Pulmonary embolism following molar AND/OR ectopic pregnancy
10759311000119104,Pulmonary embolism in childbirth (disorder)
713078005,Pulmonary embolism on long-term anticoagulation therapy (disorder)
1001000119102,Pulmonary embolism with infarction
438773007,Recurrent pulmonary embolism (disorder)
441557008,Septic pulmonary embolism
82153002,Spontaneous abortion with pulmonary embolism
233937007,Subacute massive pulmonary embolism
417113001,Suspected pulmonary embolism (context-dependent category)
609480009,Termination of pregnancy complicated by pulmonary embolism
82153002,Miscarriage with pulmonary embolism (disorder)
860681002,Pulmonary embolism due to and following molar pregnancy (disorder)
