CTV3Codes,Description
X506Y,Psoriasis
XaYOx,Pustular psoriasis
X506p,Generalised pustular psoriasis
X506q,Acute generalised pustular psoriasis
X506r,Generalised pustular psoriasis of pregnancy
X506s,Pustular psoriasis in children
X506t,Juvenile pustular psoriasis
X506u,Infantile pustular psoriasis
X506l,Localised pustular psoriasis
X506m,Palmoplantar pustular psoriasis
M07y0,Acute palmoplantar pustular psoriasis
M161A,Psoriasis palmaris
M161B,Psoriasis plantaris
X506o,Lapiere type of psoriasis
X506v,Circinate and annular pustular psoriasis
M1611,Psoriasis annularis
M1612,Psoriasis circinata
M1614,Plaque psoriasis
XaNXa,Chronic large plaque psoriasis
M1616,Guttate psoriasis
X506Z,Flexural psoriasis
X506a,Unstable psoriasis
X506b,Erythrodermic psoriasis
X506i,Scalp psoriasis
M161.,Other psoriasis
M1610,Psoriasis unspecified
M1613,Psoriasis diffusa
M1615,Psoriasis geographica
M1617,Psoriasis gyrata
M1618,Psoriasis inveterata
M161C,Psoriasis punctata
M161E,Psoriasis universalis
XaNXt,Psoriasis vulgaris
M161z,Psoriasis NOS
Myu30,[X]Other psoriasis
