SNOMEDCTCodes,Description
9014002,Psoriasis (disorder)
402325007,Drug-exacerbated psoriasis (disorder)
402329001,Early onset psoriasis type 1 (disorder)
402332003,Onset of psoriasis in adolescence (10-20 years) (disorder)
402331005,Onset of psoriasis in childhood (1-10 years) (disorder)
402333008,Onset of psoriasis in early adulthood (20-40 years) (disorder)
402330006,Onset of psoriasis in infancy (<1 year) (disorder)
238603004,Eczematized psoriasis (disorder)
200977004,Erythrodermic psoriasis (disorder)
402335001,Familial psoriasis (disorder)
402336000,Familial psoriasis with affected first degree relative (disorder)
402337009,Familial psoriasis without affected first degree relative (disorder)
719810000,X-linked intellectual disability with seizure and psoriasis syndrome (disorder)
238600001,Flexural psoriasis (disorder)
402317005,Generalized psoriasis (disorder)
37042000,Guttate psoriasis (disorder)
402312004,Acute guttate psoriasis (disorder)
402313009,Guttate flare of psoriasis with preexisting plaques (disorder)
402322005,Hypertrophic palmar psoriasis (disorder)
402323000,Hypertrophic palmoplantar psoriasis (disorder)
238609000,K”bner psoriasis (disorder)
402334002,Late onset psoriasis type 2 (disorder)
402321003,Non-pustular psoriasis of hands (disorder)
402324006,Non-pustular psoriasis of hands and feet (disorder)
402318000,Photoaggravated psoriasis (disorder)
200965009,Plaque psoriasis (disorder)
402311006,Actively extending plaque psoriasis (disorder)
402308005,Chronic small plaque psoriasis (disorder)
402309002,Chronic guttate pattern psoriasis (disorder)
402307000,Chronic large plaque psoriasis (disorder)
402310007,Chronic stable plaque psoriasis (disorder)
200962007,Psoriasis annularis (disorder)
200963002,Psoriasis circinata (disorder)
200964008,Psoriasis diffusa (disorder)
200966005,Psoriasis geographica (disorder)
200967001,Psoriasis gyrata (disorder)
200968006,Psoriasis inveterata (disorder)
721538000,Psoriasis of anogenital region (disorder)
402315002,Psoriasis of penis (disorder)
402316001,Psoriasis of perianal skin (disorder)
402314003,Psoriasis of vulva (disorder)
402320002,Psoriasis of face (disorder)
238604005,Psoriasis of nail (disorder)
238605006,Psoriatic nail dystrophy (disorder)
238606007,Psoriatic nail pitting (disorder)
402319008,Psoriasis of scalp margin (disorder)
200971003,Psoriasis plantaris (disorder)
200972005,Psoriasis punctata (disorder)
200974006,Psoriasis universalis (disorder)
200975007,Psoriasis vulgaris (disorder)
33339001,Psoriasis with arthropathy (disorder)
238602009,Psoriasis-eczema overlap condition (disorder)
200973000,Pustular psoriasis (disorder)
402327004,Acute generalized pustular flare of preexisting plaque psoriasis (disorder)
238617008,Circinate and annular pustular psoriasis (disorder)
238612002,Generalized pustular psoriasis (disorder)
402326008,Acute generalized pustular psoriasis de novo (disorder)
238613007,Generalized pustular psoriasis of pregnancy (disorder)
238616004,Infantile pustular psoriasis (disorder)
238615000,Juvenile pustular psoriasis (disorder)
28840001,"Generalized pustular psoriasis, exanthematous type (disorder)"
238611009,Lapiere type of psoriasis (disorder)
81271001,Localized pustular psoriasis (disorder)
83839005,Acrodermatitis continua of Hallopeau (disorder)
784328000,Pustular psoriasis of palm of hand (disorder)
27520001,Pustular psoriasis of palms and soles (disorder)
239098009,Acropustulosis of infancy (disorder)
784327005,Pustular psoriasis of sole of foot (disorder)
200969003,Rupioid psoriasis (disorder)
238608008,Scalp psoriasis (disorder)
25847004,Seborrheic psoriasis (disorder)
238601002,Unstable psoriasis (disorder)
161562002,History of psoriasis (situation)
11188005,Psoriasiform napkin eruption (disorder)
400069004,Nevoid psoriasis (disorder)
866341000000101,Psoriasis area and severity index score (observable entity)
239803008,Juvenile psoriatic arthritis with psoriasis (disorder)
