V2Codes,Description
aa6v.,SULFASALAZINE 500mg tablets
j55z.,SULFASALAZINE 500mg e/c tablets
aa66.,SULFASALAZINE 500mg e/c tablets
aa6y.,SULFASALAZINE 500mg suppositories
aa6u.,SULFASALAZINE 250mg/5mL suspension
j55..,SULFASALAZINE [MUSCULOSKELETAL USE]
j551.,SALAZOPYRIN EN 500mg e/c tablets
j552.,SULAZINE EC 500mg e/c tablets
aa6..,SULFASALAZINE [GASTRO-INTESTINAL USE]
aa61.,SALAZOPYRIN 500mg tablets
aa62.,SALAZOPYRIN-EN 500mg e/c tablets
aa63.,SALAZOPYRIN 500mg suppositories
aa64.,*SALAZOPYRIN 3g/100mL enema
aa65.,SALAZOPYRIN 250mg/5mL suspension
aa67.,*UCINE 500mg tablets
aa6t.,SULFASALAZINE 250mg/5mL sugar free suspension
aa6z.,*SULFASALAZINE 3g/100mL enema
