CTV3Codes,Description
X2033,Pulmonary hypertension
X2034,Solitary pulmonary hypertension
X2035,Small vessel pulmonary hypertension
G410.,Primary pulmonary hypertension
X2036,Sporadic primary pulmonary hypertension
X2037,Familial primary pulmonary hypertension
X2038,Drug-induced pulmonary hypertension
X2039,Large vessel pulmonary hypertension
X203A,Thromboembolic pulmonary hypertension
X203B,Post-arteritic pulmonary hypertension
X203C,Pulmonary veno-occlusive disease
X203D,Pulmonary capillary haemangiomatosis
X203F,Pulmonary hypertension associated with chronic underventilation
Xa0Cx,Pulmonary hypertension with extreme obesity
X203H,Eisenmenger's syndrome
Xa0Cz,Facultative pulmonary hypertension with shunt at atrial level
X203I,Pulmonary hypertension secondary to left sided heart disease
Xa0Cy,Pulmonary hypertension with occult mitral stenosis
X203J,High altitude pulmonary hypertension
G41y0,Secondary pulmonary hypertension
X203G,Pulmonary hypertension associated with septal defect / shunt
X307P,Cirrhosis-familial with pulmonary hypertension
