SNOMEDCTCodes,Description
70995007,Pulmonary hypertension (disorder)
87394009,Episodic pulmonary hypertension (disorder)
776416004,"Hyperuricemia, pulmonary hypertension, renal failure, alkalosis syndrome (disorder)"
840306007,Mild pulmonary hypertension (disorder)
840307003,Moderate pulmonary hypertension (disorder)
360573001,Post-capillary pulmonary hypertension (disorder)
472790001,Pulmonary venous hypertension due to disorder of left heart (disorder)
697926000,Pulmonary hypertension due to diastolic systemic ventricular dysfunction (disorder)
697927009,Pulmonary hypertension due to left-sided valvular heart disease (disorder)
276793003,Pulmonary hypertension with occult mitral stenosis (disorder)
697925001,Pulmonary hypertension due to systolic systemic ventricular dysfunction (disorder)
697896007,Precapillary pulmonary hypertension (disorder)
697917003,Pulmonary hypertension due to hematological disorder (disorder)
697918008,Pulmonary hypertension due to myeloproliferative disorder (disorder)
697919000,Pulmonary hypertension due to post-splenectomy hematological disorder (disorder)
697910001,Pulmonary hypertension due to lung disease and/or hypoxia (disorder)
233950008,Pulmonary hypertension associated with chronic underventilation (disorder)
697915006,Pulmonary hypertension due to alveolar hypoventilation disorder (disorder)
276792008,Pulmonary hypertension with extreme obesity (disorder)
233954004,Pulmonary hypertension caused by low air pressure due to chronic exposure to high altitude (disorder)
697911002,Pulmonary hypertension due to chronic obstructive pulmonary disease (disorder)
697916007,Pulmonary hypertension due to developmental abnormality of the lung (disorder)
697912009,Pulmonary hypertension due to interstitial lung disease (disorder)
697913004,Pulmonary hypertension due to pulmonary disease with mixed restrictive and obstructive pattern (disorder)
697914005,Pulmonary hypertension due to sleep-disordered breathing (disorder)
697920006,Pulmonary hypertension in systemic disorder (disorder)
233948000,Post-arteritic pulmonary hypertension (disorder)
703355003,Pulmonary hypertension due to vasculitis (disorder)
697922003,Pulmonary hypertension in Langerhans cell histiocytosis (disorder)
697923008,Pulmonary hypertension in lymphangioleiomyomatosis (disorder)
697924002,Pulmonary hypertension in neurofibromatosis (disorder)
697921005,Pulmonary hypertension in sarcoidosis (disorder)
11399002,Pulmonary hypertensive arterial disease (disorder)
697902002,Associated pulmonary arterial hypertension (disorder)
445237003,Portopulmonary hypertension (disorder)
697908003,Pulmonary arterial hypertension associated with chronic hemolytic anemia (disorder)
697905000,Pulmonary arterial hypertension associated with congenital heart disease (disorder)
697906004,Pulmonary arterial hypertension associated with congenital systemic-to-pulmonary shunt (disorder)
697903007,Pulmonary arterial hypertension associated with connective tissue disease (disorder)
697904001,Pulmonary arterial hypertension associated with human immunodeficiency virus infection (disorder)
697907008,Pulmonary arterial hypertension associated with schistosomiasis (disorder)
445928005,Eisenmenger's syndrome (disorder)
697897003,Heritable pulmonary arterial hypertension (disorder)
720575002,Braddock syndrome (disorder)
233944003,Familial primary pulmonary hypertension (disorder)
697900005,Heritable pulmonary arterial hypertension due to activin A receptor type II-like kinase 1 or endoglin mutation (disorder)
697899000,Heritable pulmonary arterial hypertension due to bone morphogenetic protein receptor type II mutation (disorder)
233943009,Sporadic primary pulmonary hypertension (disorder)
697898008,Idiopathic pulmonary arterial hypertension (disorder)
233815004,Persistent pulmonary hypertension of the newborn (disorder)
697901009,Pulmonary arterial hypertension caused by toxin (disorder)
233945002,Pulmonary hypertension caused by drug (disorder)
879814007,Pulmonary hypertension due to pulmonary capillary hemangiomatosis (disorder)
879816009,Pulmonary hypertension due to familial pulmonary capillary hemangiomatosis (disorder)
879815008,Pulmonary hypertension due to pulmonary veno-occlusive disease (disorder)
233947005,Thromboembolic pulmonary hypertension (disorder)
10964002,Progressive pulmonary hypertension (disorder)
1010627004,Pulmonary hypertension due to developmental abnormality (disorder)
697928004,Pulmonary venous hypertension due to congenital stenosis of pulmonary vein (disorder)
5499009,Pulmonary hypertensive venous disease (disorder)
472757001,Pulmonary venous hypertension as complication of procedure (disorder)
472758006,Pulmonary venous hypertension due to compression of pulmonary great vein (disorder)
472760008,Pulmonary venous hypertension due to compression of pulmonary great vein by lymphadenopathy (disorder)
472761007,Pulmonary venous hypertension due to compression of pulmonary great vein by neoplasm (disorder)
472759003,Pulmonary venous hypertension due to compression of pulmonary great vein by sclerosing mediastinitis (disorder)
88223008,Secondary pulmonary hypertension (disorder)
276794009,Facultative pulmonary hypertension with shunt at atrial level (disorder)
360578005,Pulmonary hypertension secondary to raised pulmonary vascular resistance (disorder)
840308008,Severe pulmonary hypertension (disorder)
233941006,Solitary pulmonary hypertension (disorder)
233946001,Large vessel pulmonary hypertension (disorder)
233942004,Small vessel pulmonary hypertension (disorder)
