SNOMEDCTCodes,Description,Grade
239791005,"seropositive rheumatoid arthritis, unspecified",1
239792003,seronegative rheumatoid arthritis,1
308143008,seropositive errosive rheumatoid arthritis,1
69896004,rheumatoid arthritis,1
909191000006103,[rfc] rheumatoid arthritis,1
75822003,Acute polyarticular juvenile rheumatoid arthritis (disorder),1
1961000,Chronic polyarticular juvenile rheumatoid arthritis (disorder),1
410795001,Juvenile rheumatoid arthritis (disorder),1
201799006,Monarticular juvenile rheumatoid arthritis (disorder),1
74391003,Pauciarticular juvenile rheumatoid arthritis (disorder),1
239795001,Rheumatoid arthritis with multisystem involvement (disorder),1
735600005,Rheumatoid arthritis without erosion (disorder),1
15691241000119101,Seronegative rheumatoid arthritis of bilateral knees (disorder),2
15691321000119101,Seronegative rheumatoid arthritis of bilateral wrists (disorder),2
1569132100011910,Seronegative rheumatoid arthritis of bilateral wrists (disorder),2
15691321000119100,Seronegative rheumatoid arthritis of bilateral wrists (disorder),2
319081000119109,Seronegative rheumatoid arthritis of multiple sites (disorder),2
16606721000119107,Seropositive rheumatoid arthritis in remission (disorder),2
16050071000119108,Seropositive rheumatoid arthritis of bilateral feet (disorder),2
16050071000119100,Seropositive rheumatoid arthritis of bilateral feet (disorder),2
15691881000119107,Seropositive rheumatoid arthritis of bilateral knees (disorder),2
318861000119101,Seropositive rheumatoid arthritis of left hand (disorder),2
11055151000119108,Seropositive rheumatoid arthritis of multiple joints (disorder),2
318931000119100,Seropositive rheumatoid arthritis of right hand (disorder),2
201796004,Systemic onset juvenile chronic arthritis (disorder),1
201764007,rheumatoid arthritis of cervical spine,2
201766009,rheumatoid arthritis of shoulder,2
201767000,rheumatoid arthritis of sternoclavicular joint,2
201768005,rheumatoid arthritis of acromioclavicular joint,2
201769002,rheumatoid arthritis of elbow,2
201770001,rheumatoid arthritis of distal radio-ulnar joint,2
201771002,rheumatoid arthritis of wrist,2
201772009,rheum. arth. - hand joint,2
201773004,rheumatoid arthritis of pip joint of finger,2
201774005,rheumatoid arthritis of dip joint of finger,2
201775006,rheumatoid arthritis of hip,2
201777003,rheumatoid arthritis of knee,2
201778008,rheumatoid arthritis of tibio-fibular joint,2
201779000,rheumatoid arthritis of ankle,2
201780002,rheumatoid arthritis of subtalar joint,2
201781003,rheumatoid arthritis of talonavicular joint,2
201783000,rheumatoid arthritis of 1st mtp joint,2
201784006,rheumatoid arthritis of lesser mtp joint,2
201785007,rheumatoid arthritis of ip joint of toe,2
201791009,flare of rheumatoid arthritis,2
287006005,rheumatoid arthritis - multiple joint,2
429192004,rheumatoid arthritis of other tarsal joint,2
9631008,other rheumatoid arthritis of spine,2
15744441000119101,Deformity of bilateral hands due to rheumatoid arthritis (disorder),2
96531000119109,Deformity of hand due to rheumatoid arthritis (disorder),2
1073891000119106,Deformity of left foot co-occurrent and due to rheumatoid arthritis (disorder),2
1073871000119105,Deformity of left hand co-occurrent and due to rheumatoid arthritis (disorder),2
1073881000119108,Deformity of right foot co-occurrent and due to rheumatoid arthritis (disorder),2
1073861000119104,Deformity of right hand co-occurrent and due to rheumatoid arthritis (disorder),2
287008006,Rheumatoid arthritis of ankle and/or foot (disorder),2
15686281000119101,Rheumatoid arthritis of bilateral feet (disorder),2
15687321000119109,Rheumatoid arthritis of bilateral hands (disorder),2
15687201000119107,Rheumatoid arthritis of bilateral knees (disorder),2
287007001,Rheumatoid arthritis of hand joint (disorder),2
781206002,Rheumatoid arthritis of joint of spine (disorder),2
1073701000119107,Rheumatoid arthritis of left foot (disorder),2
1073701000119100,Rheumatoid arthritis of left foot (disorder),2
1073711000119105,Rheumatoid arthritis of left hand (disorder),2
1073711000119100,Rheumatoid arthritis of left hand (disorder),2
1073721000119100,Rheumatoid arthritis of left hip (disorder),2
1073721000119103,Rheumatoid arthritis of left hip (disorder),2
1073731000119100,Rheumatoid arthritis of left knee (disorder),2
1073741000119109,Rheumatoid arthritis of left shoulder (disorder),2
1073751000119106,Rheumatoid arthritis of left wrist (disorder),2
1073781000119104,Rheumatoid arthritis of right foot (disorder),2
1073791000119101,Rheumatoid arthritis of right hand (disorder),2
1073791000119100,Rheumatoid arthritis of right hand (disorder),2
1073801000119100,Rheumatoid arthritis of right hip (disorder),2
1073811000119102,Rheumatoid arthritis of right knee (disorder),2
1073821000119109,Rheumatoid arthritis of right shoulder (disorder),2
1073831000119107,Rheumatoid arthritis of right wrist (disorder),2
201776007,Rheumatoid arthritis of sacroiliac joint (disorder),2
427770001,Rheumatoid arthritis of temporomandibular joint (disorder),2
