MedCodeID,Description
2670341000006112,Diffuse interstitial rheumatoid disease of lung
311496011,Fibrosing alveolitis associated with rheumatoid arthritis
2697331000006113,Rheumatoid arthritis virus
2697351000006118,RAV-1
2697341000006115,RA-1 virus
4541331000006113,History of rheumatoid arthritis
251794010,H/O: rheumatoid arthritis
297544012,Polyneuropathy in rheumatoid arthritis
297641010,Myopathy due to rheumatoid arthritis
2530001000006117,Chronic polyarticular juvenile rheumatoid arthritis
309787016,Rheumatoid arthritis of cervical spine
309789018,Rheumatoid arthritis of shoulder
309790010,Rheumatoid arthritis of sternoclavicular joint
309791014,Rheumatoid arthritis of acromioclavicular joint
309792019,Rheumatoid arthritis of elbow
162051000006115,Rheumatoid arthritis of distal radio-ulnar joint
4809101000006114,Rheumatoid arthritis of distal radioulnar joint
989291000006112,Rheum. arth. - wrist joint
309794018,Rheumatoid arthritis of wrist
989301000006113,Rheum. arth. - hand joint
162111000006117,Rheumatoid arthritis of metacarpophalangeal joint
162131000006111,Rheumatoid arthritis of proximal interphalangeal joint of finger
162041000006117,Rheumatoid arthritis of distal interphalangeal joint of finger
309798015,Rheumatoid arthritis of hip
989311000006111,Rheum. arth. - hip joint
162141000006118,Rheumatoid arthritis of sacroiliac joint
989321000006115,Rheum. arth. - knee joint
309800010,Rheumatoid arthritis of knee
4809181000006117,Rheumatoid arthritis of tibiofibular joint
162191000006110,Rheumatoid arthritis of tibio-fibular joint
989331000006117,Rheum. arth. - ankle/foot
309802019,Rheumatoid arthritis of ankle
309803012,Rheumatoid arthritis of subtalar joint
309804018,Rheumatoid arthritis of talonavicular joint
168761000006118,Rheumatoid arthritis of 1st metatarsophalangeal joint
4809221000006114,Rheumatoid arthritis of first metatarsophalangeal joint
162101000006115,Rheumatoid arthritis of lesser metatarsophalangeal joint
162081000006111,Rheumatoid arthritis of interphalangeal joint of toe
309816012,Flare of rheumatoid arthritis
889841000006113,Still's disease - juvenile R.A
4809291000006111,Juvenile arthritis with systemic onset
4809301000006112,Systemic onset juvenile rheumatoid arthritis
4809311000006110,Systemic juvenile idiopathic arthritis
4809281000006113,Systemic onset juvenile chronic arthritis
4809321000006119,Juvenile onset Still's disease
309827014,Monarticular juvenile rheumatoid arthritis
4809341000006114,Monoarticular juvenile rheumatoid arthritis
2840701000006117,Dilated cardiomyopathy secondary to rheumatoid arthritis
312534011,"[X]Seropositive rheumatoid arthritis, unspecified"
312518013,[X]Other seropositive rheumatoid arthritis
149911000006117,Seropositive rheumatoid arthritis
359292012,Seronegative rheumatoid arthritis
5139351000006118,Rheumatoid arthritis with multisystem involvement
5139391000006112,Early onset pauciarticular chronic arthritis
5139401000006114,EOPCA - Early onset pauciarticular chronic arthritis
5139411000006112,Late onset pauciarticular chronic arthritis
5139421000006116,LOPCA - Late onset pauciarticular chronic arthritis
219021000000114,Rheumatoid arthritis monitoring
426510015,Rheumatoid arthritis - multiple joint
5721431000006114,Rheumatoid arthritis of multiple joints
5721451000006119,Rheumatoid arthritis - hand joint
5721461000006117,Rheumatoid arthritis of hand joint
5721471000006112,Rheumatoid arthritis of hand
5721481000006110,Rheumatoid arthritis - ankle and/or foot
5721501000006117,Rheumatoid arthritis of ankle and/or foot
5721491000006113,Rheumatoid arthritis - ankle/foot
48361011,Rheumatoid carditis
11903911000006111,Seropositive errosive rheumatoid arthritis
451461014,Seropositive erosive rheumatoid arthritis
6608781000006113,Caplan's syndrome
6608791000006111,Caplans syndrome
1786505011,Caplan's syndrome
6608771000006110,Rheumatoid pneumoconiosis
6631621000006116,Rheumatoid arteritis
6665271000006114,Cutaneous atrophy due to rheumatoid arthritis
6802581000006114,JRA - Juvenile rheumatoid arthritis
309828016,Juvenile rheumatoid arthritis NOS
2472447010,Juvenile rheumatoid arthritis
755441000006119,Juvenile rheumatoid arthritis - Still's disease
6895381000006112,Iritis in juvenile idiopathic arthritis
6895371000006114,Anterior uveitis in juvenile idiopathic arthritis
6895391000006110,Anterior uveitis in juvenile rheumatoid arthritis
6895401000006112,Anterior uveitis in juvenile chronic arthritis
7078501000006113,Rheumatoid arthritis of temporomandibular joint
7099641000006113,Rheumatoid arthritis of foot
309805017,Rheumatoid arthritis of other tarsal joint
11929201000006114,Disease activity score in rheumatoid arthritis
7276071000006116,DAS (disease activity score) in rheumatoid arthritis
7279081000006114,DAS (disease activity score) in rheumatoid arthritis using C-reactive protein
7279071000006111,Disease activity score in rheumatoid arthritis using C-reactive protein
7286741000006115,Assessment of rheumatoid arthritis
7286751000006118,Rheumatoid arthritis assessment
7318121000006117,RA-WIS (rheumatoid arthritis work instability scale) score
7318111000006113,Rheumatoid arthritis work instability scale score
3353761000006119,Extra-articular rheumatoid process
3428901000006117,"Rheumatoid arthritis, leucopenia AND splenomegaly"
95067016,Felty's syndrome
3428891000006116,"Rheumatoid arthritis, leukopenia AND splenomegaly"
3428911000006119,Felty syndrome
3636551000006114,Rheumatoid disease
889751000006116,Rheum. arth. - ankle/foot
3636511000006113,Atrophic arthritis
3636521000006117,Chronic rheumatic arthritis
889731000006111,Rheumatoid arthritis NOS
889801000006111,Rheum. arth. - elbow joint
168751000006115,Rheumatoid arthritis and other inflammatory polyarthropathy
889781000006112,Rheum. arth. - hand joint
3636561000006111,RhA - Rheumatoid arthritis
116082011,Rheumatoid arthritis
889741000006118,Rheum. arth. - other joint
889791000006110,Rheum. arth. - wrist joint
889771000006114,Rheum. arth. - hip joint
3636531000006119,Rheumatic gout
3636571000006116,Proliferative arthritis
889821000006118,Rheum. arth. - multiple joint
889761000006119,Rheum. arth. - knee joint
312520011,[X]Other specified rheumatoid arthritis
3636541000006112,RA - Rheumatoid arthritis
889811000006114,Rheum. arth. - shoulder joint
3514955016,Erosion of joint surface co-occurrent and due to rheumatoid arthritis
3514956015,Rheumatoid arthritis with erosion
3514958019,Rheumatoid arthritis without erosion
123542016,Pauciarticular juvenile rheumatoid arthritis
3709261000006115,JCA - Pauciarticular onset juvenile chronic arthritis
3709251000006117,Pauciarticular juvenile rheumatoid arthritis
3709271000006110,Pauciarticular onset juvenile arthritis
502690012,Pauciarticular onset juvenile chronic arthritis
3732891000006112,Acute juvenile rheumatoid arthritis
125937016,Acute polyarticular juvenile rheumatoid arthritis
2620951000006114,Pericarditis secondary to rheumatoid arthritis
11826151000006116,Pericarditis co-occurrent with extraarticular rheumatoid arthritis
12017791000006118,SAFE (Salford Rheumatoid Arthritis Foot Evaluation) Instrument
12017781000006116,Salford Rheumatoid Arthritis Foot Evaluation Instrument
12023111000006112,SAFE (Salford Rheumatoid Arthritis Foot Evaluation) Instrument Part A: Fixed Scale - Footwear total score
12023101000006114,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part A: Fixed Scale - Footwear total score
12023121000006116,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part A: Fixed Scale - Disability total score
12023131000006118,SAFE (Salford Rheumatoid Arthritis Foot Evaluation) Instrument Part A: Fixed Scale - Disability total score
12023141000006111,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - Personal feelings domain total score
12023151000006113,SAFE (Salford Rheumatoid Arthritis Foot Evaluation) Instrument Part B: Patient Preference Scale - Personal feelings domain total score
12023161000006110,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - Impact on career domain total score
12023171000006115,SAFE (Salford Rheumatoid Arthritis Foot Evaluation) Instrument Part B: Patient Preference Scale - Impact on career domain total score
12023181000006117,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - Effect on family life domain total score
12023191000006119,SAFE (Salford Rheumatoid Arthritis Foot Evaluation) Instrument Part B: Patient Preference Scale - Effect on family life domain total score
12023201000006116,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - External factors that affect foot symptoms domain total score
12023211000006118,SAFE (Salford Rheumatoid Arthritis Foot Evaluation) Instrument Part B: Patient Preference Scale - External factors that affect foot symptoms domain total score
12023221000006114,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - Visual impact domain total score
12023231000006112,SAFE (Salford Rheumatoid Arthritis Foot Evaluation) Instrument Part B: Patient Preference Scale - Visual impact domain total score
12023251000006117,SAFE (Salford Rheumatoid Arthritis Foot Evaluation) Instrument Part A: Fixed Scale - Impairment total score
12023241000006119,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part A: Fixed Scale - Impairment total score
12023331000006116,SAFE (Salford Rheumatoid Arthritis Foot Evaluation) Instrument Part B: Patient Preference Scale - Personal adaptation domain total score
12023321000006119,Salford Rheumatoid Arthritis Foot Evaluation Instrument Part B: Patient Preference Scale - Personal adaptation domain total score
3901751000006115,Uveitis-rheumatoid arthritis syndrome
309788014,Rheumatoid arthritis of spine
16911000006114,Rheumatoid arthritis with organ / system involvement
1778239014,Rheumatoid lung disease
162231000006117,Rheumatoid arthropathy + visceral/systemic involvement NOS
424981000006114,[X]Rheumatoid arthritis+involvement/other organs or systems
2196791000000119,Rheumatoid arthritis annual review
1148421000000118,Rheumatic disorder annual review invitation
162381000006114,Rheumatol.dis. monitoring NOS
162301000006117,Rheumatoid lung
1779323014,Rheumatoid vasculitis
309812014,Rheumatoid bursitis
162341000006115,Rheumatoid nodule
39771016,Rheumatic carditis
889831000006115,Acute/subacute carditis
485614018,Rheumatoid nodule
309824019,Juvenile rheumatoid arthropathy unspecified
1786545019,Rheumatoid lung
