SNOMED Code,Description
75822003,Acute polyarticular juvenile rheumatoid arthritis (disorder)
416666007,Anterior uveitis in juvenile idiopathic arthritis (disorder)
444009006,Assessment of rheumatoid arthritis (procedure)
493231000000104,Assessment of rheumatoid arthritis using disease activity score - original (regime/therapy)
493241000000108,Assessment of rheumatoid arthritis using disease activity score using 28 joint count (regime/therapy)
493251000000106,Assessment of rheumatoid arthritis using disease activity score using C-reactive protein (regime/therapy)
1961000,Chronic polyarticular juvenile rheumatoid arthritis (disorder)
402431009,Cutaneous atrophy due to rheumatoid arthritis (disorder)
15744441000119101,Deformity of bilateral hands due to rheumatoid arthritis (disorder)
96531000119109,Deformity of hand due to rheumatoid arthritis (disorder)
1073891000119106,Deformity of left foot co-occurrent and due to rheumatoid arthritis (disorder)
1073871000119105,Deformity of left hand co-occurrent and due to rheumatoid arthritis (disorder)
1073881000119108,Deformity of right foot co-occurrent and due to rheumatoid arthritis (disorder)
1073861000119104,Deformity of right hand co-occurrent and due to rheumatoid arthritis (disorder)
10713006,Diffuse interstitial rheumatoid disease of lung (disorder)
21430002,Dilated cardiomyopathy secondary to rheumatoid arthritis (disorder)
239797009,Early onset pauciarticular chronic arthritis (disorder)
735599007,Erosion of joint surface co-occurrent and due to rheumatoid arthritis (disorder)
52661003,Extra-articular rheumatoid process (disorder)
57160007,Felty's syndrome (disorder)
201791009,Flare of rheumatoid arthritis (disorder)
161567008,History of rheumatoid arthritis (situation)
410795001,Juvenile rheumatoid arthritis (disorder)
239798004,Late onset pauciarticular chronic arthritis (disorder)
201799006,Monarticular juvenile rheumatoid arthritis (disorder)
193250002,Myopathy due to rheumatoid arthritis (disorder)
74391003,Pauciarticular juvenile rheumatoid arthritis (disorder)
7607008,Pericarditis co-occurrent with extraarticular rheumatoid arthritis (disorder)
193180002,Polyneuropathy in rheumatoid arthritis (disorder)
399923009,Rheumatoid arteritis (disorder)
69896004,Rheumatoid arthritis (disorder)
143441000119108,Rheumatoid arthritis in remission (disorder)
201768005,Rheumatoid arthritis of acromioclavicular joint (disorder)
201779000,Rheumatoid arthritis of ankle (disorder)
287008006,Rheumatoid arthritis of ankle and/or foot (disorder)
15686281000119101,Rheumatoid arthritis of bilateral feet (disorder)
15687321000119109,Rheumatoid arthritis of bilateral hands (disorder)
15687201000119107,Rheumatoid arthritis of bilateral knees (disorder)
201764007,Rheumatoid arthritis of cervical spine (disorder)
201774005,Rheumatoid arthritis of distal interphalangeal joint of finger (disorder)
201770001,Rheumatoid arthritis of distal radioulnar joint (disorder)
201769002,Rheumatoid arthritis of elbow (disorder)
201783000,Rheumatoid arthritis of first metatarsophalangeal joint (disorder)
429192004,Rheumatoid arthritis of foot (disorder)
287007001,Rheumatoid arthritis of hand joint (disorder)
201775006,Rheumatoid arthritis of hip (disorder)
201785007,Rheumatoid arthritis of interphalangeal joint of toe (disorder)
781206002,Rheumatoid arthritis of joint of spine (disorder)
201777003,Rheumatoid arthritis of knee (disorder)
1073701000119107,Rheumatoid arthritis of left foot (disorder)
1073701000119100,Rheumatoid arthritis of left foot (disorder)
1073711000119105,Rheumatoid arthritis of left hand (disorder)
1073711000119100,Rheumatoid arthritis of left hand (disorder)
1073721000119100,Rheumatoid arthritis of left hip (disorder)
1073721000119103,Rheumatoid arthritis of left hip (disorder)
1073731000119100,Rheumatoid arthritis of left knee (disorder)
1073741000119109,Rheumatoid arthritis of left shoulder (disorder)
1073751000119106,Rheumatoid arthritis of left wrist (disorder)
201784006,Rheumatoid arthritis of lesser metatarsophalangeal joint (disorder)
201772009,Rheumatoid arthritis of metacarpophalangeal joint (disorder)
287006005,Rheumatoid arthritis of multiple joints (disorder)
201773004,Rheumatoid arthritis of proximal interphalangeal joint of finger (disorder)
1073781000119104,Rheumatoid arthritis of right foot (disorder)
1073791000119101,Rheumatoid arthritis of right hand (disorder)
1073791000119100,Rheumatoid arthritis of right hand (disorder)
1073801000119100,Rheumatoid arthritis of right hip (disorder)
1073811000119102,Rheumatoid arthritis of right knee (disorder)
1073821000119109,Rheumatoid arthritis of right shoulder (disorder)
1073831000119107,Rheumatoid arthritis of right wrist (disorder)
201776007,Rheumatoid arthritis of sacroiliac joint (disorder)
201766009,Rheumatoid arthritis of shoulder (disorder)
201767000,Rheumatoid arthritis of sternoclavicular joint (disorder)
201780002,Rheumatoid arthritis of subtalar joint (disorder)
201781003,Rheumatoid arthritis of talonavicular joint (disorder)
427770001,Rheumatoid arthritis of temporomandibular joint (disorder)
201778008,Rheumatoid arthritis of tibiofibular joint (disorder)
201771002,Rheumatoid arthritis of wrist (disorder)
195411000000109,Rheumatoid arthritis test (procedure)
12396006,Rheumatoid arthritis virus (organism)
239795001,Rheumatoid arthritis with multisystem involvement (disorder)
735600005,Rheumatoid arthritis without erosion (disorder)
28880005,Rheumatoid carditis (disorder)
319841000119107,Rheumatoid lung disease with rheumatoid arthritis (disorder)
398640008,Rheumatoid pneumoconiosis (disorder)
239792003,Seronegative rheumatoid arthritis (disorder)
15691241000119101,Seronegative rheumatoid arthritis of bilateral knees (disorder)
15691321000119101,Seronegative rheumatoid arthritis of bilateral wrists (disorder)
1569132100011910,Seronegative rheumatoid arthritis of bilateral wrists (disorder)
15691321000119100,Seronegative rheumatoid arthritis of bilateral wrists (disorder)
319081000119109,Seronegative rheumatoid arthritis of multiple sites (disorder)
308143008,Seropositive erosive rheumatoid arthritis (disorder)
239791005,Seropositive rheumatoid arthritis (disorder)
16606721000119107,Seropositive rheumatoid arthritis in remission (disorder)
16050071000119108,Seropositive rheumatoid arthritis of bilateral feet (disorder)
16050071000119100,Seropositive rheumatoid arthritis of bilateral feet (disorder)
15691881000119107,Seropositive rheumatoid arthritis of bilateral knees (disorder)
318861000119101,Seropositive rheumatoid arthritis of left hand (disorder)
11055151000119108,Seropositive rheumatoid arthritis of multiple joints (disorder)
318931000119100,Seropositive rheumatoid arthritis of right hand (disorder)
836472001,Spindling of fingers of bilateral hands due to rheumatoid arthritis (disorder)
201796004,Systemic onset juvenile chronic arthritis (disorder)
86219005,Uveitis-rheumatoid arthritis syndrome (disorder)
847261000000104,Rheumatoid arthritis annual review (regime/therapy)
882321000000105,Rheumatoid arthritis monitoring invitation (procedure)
494441000000105,Rheumatoid arthritis work instability scale (assessment scale)
1083081000000100,Rheumatoid arthritis monitoring invitation email (procedure)
446043004,Rheumatoid arthritis work instability scale score (observable entity)
882461000000105,Rheumatoid arthritis monitoring verbal invitation (procedure)
882401000000106,Rheumatoid arthritis monitoring invitation first letter (procedure)
882421000000102,Rheumatoid arthritis monitoring invitation second letter (procedure)
882441000000109,Rheumatoid arthritis monitoring invitation third letter (procedure)
882481000000101,Rheumatoid arthritis monitoring telephone invitation (procedure)
275902004,Rheumatoid arthritis monitoring (regime/therapy)
