SNOMEDCTCodes,Description
15193003,"Severe recurrent major depression with psychotic features, mood-incongruent (disorder)"
16264621000119100,Recurrent mild major depressive disorder co-occurrent with anxiety (disorder)
16264821000119100,Recurrent severe major depressive disorder co-occurrent with anxiety (disorder)
16264901000119100,Recurrent moderate major depressive disorder co-occurrent with anxiety (disorder)
16265061000119100,Recurrent major depressive disorder co-occurrent with anxiety in full remission (disorder)
16265301000119100,Recurrent major depressive disorder in partial remission co-occurrent with anxiety (disorder)
18818009,Moderate recurrent major depression (disorder)
191610000,"Recurrent major depressive episodes, mild (disorder)"
191611001,"Recurrent major depressive episodes, moderate (disorder)"
191613003,"Recurrent major depressive episodes, severe, with psychosis (disorder)"
2618002,Chronic recurrent major depressive disorder (disorder)
268621008,Recurrent major depressive episodes (disorder)
274948002,Endogenous depression - recurrent (disorder)
281000119103,Severe recurrent major depression (disorder)
28475009,Severe recurrent major depression with psychotic features (disorder)
319768000,Recurrent major depressive disorder with melancholic features (disorder)
33078009,"Severe recurrent major depression with psychotic features, mood-congruent (disorder)"
33135002,Recurrent major depression in partial remission (disorder)
36474008,Severe recurrent major depression without psychotic features (disorder)
38694004,Recurrent major depressive disorder with atypical features (disorder)
39809009,Recurrent major depressive disorder with catatonic features (disorder)
40379007,Mild recurrent major depression (disorder)
66344007,Recurrent major depression (disorder)
68019004,Recurrent major depression in remission (disorder)
71336009,Recurrent major depressive disorder with postpartum onset (disorder)
720451004,Minimal recurrent major depression (disorder)
720452006,Moderately severe recurrent major depression (disorder)
755331000000108,"Recurrent major depressive episodes, severe, with psychosis, psychosis in remission (disorder)"
764611000000100,"Recurrent major depressive episodes, severe (disorder)"
764691000000109,"Recurrent major depressive episodes, in partial remission (disorder)"
764701000000109,"Recurrent major depressive episodes, in remission (disorder)"
