MedCodeID,Description
4756781000006119,Light-for-dates without fetal malnutrition
4756791000006116,Light-for-dates without foetal malnutrition
4798381000006111,Small-for-dates baby
4798411000006114,Small for gestational age baby
306719014,Small-for-dates - delivered
4798401000006111,SFD - Small-for-dates baby
671011000006119,Fetus small-for-dates (SFD) with signs of malnutrition
4835621000006115,Fetus small-for-dates SFD - with signs of malnutrition
316092018,Fetus small-for-dates with signs of malnutrition
4835641000006110,Foetus small-for-dates SFD - with signs of malnutrition
4835631000006117,Foetus small-for-dates with signs of malnutrition
894011000006118,As fetus: small for dates+maln
5499581000006110,SFD - Foetus small-for-dates
306717011,Small-for-dates unspecified
5499531000006114,Infant underweight for gestational age
5499481000006111,SGA - Small for gestational age fetus
5499491000006114,Fetus small-for-dates
5499501000006118,Subnormal birth weight
306723018,Small-for-dates NOS
5499511000006115,Light for gestational dates
5499551000006119,Small for gestational age
743281000006113,Light for gestational age
5499561000006117,Foetus small-for-dates
5499571000006112,SGA - Small for gestational age foetus
1495277016,Light for gestational age
137031000006119,Small for gestational age fetus
5499521000006111,Light for dates
5499471000006113,SFD - Fetus small-for-dates
5587071000006119,Diabetes mellitus in neonate small for gestational age
5587291000006114,Neutropenia of the small for gestational age baby
5587301000006110,McIntosh syndrome
3543811000006113,Light-for-dates with signs of fetal malnutrition
3543821000006117,Infant light-for-dates with dry peeling skin AND loss of subcutaneous tissue
3543831000006119,Light-for-dates with signs of foetal malnutrition
7832851000006114,Symmetrical small for gestational age foetus
7832861000006111,Symmetrical small for gestational age fetus
7836881000006117,Asymmetrical small for gestational age fetus
7836871000006115,Asymmetrical small for gestational age foetus
306721016,Small-for-dates with antenatal problem
894001000006116,Small for dates as fetus
671041000006115,"Fetus small-for-dates, without mention of malnutrition"
671021000006110,"Fetus small-for-dates (SFD), without mention of malnutrition"
