CTV3Codes,Description
N000.,Systemic lupus erythematosus
X704X,Systemic lupus erythematosus with organ/system involvement
XE0da,Lupus nephritis
X30Kn,Lupus nephritis - WHO Class I
X30Ko,Lupus nephritis - WHO Class II
X30Kp,Lupus nephritis - WHO Class III
X30Kq,Lupus nephritis - WHO Class IV
X30Kr,Lupus nephritis - WHO Class V
X30Ks,Lupus nephritis - WHO Class VI
XM197,[EDTA] Lupus erythematosus associated with renal failure
X00Dx,Cerebral lupus
X704a,Lupus panniculitis
N0001,Libman-Sacks disease
XaC1J,Systemic lupus erythematosus with pericarditis
X704c,Systemic lupus erythematosus with multisystem involvement
N0002,Drug-induced systemic lupus erythematosus
N000z,Systemic lupus erythematosus NOS
Nyu43,[X]Other forms of systemic lupus erythematosus
X0046,Chorea in systemic lupus erythematosus
H57y4,Lung disease with systemic lupus erythematosus
XaBE1,Renal tubulo-interstitial disord in systemic lupus erythemat
