SNOMEDCTCodes,Description
55464009,Systemic lupus erythematosus (disorder)
403486000,Acute systemic lupus erythematosus (disorder)
773333003,Autosomal systemic lupus erythematosus (disorder)
239889005,Bullous systemic lupus erythematosus (disorder)
724767000,Chorea co-occurrent and due to systemic lupus erythematosus (disorder)
724781003,Demyelination of central nervous system co-occurrent and due to systemic lupus erythematosus (disorder)
201436003,Drug-induced systemic lupus erythematosus (disorder)
403487009,Fulminating systemic lupus erythematosus (disorder)
239886003,Limited lupus erythematosus (disorder)
196138005,Lung disease with systemic lupus erythematosus (disorder)
19682006,Lupus hepatitis (disorder)
295121000119101,Nephrosis co-occurrent and due to systemic lupus erythematosus (disorder)
295101000119105,Nephropathy co-occurrent and due to systemic lupus erythematosus (disorder)
68815009,Systemic lupus erythematosus glomerulonephritis syndrome (disorder)
73286009,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class I (disorder)"
4676006,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class II (disorder)"
76521009,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class III (disorder)"
36402006,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class IV (disorder)"
52042003,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class V (disorder)"
11013005,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class VI (disorder)"
54072008,Nonbacterial verrucal endocardiosis (disorder)
95644001,Systemic lupus erythematosus encephalitis (disorder)
309762007,Systemic lupus erythematosus with pericarditis (disorder)
95332009,Rash of systemic lupus erythematosus (disorder)
698694005,Systemic lupus erythematosus in remission (disorder)
403488004,Systemic lupus erythematosus of childhood (disorder)
704143006,Maternal history of systemic lupus erythematosus (situation)
72181000119109,Endocarditis due to systemic lupus erythematosus (disorder)
273863009,Systemic lupus erythematosus disease activity index (assessment scale)
397856003,Systemic lupus erythematosus-related syndrome (disorder)
25380002,Pericarditis co-occurrent and due to systemic lupus erythematosus (disorder)
905381000000108,Systemic lupus erythematosus/Sjogren's overlap syndrome (disorder)
308751000119106,Glomerular disease due to systemic lupus erythematosus (disorder)
295111000119108,Nephrotic syndrome co-occurrent and due to systemic lupus erythematosus (disorder)
732960002,Secondary autoimmune hemolytic anemia co-occurrent and due to systemic lupus erythematosus (disorder)
417303004,Retinal vasculitis due to systemic lupus erythematosus (disorder)
307755009,Renal tubulo-interstitial disorder in systemic lupus erythematosus (disorder)
239890001,Systemic lupus erythematosus with multisystem involvement (disorder)
36471000,Dilated cardiomyopathy secondary to systemic lupus erythematosus (disorder)
402865003,Systemic lupus erythematosus-associated antiphospholipid syndrome (disorder)
