MedCodeID,Description
2675171000006110,Lupus nephritis - WHO Class VI
2675201000006114,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class VI"
2675151000006117,SLE with advanced sclerosing glomerulonephritis
2675181000006113,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organisation (WHO) class VI"
2675191000006111,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization (WHO) class VI"
2675161000006115,Lupus with glomerular sclerosis
2675141000006119,"SLE glomerulonephritis syndrome, WHO class VI"
301721015,Lung disease with systemic lupus erythematosus
2812511000006115,Lupus hepatitis
309405011,Drug-induced systemic lupus erythematosus
5140891000006113,Bullous systemic lupus erythematosus
5140901000006112,Systemic lupus erythematosus with multisystem involvement
11851321000006119,Pericarditis co-occurrent and due to systemic lupus erythematosus
2905941000006111,Pericarditis secondary to systemic lupus erythematosus
5557101000006118,SLEDAI - Systemic lupus erythematosus disease activity index
5557091000006112,Systemic lupus erythematosus disease activity index
8091131000006116,Nephropathy co-occurrent and due to systemic lupus erythematosus
8091151000006111,Nephrotic syndrome co-occurrent and due to systemic lupus erythematosus
8091161000006113,Nephrosis co-occurrent and due to systemic lupus erythematosus
8091171000006118,Nephrosis with systemic lupus erythematosus
177301000006114,Renal tubulo-interstitial disorder in systemic lupus erythematosus
8099911000006113,Glomerular disease due to SLE (systemic lupus erythematosus)
8099901000006110,Glomerular disease due to systemic lupus erythematosus
453243010,Systemic lupus erythematosus with pericarditis
3086681000006116,SLE with diffuse proliferative glomerulonephritis
3086691000006118,Lupus nephritis - WHO Class IV
3086701000006118,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organisation (WHO) class IV"
3086721000006111,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class IV"
3086671000006119,"SLE glomerulonephritis syndrome, WHO class IV"
3086711000006115,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization (WHO) class IV"
3087841000006114,Dilated cardiomyopathy secondary to systemic lupus erythematosus
6593811000006113,Systemic lupus erythematosus-related syndrome
6593821000006117,SLE - Systemic lupus erythematosus-related syndrome
6670991000006115,Systemic lupus erythematosus-associated antiphospholipid syndrome
6681821000006113,Acute systemic lupus erythematosus
6681831000006111,Fulminating systemic lupus erythematosus
6681841000006118,Systemic lupus erythematosus of childhood
6905051000006113,Retinal vasculitis due to systemic lupus erythematosus
2573601000006117,Lupus nephritis - WHO Class II
2573611000006119,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organisation (WHO) class II"
2573591000006113,SLE with mesangial proliferative glomerulonephritis
2573621000006110,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization (WHO) class II"
2573581000006110,"SLE glomerulonephritis syndrome, WHO class II"
2573631000006113,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class II"
3343571000006117,"SLE glomerulonephritis syndrome, WHO class V"
3343631000006116,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class V"
3343621000006119,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization (WHO) class V"
3343611000006110,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organisation (WHO) class V"
3343581000006119,SLE with membranous glomerulonephritis
3343601000006112,Lupus nephritis - WHO Class V
3343591000006116,Membranous lupus glomerulonephritis
3377101000006113,Nonbacterial verrucous endocarditis
496853017,Libman-Sacks disease
3377081000006117,Atypical verrucal endocarditis
3377061000006110,Nonbacterial verrucal endocardiosis
3377071000006115,Libman-Sacks endocarditis
3377091000006119,Atypical verrucous endocarditis
312579010,[X]Other forms of systemic lupus erythematosus
92209015,Disseminated lupus erythematosus
309408013,Systemic lupus erythematosus NOS
3400601000006117,SLE - Systemic lupus erythematosus
92208011,Systemic lupus erythematosus
3619221000006118,SLE glomerulonephritis syndrome
677561000006119,Nephrotic syndrome in systemic lupus erythematosus
3619241000006113,Systemic lupus erythematosus glomerulonephritis syndrome
114310015,Lupus nephritis
7511501000006112,Systemic lupus erythematosus in remission
7586981000006119,Maternal history of systemic lupus erythematosus
8022621000006111,Endocarditis due to systemic lupus erythematosus
7860991000006115,Chorea with systemic lupus erythematosus
7860981000006118,Chorea co-occurrent and due to systemic lupus erythematosus
7861211000006111,Demyelination with systemic lupus erythematosus
7861201000006113,Demyelination of central nervous system co-occurrent and due to systemic lupus erythematosus
3691761000006115,"SLE glomerulonephritis syndrome, WHO class I"
3691781000006113,Lupus nephritis - WHO Class I
3691811000006110,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class I"
3691801000006112,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization (WHO) class I"
3691771000006110,SLE with normal kidneys
3691791000006111,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organisation (WHO) class I"
7951841000006111,Haemolytic anaemia associated with systemic lupus erythematosus
7951821000006116,Secondary autoimmune haemolytic anaemia co-occurrent and due to systemic lupus erythematosus
7951831000006118,Secondary autoimmune hemolytic anemia co-occurrent and due to systemic lupus erythematosus
7951851000006113,Hemolytic anemia associated with systemic lupus erythematosus
3744691000006115,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class III"
3744641000006112,"SLE glomerulonephritis syndrome, WHO class III"
3744661000006111,Lupus nephritis - WHO Class III
3744651000006114,SLE with focal AND segmental proliferative glomerulonephritis
3744671000006116,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization (WHO) class III"
3744681000006118,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organisation (WHO) class III"
8320771000006119,Systemic lupus erythematosus/Sjogren's overlap syndrome
4054931000006112,Butterfly rash associated with systemic lupus
4054921000006114,Rash of systemic lupus erythematosus
4060271000006119,Lupus encephalopathy
158442019,Systemic lupus erythematosus encephalitis
512234017,Cerebral lupus
4060291000006118,Cerebral systemic lupus erythematosus
114251000006118,Systemic lupus erythematosus with organ/system involvement
158372014,Neonatal lupus erythematosus
