CTV3Codes,Description
XM06i,Sleep disturbance
XaZKa,Excessive somnolence
X76AE,Sleep rhythm problem
XE2Pv,Insomnia
X76AG,Not getting enough sleep
X007u,Difficulty getting to sleep
X007v,Keeps waking up
X76AJ,Wakes and cannot sleep again
X76AK,Early waking
XaIv5,Early morning waking
X76AL,Circumstances interfere with sleep
1B1B0,Initial insomnia
1B1B1,Middle insomnia
1B1B2,Late insomnia
E2742,Persistent insomnia
X007s,Insomnia NOS
X76AM,Symptoms interfere with sleep
XE1Yg,Transient insomnia
X76AN,Restless sleep
X007w,Excessive sleep
X007z,Excessive daytime sleepiness - normal night sleep
X0080,Excessive day and night-time sleepiness
X0081,Postviral excessive daytime sleepiness
F271.,Narcoleptic syndrome
Xa0Kk,Sleep paralysis
F270.,Cataplexy
F27z.,Cataplexy or narcolepsy NOS
X0082,Excess daytime sleepiness with sleep paralysis
X76AQ,Oversleeps
X007y,Hypersomnia of non-organic origin
E2744,Persistent hypersomnia
F27..,Cataplexy and narcolepsy
X007x,Hypersomnia NOS
XE1Yh,Transient hypersomnia
X76AR,Always sleepy
XSGLz,Light sleep
XM06k,Disorder of sleep-wake cycle
X0088,Transient sleep-wake rhythm disorder
X0089,Delayed sleep phase syndrome
XM06j,Irregular sleep-wake pattern
X008A,Non-24 hour sleep-wake cycle
E274F,Reversed sleep-wake cycle
E2745,Jet lag - disorder
E2746,Work shift change
E274B,Repeated rapid eye movement sleep interruptions
Fy01.,Disorders of excessive somnolence
R005.,[D]Sleep disturbances
R0050,"[D]Sleep disturbance, unspecified"
R0051,[D]Insomnia with sleep apnoea
R0052,[D]Insomnia NOS
R0054,[D]Hypersomnia NOS
R0055,[D]Sleep rhythm inversion
R0056,[D]Sleep rhythm irregular
R0057,[D]Sleep-wake rhythm non-24-hour cycle
R0058,[D]Sleep dysfunction with sleep stage disturbance
R0059,[D]Sleep dysfunction with arousal disturbance
R005z,[D]Sleep dysfunction NOS
XE1gP,[D]Sleep dysfunction NEC
XE2nU,[D]Hypersomnia with sleep apnoea
XM0yu,[D]Insomnia
XaC0p,[D]Hypersomnia
XaEGP,[D]Sleep apnoea syndrome
X007q,Sleep disorders
X0083,Sleep apnoea
X0084,Obstructive sleep apnoea
X0085,Central sleep apnoea
X0086,Mixed sleep apnoea
X0087,Alveolar sleep apnoea
X008E,Kleine-Levin syndrome
663N.,Asthma disturbing sleep
663N0,Asthma causing night waking
663N1,Asthma disturbs sleep weekly
663N2,Asthma disturbs sleep frequently
663O0,Asthma never disturbs sleep
XaKv8,Chronic obstructive pulmonary disease disturbs sleep
X008C,Sleep-related head banging
X008D,Sleep-related painful erections
X008F,Sleep-related respiratory failure
X008G,Sleep-related dystonia
X008H,Parasomnia
E2748,Night terrors
X7649,Reaction to sudden wakening
E2749,Nightmares
X764K,Sleep automatism
XaJEd,Nocturnal sleep-related eating disorder
XM1GE,Sleep-related bruxism
Ua1ZQ,Sleep talking
E274A,Sleep drunkenness
XE2Q5,Non-organic sleep disorder
Eu510,Nonorganic insomnia
XE1Zr,Non-organic disorder of the sleep-wake schedule
E2747,Sleepwalking
E2740,Unspecified non-organic sleep disorder
E274z,Non-organic sleep disorder NOS
Eu51y,[X]Other nonorganic sleep disorders
Eu51z,"[X]Nonorganic sleep disorder, unspecified"
XE1Yj,Other non-organic sleep disorder
E274C,Other sleep stage or arousal dysfunction
E274E,Short-sleeper
Fy00.,Disorders of initiating and maintaining sleep
Fyu58,[X]Other sleep disorders
XE1Yi,Repetitive intrusions of sleep
Xa7wV,Poor sleep
X76A0,Unrefreshed by sleep
X7647,Sleep behaviour
X764J,No recollection of sleep walk
X764H,Unresponsive to communication whilst sleep walking
X764I,Not easily wakened from sleep walking
X764G,Blank staring face whilst sleep walking
X764D,Low level awareness whilst sleep walking
X764E,Low level reactivity whilst sleep walking
X764F,Low level of motor skill whilst sleep walking
X76AF,Unable to sleep
XaN5q,Seen in sleep clinic
XaOb7,Referral to sleep clinic
X006x,Sleep-related epilepsy
K5A21,Menopausal sleeplessness
XaP4v,Sleep hygeine behaviour education
X008F,Sleep related respiratory failure
X20M9,Insertion of device for sleep apnoea
ZV1B1,[V]Personal history of unhealthy sleep-wake cycle
