V2Codes,Description
B494.,Malignant neoplasm of posterior wall of urinary bladder
B5811,Secondary malignant neoplasm of bladder
B49y.,Malignant neoplasm of other site of urinary bladder
BB43.,[M]Transitional cell carcinoma NOS
B49..,Malignant neoplasm of urinary bladder
B492.,Malignant neoplasm of lateral wall of urinary bladder
BA04.,Neoplasm of unspecified nature of bladder
BB47.,"[M]Transitional cell carcinoma, spindle cell type"
B490.,Malignant neoplasm of trigone of urinary bladder
ByuC5,[X]2ndry malignant neoplasm/bladder+oth+unsp urinary organs
B491.,Malignant neoplasm of dome of urinary bladder
B497.,Malignant neoplasm of urachus
B496.,Malignant neoplasm of ureteric orifice
B495.,Malignant neoplasm of bladder neck
BB4A.,[M]Papillary transitional cell carcinoma
B49z.,Malignant neoplasm of urinary bladder NOS
B49y0,"Malignant neoplasm, overlapping lesion of bladder"
BB9K.,[M]Paget's disease and infiltrating breast duct carcinoma
B342.,Malignant neoplasm of upper-inner quadrant of female breast
B343.,Malignant neoplasm of lower-inner quadrant of female breast
B3500,Malignant neoplasm of nipple of male breast
B34yz,Malignant neoplasm of other site of female breast NOS
B341.,Malignant neoplasm of central part of female breast
B3...,"Malig neop of bone, connective tissue, skin and breast"
BB911,[M]Infiltrating duct and lobular carcinoma
B58y0,Secondary malignant neoplasm of breast
B34y0,Malignant neoplasm of ectopic site of female breast
B34..,Malignant neoplasm of female breast
B340.,Malignant neoplasm of nipple and areola of female breast
B5826,Secondary malignant neoplasm of skin of breast
B34y.,Malignant neoplasm of other site of female breast
B347.,"Malignant neoplasm, overlapping lesion of breast"
BB9F.,[M]Lobular carcinoma NOS
BA03.,Neoplasm of unspecified nature of breast
B345.,Malignant neoplasm of lower-outer quadrant of female breast
B350.,Malignant neoplasm of nipple and areola of male breast
B34z.,Malignant neoplasm of female breast NOS
BB94.,[M]Juvenile breast carcinoma
B340z,Malignant neoplasm of nipple or areola of female breast NOS
B3351,"Malignant neoplasm of skin of chest, excluding breast"
B3y..,"Malig neop of bone, connective tissue, skin and breast OS"
BB91.,[M]Infiltrating duct carcinoma
B35z.,Malignant neoplasm of other site of male breast
Byu6.,[X]Malignant neoplasm of breast
BB96.,[M]Noninfiltrating intraductal papillary adenocarcinoma
B346.,Malignant neoplasm of axillary tail of female breast
B3z..,"Malig neop of bone, connective tissue, skin and breast NOS"
B3352,Malignant neoplasm of skin of breast
B344.,Malignant neoplasm of upper-outer quadrant of female breast
B35z0,Malignant neoplasm of ectopic site of male breast
B35zz,Malignant neoplasm of male breast NOS
BB90.,"[M]Intraductal carcinoma, noninfiltrating NOS"
B3401,Malignant neoplasm of areola of female breast
BB9J.,"[M]Paget's disease, breast"
B3400,Malignant neoplasm of nipple of female breast
B35..,Malignant neoplasm of male breast
B3501,Malignant neoplasm of areola of male breast
BB9K0,[M]Paget's disease and intraductal carcinoma of breast
B412.,"Malignant neoplasm, overlapping lesion of cervix uteri"
B4100,Malignant neoplasm of endocervical canal
B58y2,Secondary cancer of the cervix
B41z.,Malignant neoplasm of cervix uteri NOS
B4101,Malignant neoplasm of endocervical gland
B410z,Malignant neoplasm of endocervix NOS
B410.,Malignant neoplasm of endocervix
B41y0,Malignant neoplasm of cervical stump
B41..,Malignant neoplasm of cervix uteri
B411.,Malignant neoplasm of exocervix
B41y.,Malignant neoplasm of other site of cervix
B41yz,Malignant neoplasm of other site of cervix NOS
B41y1,Malignant neoplasm of squamocolumnar junction of cervix
BB2N.,"[M]Intraepit neop,grade III,of cervix, vulva and vagina"
B20y.,"Malig neop other site nasal cavity, middle ear and sinuses"
B3001,Malignant neoplasm of frontal bone
B5504,Malignant neoplasm of neck NOS
B300A,Malignant neoplasm of maxilla
B200z,Malignant neoplasm of nasal cavities NOS
B5071,Malignant neoplasm of nasolacrimal duct
B213.,Malignant neoplasm of laryngeal cartilage
B2003,Malignant neoplasm of vestibule of nose
B502.,Malignant neoplasm of lacrimal gland
B07..,Malignant neoplasm of nasopharynx
B2002,Malignant neoplasm of septum of nose
B2001,Malignant neoplasm of nasal conchae
B5600,Secondary and unspec malig neop of superficial parotid LN
B206.,"Malignant neoplasm, overlapping lesion of accessory sinuses"
B560z,Secondary unspec malig neop lymph nodes head/face/neck NOS
B3104,Malignant neoplasm of tarsus of eyelid
B022.,Malignant neoplasm of sublingual gland
B203.,Malignant neoplasm of ethmoid sinus
B5822,Secondary malignant neoplasm of skin of neck
B021.,Malignant neoplasm of submandibular gland
B507.,Malignant neoplasm of lacrimal duct
B5500,Malignant neoplasm of head NOS
B301.,Malignant neoplasm of mandible
B3100,Malignant neoplasm of soft tissue of head
B6011,"Lymphosarcoma of lymph nodes of head, face and neck"
B204.,Malignant neoplasm of frontal sinus
B3000,Malignant neoplasm of ethmoid bone
B02y.,Malignant neoplasm of other major salivary glands
B6001,"Reticulosarcoma of lymph nodes of head, face and neck"
B205.,Malignant neoplasm of sphenoidal sinus
B3341,Malignant neoplasm of skin of neck
B5070,Malignant neoplasm of lacrimal sac
B21y.,"Malignant neoplasm of larynx, other specified site"
B202.,Malignant neoplasm of maxillary sinus
B020.,Malignant neoplasm of parotid gland
B20..,"Malig neop nasal cavities, middle ear and accessory sinuses"
B560.,Secondary and unspec malig neop lymph nodes head/face/neck
B310z,"Malig neop connective and soft tissue head, face, neck NOS"
B550z,"Malignant neoplasm of head, neck and face NOS"
B2000,Malignant neoplasm of cartilage of nose
B3009,Malignant neoplasm of zygomatic bone
B62z1,Unspec malig neop lymphoid/histiocytic lymph node head/neck
B334z,Malignant neoplasm of scalp or skin of neck NOS
B213z,Malignant neoplasm of laryngeal cartilage NOS
B300.,Malignant neoplasm of bones of skull and face
B02z.,Malignant neoplasm of major salivary gland NOS
B3003,Malignant neoplasm of nasal bone
B3102,Malignant neoplasm of soft tissue of neck
B214.,"Malignant neoplasm, overlapping lesion of larynx"
B21..,Malignant neoplasm of larynx
B2013,Malignant neoplasm of mastoid air cells
B334.,Malignant neoplasm of scalp and skin of neck
B310.,"Malig neop of connective and soft tissue head, face and neck"
B21z.,Malignant neoplasm of larynx NOS
B5502,Malignant neoplasm of nose NOS
B550.,"Malignant neoplasm of head, neck and face"
B3101,Malignant neoplasm of soft tissue of face
B201z,"Malig neop auditory tube, middle ear, mastoid air cells NOS"
BBa4.,[M]Retinal angle tumour
B0732,Malignant neoplasm posterior margin nasal septum and choanae
B2011,Malignant neoplasm of tympanic cavity
B200.,Malignant neoplasm of nasal cavities
B3311,Malignant neoplasm of upper eyelid
B0z2.,Malignant neoplasm of laryngopharynx
BB5a0,[M]Hypernephroma
B4A..,Renal malignant neoplasm
BBL73,[M]Mesenchymal nephroblastoma
BB5Y.,[M]Hypernephroid tumour
BBL71,[M]Nephroblastoma NOS
BBL7.,[M]Mixed and stromal renal neoplasms
BBL70,[M]Mesoblastic nephroma
B4A1z,Malignant neoplasm of renal pelvis NOS
BBLJ.,[M]Clear cell sarcoma of kidney
B4Az.,Malignant neoplasm of kidney or urinary organs NOS
BBL72,[M]Epithelial nephroblastoma
BBL7z,[M]Mixed or stromal renal neoplasm NOS
B4A00,Hypernephroma
B4A11,Malignant neoplasm of ureteropelvic junction
B4A0.,Malignant neoplasm of kidney parenchyma
BBS..,[M]Mesonephromas
B4A1.,Malignant neoplasm of renal pelvis
B580.,Secondary malignant neoplasm of kidney
B4A10,Malignant neoplasm of renal calyces
B1801,Malignant neoplasm of perinephric tissue
B493.,Malignant neoplasm of anterior wall of urinary bladder
B101.,Malignant neoplasm of thoracic oesophagus
B106.,"Malignant neoplasm, overlapping lesion of oesophagus"
B10y.,Malignant neoplasm of other specified part of oesophagus
B10z.,Oesophageal cancer
B103.,Malignant neoplasm of upper third of oesophagus
B1101,Malignant neoplasm of gastro-oesophageal junction
B102.,Malignant neoplasm of abdominal oesophagus
B105.,Malignant neoplasm of lower third of oesophagus
B100.,Malignant neoplasm of cervical oesophagus
BB5B3,"[M]Insulinoma, malignant"
BB5y3,[M]Apudoma
B162.,Malignant neoplasm of ampulla of Vater
B174.,Malignant neoplasm of Islets of Langerhans
