SNOMEDCTCodes,Description
94632009,Secondary malignant neoplasm of thymus
18105004,"Endometrioid adenofibroma, malignant"
269533000,Carcinoma of colon
110458000,Malignant odontogenic ghost cell tumor
363510005,Malignant tumour of large intestine
94453007,Secondary malignant neoplasm of orbit
448668007,Malignant neoplasm of mandible (disorder)
94066004,Malignant neoplasm of sphenoid bone
363381003,Malignant tumour of sublingual gland
285613005,Metastasis to liver of unknown primary
363450006,Malignant tumor of foreskin
269463006,Malignant tumor of middle ear and mastoid
363353009,Malignant tumor of gallbladder
276803003,Adenocarcinoma of esophagus
285312008,Carcinoma of sigmoid colon
109874003,Overlapping malignant neoplasm of male genital organs
187641009,Malignant tumor of frenum linguae
363423001,Malignant tumour of nasal septum
188209005,Malignant neoplasm of vaginal vault
30289006,Endometrioid carcinoma
315009006,Metastasis from malignant tumor of tongue
1090901000000102,NA
372095001,Malignant neoplasm of male breast (disorder)
254856004,Undifferentiated carcinoma of ovary
372142002,Carcinoma of pancreas (disorder)
274088005,Secondary malignant neoplasm of unknown site
19756007,"Gastrinoma, malignant"
285618001,UKP - Metastasis to bone of unknown primary
255017003,Adenocarcinoma of non-pigmented epithelium of ciliary body
363437005,Malignant tumour of myocardium
1090131000000106,NA
33176006,"Hemangioendothelioma, malignant"
269473008,Secondary malignant neoplasm of respiratory and digestive systems
109391009,Kaposi's sarcoma of lymph nodes
363376007,Malignant tumor of base of tongue
59367005,Adenosquamous carcinoma
285619009,Metastasis to vertebral column of unknown primary
255091001,Malignant neoplasm of metacarpal bones
93798006,Malignant neoplasm of femur
44769000,Choriocarcinoma
188195000,Malignant neoplasm of isthmus of uterine body
187613005,"Malignant neoplasm of lower lip, buccal aspect"
109385007,Kaposi's sarcoma (clinical)
708921005,Carcinoma of central portion of breast (disorder)
254844000,Malignant phyllodes tumor of breast
254474002,Malignant tumour of nasal skeleton
363473003,Malignant neoplasm of brainstem
187994003,Malignant neoplasm of connective and soft tissue of fore-arm
253001006,Trabecular cell carcinoma of skin
188003000,Malignant neoplasm of connective and soft tissue of lower leg
189857001,Choriocarcinoma combined with teratoma
94580002,Secondary malignant neoplasm of small intestine
424413001,Sarcoma (disorder)
94313005,Secondary malignant neoplasm of gastrointestinal tract
94661005,Secondary malignant neoplasm of urethra
93217003,Malignant melanoma of skin of cheek
275394001,Carcinoma ventral surface of tongue
188454009,Secondary malignant neoplasm of skin of head
188188009,Choriocarcinoma
188002005,Malignant neoplasm of connective and soft tissue of popliteal space
188044004,Malignant melanoma of scalp and neck
363478007,Malignant tumor of thyroid gland
94600009,Secondary malignant neoplasm of spinal cord
269516007,Tongue carcinoma
65140001,Periosteal fibrosarcoma
68880006,Papillary mucinous cystadenocarcinoma
276809004,EGC - Early gastric cancer
89740008,Lobular carcinoma
276797002,Malignant tumor of fibrous tissue
413737006,Cancer hospital treatment completed (regime/therapy)
254888007,Adenosquamous carcinoma of cervix
109384006,"Overlapping malignant neoplasm of heart, mediastinum and pleura"
94112009,Malignant neoplasm of ulna
255110003,Adenocarcinoma of bladder
54734006,Sebaceous adenocarcinoma
372131006,Malignant neoplasm of upper limb bones and scapula (disorder)
363404008,Malignant tumour of jejunum
188016000,Malignant neoplasm of connective and soft tissue of abdominal wall
314997007,Metastasis from malignant tumor of rectum
269544008,Carcinoma of the rectosigmoid junction
255118005,Secondary lymphangitic carcinoma
57622002,"Thecoma, malignant"
255088001,Malignant tumor of exocrine pancreas
188219004,Malignant tumour of undescended testis
94554003,Secondary malignant neoplasm of skin of face
363518003,Malignant tumour of kidney
188445006,Secondary malignant neoplasm of retroperitoneum and peritoneum
255012009,Malignant melanoma of iris
93975006,Malignant neoplasm of pubis
188032002,Malignant melanoma of ear and external auricular canal
109876001,Malignant neoplasm of descended testis
188005007,Malignant neoplasm of connective and soft tissue of toe
254974009,Malignant tumor of optic nerve sheath
363441009,Malignant tumour of soft tissue of neck
269467007,Malignant neoplasm of hand bones
85654004,Medullary carcinoma with lymphoid stroma
363422006,Malignant tumor of nasal cavity
363427000,Malignant tumour of frontal sinus
363372009,Malignant tumor of vermilion border of upper lip
188312005,Malignant neoplasm of cerebral dura mater
94597008,Secondary malignant neoplasm of spermatic cord
285603002,UKP - Metastasis to bronchus of unknown primary
21708004,Osteosarcoma
187957007,Malignant neoplasm of coccygeal vertebra
405945003,Malignant neoplasm of metatarsal bone of foot (disorder)
126885006,Neoplasm of bladder
93841009,Malignant neoplasm of intrathoracic organs
94668004,Secondary malignant neoplasm of vagina
39005004,Medulloepithelioma
254424004,Carcinoma of upper gum
314962005,Local recurrence of malignant tumor of gallbladder
187635002,Malignant neoplasm of midline of tongue
46710009,Esthesioneurocytoma
254454009,Carcinoma of lower labial sulcus
82591005,Paget's disease and infiltrating duct carcinoma of breast
363382005,Malignant tumor of gum
188010006,Malignant neoplasm of connective and soft tissue of axilla
188023004,Malignant neoplasm of connective and soft tissue of sacrum or coccyx
1090961000000103,NA
278411006,Primary intra-osseous carcinoma
188075008,Malignant melanoma of foot
255121007,Carcinomatosis of peritoneal cavity
12690005,Fibroblastic osteosarcoma
428061005,Malignant neoplasm of brain (disorder)
314999005,Metastasis from malignant tumour of pancreas
188060000,Malignant melanoma of shoulder
187631006,Malignant neoplasm of base of tongue dorsal surface
716318002,Lynch syndrome (disorder)
14990007,Chondrosarcoma
956331000000107,NA
187952001,"Malignant neoplasm of pelvic bones, sacrum and coccyx"
188313000,Malignant neoplasm of cerebral arachnoid mater
62621002,Pigmented dermatofibrosarcoma protuberans
416669000,Invasive hydatidiform mole (disorder)
84664004,"Hemangiopericytoma, malignant"
254988008,Adenocarcinoma of lacrimal gland
254855000,Mixed epithelial tumor of ovary
285640005,UKP - Metastasis to bladder of unknown primary
363395000,Malignant tumor of vallecula
187741001,Malignant tumour of fundus of stomach
33681003,Osteosarcoma in Paget's disease of bone
254986007,Malignant tumour of peripheral nerve
363469001,Malignant neoplasm of parietal lobe
94665001,Secondary malignant neoplasm of uterus
9801004,Spindle cell sarcoma
10069009,"Giant cell tumor of bone, malignant"
286894008,"Carcinoma of breast - lower, inner quadrant"
188208002,Malignant neoplasm of Gartner's duct
4079000,Mucoepidermoid carcinoma
80061003,Oligodendroblastoma
254563009,Carcinoma of lesser curve of stomach
363393007,Malignant tumor of tonsil
303012000,Malignant tumor of posterior wall of hypopharynx
109911004,Overlapping malignant neoplasm of brain and other parts of the central nervous system
363392002,Malignant tumour of oropharynx
88400008,"Tumor cells, malignant"
254887002,Adenocarcinoma of cervix
254889004,Carcinoma of cervix stage 0
109842005,Intrahepatic bile duct carcinoma
3102004,"Oligodendroglioma, anaplastic"
187932002,Malignant neoplasm of humerus
255115008,Kaposi's sarcoma of cornea
312113007,Carcinoma of descending colon
285609003,UKP - Metastasis to small intestine of unknown primary
188366002,Malignant tumor of abdomen
956471000000103,NA
54666007,Paget's disease and intraductal carcinoma of breast
363482009,Malignant tumor of pituitary gland
188211001,Malignant neoplasm of greater vestibular (Bartholin's) gland
363508008,Malignant tumour of intestine
93655004,Malignant melanoma of skin
35262004,Gliosarcoma
255029007,PTC - Papillary thyroid carcinoma
187808008,Malignant neoplasm of specified parts of peritoneum
75931002,Malignant melanoma in giant pigmented nevus
188006008,Malignant neoplasm of connective and soft tissue of great toe
363481002,Malignant tumour of parathyroid gland
15176003,Adenocarcinoma with squamous metaplasia
342571000000109,NA
408645001,Adenocarcinoma of large intestine (disorder)
430556008,Malignant neoplasm of genital structure (disorder)
94298004,Secondary malignant neoplasm of female genital organ
363374005,Malignant tumor of commissure of lip
449224009,Malignant neoplasm of anterior mediastinum (disorder)
94142007,Malignant neoplasm of vomer
254893005,Carcinoma of vagina
93786001,Malignant neoplasm of ethmoid bone
254851009,Mucinous cystadenocarcinoma of ovary
363462005,Malignant tumor of orbit
94402006,Secondary malignant neoplasm of male genital organ
363435002,Malignant tumour of heart
254824006,Malignant tumor of mesothelial tissue
363452003,Malignant tumor of epididymis
59238007,Epithelioid sarcoma
276810009,Late gastric cancer
363377003,Malignant tumour of lingual tonsil
754371000000109,NA
255056009,Malignant tumor of head and neck
28351005,Myxosarcoma
372097009,Malignant neoplasm of endocervix (disorder)
183649005,Combined therapy follow-up
314998002,Metastasis from malignant tumor of colon
254843006,Familial cancer of breast
269515006,Carcinoma of lip
449377002,Malignant neoplasm of pelvic peritoneum (disorder)
64000002,Skin appendage carcinoma
94347008,Secondary malignant neoplasm of intra-abdominal lymph nodes
187614004,Malignant tumor of frenum of lower lip
1090821000000101,NA
76594008,Dermatofibrosarcoma
286889008,Carcinoma of upper limb bones/scapula
363453008,Malignant tumour of spermatic cord
285612000,UKP - Metastasis to rectum of unknown primary
53654007,Fibrosarcoma
