CTV3Codes,Description
XA0G8,Fractured spine
XaORN,Pars interarticularis stress fracture
XA0GB,Fracture of cervical spine
XA0GC,Jefferson fracture
Xa1vP,Fracture of odontoid peg
S100A,"Closed fracture axis, odontoid process"
S101A,"Open fracture axis, odontoid process"
Xa1vQ,Teardrop fracture of cervical vertebra
Xa1vS,Crush fracture of cervical vertebra
Xa1vU,Fracture of pedicle of cervical vertebra
Xa1vV,Fracture of transverse process of cervical vertebra
S100L,"Closed fracture cervical vertebra, transverse process"
S100D,"Closed fracture axis, transverse process"
S101L,"Open fracture cervical vertebra, transverse process"
S101D,"Open fracture axis, transverse process"
Xa1vW,Fracture of lamina of cervical vertebra
Xa1vX,Fracture of spinous process of cervical vertebra
S100K,"Closed fracture cervical vertebra, spinous process"
S100C,"Closed fracture axis, spinous process"
S101K,"Open fracture cervical vertebra, spinous process"
S101C,"Open fracture axis, spinous process"
Xa1vY,Two column fracture of cervical vertebra
Xa1vZ,Three column fracture of cervical vertebra
S100N,"Closed fracture cervical vertebra, tricolumnar"
S100F,"Closed fracture axis, tricolumnar"
S101N,"Open fracture cervical vertebra, tricolumnar"
S101F,"Open fracture axis, tricolumnar"
XE1kX,Closed fracture of cervical spine
XE1kY,Closed fracture atlas
S1009,"Closed fracture atlas, comminuted"
S1008,"Closed fracture atlas, isolated arch or articular process"
XE1kZ,Closed fracture axis
S100E,"Closed fracture axis, posterior arch"
S100B,"Closed fracture axis, spondylolysis"
XE1ka,Closed fracture of third cervical vertebra
XE1kb,Closed fracture of fourth cervical vertebra
XA0GG,Closed fracture of fourth cervical vertebra without mention of spinal cord lesion
XE1kc,Closed fracture of fifth cervical vertebra
XA0GH,Closed fracture of fifth cervical vertebra without mention of spinal cord lesion
XE1kd,Closed fracture of sixth cervical vertebra
XA0GI,Closed fracture of sixth cervical vertebra without mention of spinal cord lesion
XE1ke,Closed fracture of seventh cervical vertebra
XA0GJ,Closed fracture of seventh cervical vertebra without mention of spinal cord lesion
S1000,Closed fracture of unspecified cervical vertebra
S100J,"Closed fracture cervical vertebra, spondylolysis"
S100M,"Closed fracture cervical vertebra, posterior arch"
S100z,Closed fracture of cervical spine not otherwise specified
XE1kf,Open fracture of cervical spine
XE1kg,Open fracture atlas
S1019,"Open fracture atlas, comminuted"
S1018,"Open fracture atlas, isolated arch or articular process"
XE1kh,Open fracture axis
S101E,"Open fracture axis, posterior arch"
S101B,"Open fracture axis, spondylolysis"
XE1ki,Open fracture of third cervical vertebra
XE1kj,Open fracture of fourth cervical vertebra
XE1kk,Open fracture of fifth cervical vertebra
XE1kl,Open fracture of sixth cervical vertebra
XE1km,Open fracture of seventh cervical vertebra
S101J,"Open fracture cervical vertebra, spondylolysis"
S101M,"Open fracture cervical vertebra, posterior arch"
S1010,Open fracture of unspecified cervical vertebra
S101z,Open fracture of cervical spine not otherwise specified
S10A2,Multiple fractures of cervical spine
S100x,Multiple closed fractures of cervical vertebrae
S101x,Multiple open fractures of cervical vertebrae
S10A0,Fracture of first cervical vertebra
S10A1,Fracture of second cervical vertebra
Syu15,[X]Fracture of other specified cervical vertebra
Syu16,[X]Fracture of other parts of neck
XM0vM,Fracture of cervical spine - no cord lesion
XA0GF,Closed fracture of third cervical vertebra without mention of spinal cord lesion
XA0GM,Fracture of thoracic spine
Xa1va,Teardrop fracture of thoracic vertebra
Xa1vc,Crush fracture of thoracic vertebra
Xa1vd,Burst fracture of thoracic vertebra
Xa1ve,Fracture of pedicle of thoracic vertebra
Xa1vf,Fracture of transverse process of thoracic vertebra
S1024,"Closed fracture thoracic vertebra, transverse process"
S1034,"Open fracture thoracic vertebra, transverse process"
Xa1vg,Fracture of lamina of thoracic vertebra
Xa1vh,Fracture of spinous process of thoracic vertebra
S1023,"Closed fracture thoracic vertebra, spinous process"
S1033,"Open fracture thoracic vertebra, spinous process"
Xa1vi,Two column fracture of thoracic vertebra
Xa1vj,Three column fracture of thoracic vertebra
S1026,"Closed fracture thoracic vertebra, tricolumnar"
S1036,"Open fracture thoracic vertebra, tricolumnar"
S102.,Closed fracture thoracic vertebra
S1022,"Closed fracture thoracic vertebra, spondylolysis"
S1025,"Closed fracture thoracic vertebra, posterior arch"
S102y,Other specified closed fracture thoracic vertebra
S102z,Closed fracture thoracic vertebra not otherwise specified
S103.,Open fracture thoracic vertebra
S1032,"Open fracture thoracic vertebra, spondylolysis"
S1035,"Open fracture thoracic vertebra, posterior arch"
S150.,Multiple fractures of thoracic spine
XaD31,Open multiple fracture of thoracic spine
XaD30,Closed multiple fractures of thoracic spine
XM0vR,Fracture of thoracic spine with cord lesion
XA0GN,Fracture of lumbar spine
Xa1vk,Teardrop fracture of lumbar vertebra
Xa1vl,Wedge fracture of lumbar vertebra
S1041,"Closed fracture lumbar vertebra, wedge"
S1051,"Open fracture lumbar vertebra, wedge"
Xa1vm,Crush fracture of lumbar vertebra
Xa1vn,Burst fracture of lumbar vertebra
S1040,"Closed fracture lumbar vertebra, burst"
S1050,"Open fracture lumbar vertebra, burst"
Xa1vo,Fracture of pedicle of lumbar vertebra
Xa1vp,Fracture of transverse process of lumbar vertebra
S1044,"Closed fracture lumbar vertebra, transverse process"
S1054,"Open fracture lumbar vertebra, transverse process"
Xa1vq,Fracture of lamina of lumbar vertebra
Xa1vr,Fracture of spinous process of lumbar vertebra
S1043,"Closed fracture lumbar vertebra, spinous process"
S1053,"Open fracture lumbar vertebra, spinous process"
Xa1vs,Two column fracture of lumbar vertebra
Xa1vt,Three column fracture of lumbar vertebra
S1046,"Closed fracture lumbar vertebra, tricolumnar"
S1056,"Open fracture lumbar vertebra, tricolumnar"
S105.,Open fracture lumbar vertebra
S1052,"Open fracture lumbar vertebra, spondylolysis"
S1055,"Open fracture lumbar vertebra, posterior arch"
S104.,Closed fracture lumbar vertebra
S1042,"Closed fracture lumbar vertebra, spondylolysis"
S1045,"Closed fracture lumbar vertebra, posterior arch"
XM0vS,Fracture of lumbar spine with cord lesion
Xa6ol,Collapse of vertebra
XaBZS,Collapse of cervical vertebra
XaBZR,Collapse of thoracic vertebra
XaD4J,Collapse of thoracic vertebra due to osteoporosis
XaBZT,Collapse of lumbar vertebra
XaD4I,Collapse of lumbar vertebra due to osteoporosis
XaAzf,Anterior wedge fracture of vertebra
XaD4K,Collapse of vertebra due to osteoporosis NOS
XaFCy,Burst fracture of vertebra
Xa1vT,Burst fracture of cervical vertebra
S100G,"Closed fracture cervical vertebra, burst"
S101G,"Open fracture cervical vertebra, burst"
S1020,"Closed fracture thoracic vertebra, burst"
S1030,"Open fracture thoracic vertebra, burst"
XaFCz,Wedge fracture of vertebra
Xa1vR,Wedge fracture of cervical vertebra
S100H,"Closed fracture cervical vertebra, wedge"
S101H,"Open fracture cervical vertebra, wedge"
Xa1vb,Wedge fracture of thoracic vertebra
S1021,"Closed fracture thoracic vertebra, wedge"
S1031,"Open fracture thoracic vertebra, wedge"
N1y1.,Fatigue fracture of vertebra
Nyu67,[X]Collapsed vertebra in diseases classified elsewhere
S10x.,"Closed fracture of spine, unspecified,"
S10y.,"Open fracture of spine, unspecified,"
XE1kW,Fracture of vertebra without spinal cord lesion
S10z.,Fracture of spine without mention of spinal cord lesion NOS
XA0G9,Fracture of transverse process of spine without spinal cord lesion
XA0GD,Closed fracture of atlas without spinal cord lesion
XA0GE,Closed fracture of axis without spinal cord lesion
XA0GK,Open fracture of atlas without spinal cord lesion
XA0GL,Open fracture of axis without spinal cord lesion
XE1pT,#Spine NOS - no cord lesion
XM0vN,#Thoracic spine-no cord lesion
XM0vO,Fracture of lumbar spine - no cord lesion
XE1kn,Fracture of spine with spinal cord lesion
S110.,Closed fracture of cervical spine with cord lesion
S110z,Closed fracture of cervical spine with spinal cord lesion NOS
S111.,Open fracture of cervical spine with spinal cord lesion
S111z,Open fracture of cervical spine with spinal cord lesion NOS
S112.,Closed fracture of thoracic spine with spinal cord lesion
S112z,Closed fracture of thoracic spine with spinal cord lesion NOS
S113.,Open fracture of thoracic spine with spinal cord lesion
S113z,Open fracture of thoracic spine with spinal cord lesion NOS
S114.,Closed fracture of lumbar spine with spinal cord lesion
S115.,Open fracture of lumbar spine with spinal cord lesion
S1155,Open spinal fracture with cauda equina lesion
S11x.,Closed fracture of spine with spinal cord lesion unspecified
S11y.,Open fracture of spine with spinal cord lesion unspecified
S11z.,Fracture of spine with spinal cord lesion NOS
XA0GA,Fracture of transverse process of spine with spinal cord lesion
XM0vQ,Fracture of cervical spine with cord lesion
XaE3a,Spinal fracture with cervical cord lesion
S1100,"Closed spinal fracture with unspecified cervical cord lesion, C1-4"
S1101,"Closed spinal fracture with complete cervical cord lesion, C1-4"
S1102,"Closed spinal fracture with anterior cervical cord lesion, C1-4"
S1103,"Closed spinal fracture with central cervical cord lesion , C1-4"
S1104,"Closed spinal fracture with posterior cervical cord lesion, C1-4"
S1105,"Closed spinal fracture with incomplete cervical cord lesion, C1-4 not otherwise specified"
S1106,"Closed spinal fracture with unspecified cervical cord lesion, C5-7"
S1107,"Closed spinal fracture with complete cervical cord lesion, C5-7"
S1108,"Closed spinal fracture with anterior cervical cord lesion, C5-7"
S1109,"Closed spinal fracture with central cervical cord lesion, C5-7"
S110A,"Closed spinal fracture with posterior cervical cord lesion, C5-7"
S110B,"Closed spinal fracture with incomplete cervical cord lesion, C5-7 not otherwise specified"
S1110,"Open spinal fracture with unspecified cervical cord lesion, C1-4"
S1111,"Open spinal fracture with complete cervical cord lesion, C1-4"
S1112,"Open spinal fracture with anterior cervical cord lesion, C1-4"
S1113,"Open spinal fracture with central cervical cord lesion, C1-4"
S1114,"Open spinal fracture with posterior cervical cord lesion, C1-4"
S1115,"Open spinal fracture with incomplete cervical cord lesion, C1-4 not otherwise specified"
S1116,"Open spinal fracture with unspecified cervical cord lesion, C5-7"
S1117,"Open spinal fracture with complete cervical cord lesion, C5-7"
S1118,"Open spinal fracture with anterior cervical cord lesion, C5-7"
S1119,"Open spinal fracture with central cervical cord lesion, C5-7"
S111A,"Open spinal fracture with posterior cervical cord lesion, C5-7"
S111B,"Open spinal fracture with incomplete cervical cord lesion, C5-7 not otherwise specified"
XaE3b,Spinal fracture with thoracic cord lesion
S1120,"Closed spinal fracture with unspecified thoracic cord lesion, T1-6"
S1121,"Closed spinal fracture with complete thoracic cord lesion, T1-6"
S1122,"Closed spinal fracture with anterior thoracic cord lesion, T1-6"
S1123,"Closed spinal fracture with central thoracic cord lesion, T1-6"
S1124,"Closed spinal fracture with posterior thoracic cord lesion, T1-6"
S1125,"Closed spinal fracture with incomplete thoracic cord lesion, T1-6 not otherwise specified"
S1126,"Closed spinal fracture with unspecified thoracic cord lesion,T7-12"
S1127,"Closed spinal fracture with complete thoracic cord lesion,T7-12"
S1128,"Closed spinal fracture with anterior thoracic cord lesion,T7-12"
S1129,"Closed spinal fracture with central thoracic cord lesion, T7-12"
S112A,"Closed spinal fracture with posterior thoracic cord lesion, T7-12"
S112B,"Closed spinal fracture with incomplete thoracic cord lesion,T7-12 not otherwise specified"
S1130,"Open spinal fracture with unspecified thoracic cord lesion, T1-6"
S1131,"Open spinal fracture with complete thoracic cord lesion, T1-6"
S1132,"Open spinal fracture with anterior thoracic cord lesion, T1-6"
S1133,"Open spinal fracture with central thoracic cord lesion, T1-6"
S1134,"Open spinal fracture with posterior thoracic cord lesion, T1-6"
S1135,"Open spinal fracture with incomplete thoracic cord lesion, T1-6 not otherwise specified"
S1136,"Open spinal fracture with unspecified thoracic cord lesion, T7-12"
S1137,"Open spinal fracture with complete thoracic cord lesion, T7-12"
S1138,"Open spinal fracture with anterior thoracic cord lesion, T7-12"
S1139,"Open spinal fracture with central thoracic cord lesion, T7-12"
S113A,"Open spinal fracture with posterior thoracic cord lesion, T7-12"
