V2Codes,Description
14A6.,H/O: heart failure
14AM.,H/O: Heart failure in last year
14S3.,H/O: heart recipient
14T7.,H/O: artificial heart
1O1..,Heart failure confirmed
662f.,New York Heart Association classification - class I
662g.,New York Heart Association classification - class II
662h.,New York Heart Association classification - class III
662i.,New York Heart Association classification - class IV
662p.,Heart failure 6 month review
662T.,Congestive heart failure monitoring
662W.,Heart failure annual review
679W1,Education about deteriorating heart failure
679X.,Heart failure education
67D4.,Heart failure information given to patient
7900.,Transplantation of heart and lung
79000,Allotransplantation of heart and lung
79001,Revision of transplantation of heart and lung
7900y,Other specified transplantation of heart and lung
7900z,Transplantation of heart and lung NOS
7901.,Other transplantation of heart
79010,Allotransplantation of heart NEC
79011,Xenotransplantation of heart
79013,Piggyback transplantation of heart
79014,Revision of implantation of prosthetic heart
79015,Revision of transplantation of heart NEC
7901y,Other specified other transplantation of heart
7901z,Other transplantation of heart NOS
7933.,Transluminal heart assist operations
79330,Transluminal insertion of pulsation balloon into aorta
79331,Transluminal insertion of heart assist system NEC
79332,Transluminal maintenance of heart assist system
79334,Implantation of ventricular assist device
79335,Implantation of right ventricular assist device
79336,Implantation of left ventricular assist device
79337,Implantation of biventricular assist device
7933y,Other specified transluminal heart assist operation
7933z,Transluminal heart assist operation NOS
7936J,Implantation of intravenous biventricular cardiac pacemaker system
79379,Implantation of biventricular cardiac pacemaker system
793L.,Open heart assist operations
793L0,Open implantation of ventricular assist device
793Ly,Other specified open heart assist operations
793Lz,Open heart assist operations NOS
8B29.,Cardiac failure therapy
8CeC.,Preferred place of care for next exacerbation of heart failure
8CL3.,Heart failure care plan discussed with patient
8CMK.,Has heart failure management plan
8CMW8,Heart failure clinical pathway
8H2S.,Admit heart failure emergency
8HBE.,Heart failure follow-up
8HHb.,Referral to heart failure nurse
8HHz.,Referral to heart failure exercise programme
8Hk0.,Referred to heart failure education group
8HTL.,Referral to heart failure clinic
8HTL0,Referral to rapid access heart failure clinic
9N0k.,Seen in heart failure clinic
9N2p.,Seen by community heart failure nurse
9Or0.,Heart failure review completed
G1yz1,Rheumatic left ventricular failure
G2101,Malignant hypertensive heart disease with congestive cardiac failure
G2111,Benign hypertensive heart disease with congestive cardiac failure
G21z1,Hypertensive heart disease NOS with congestive cardiac failure
G232.,Hypertensive heart and renal disease with (congestive) heart failure
G234.,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
G58..,Heart failure
G580.,Congestive heart failure
G5800,Acute congestive heart failure
G5801,Chronic congestive heart failure
G5802,Decompensated cardiac failure
G5803,Compensated cardiac failure
G5804,Congestive heart failure due to valvular disease
G581.,Left ventricular failure
G5810,Acute left ventricular failure
G582.,Acute heart failure
G583.,Heart failure with normal ejection fraction
G584.,Right ventricular failure
G58z.,Heart failure NOS
Q48y1,Congenital cardiac failure
Q490.,Neonatal cardiac failure
SP084,Heart transplant failure and rejection
SP085,Heart-lung transplant failure and rejection
TB000,"Transplantation of heart as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of operation"
ZV421,[V]Heart transplanted
ZV45M,[V]Biventricular pacemaker in situ
