SNOMEDCTCodes,Description
50448004,Fracture of vertebral column (disorder)
473438000,Chance flexion distraction fracture of vertebra (disorder)
42157000,Closed fracture of vertebral column (disorder)
208060001,Cauda equina lesion co-occurrent and due to closed spinal fracture (disorder)
123534001,Cauda equina injury co-occurrent and due to closed fracture of sacrum AND/OR coccyx (disorder)
41455002,Complete cauda equina lesion co-occurrent and due to closed fracture of sacrum AND/OR coccyx (disorder)
208071000,Complete cauda equina lesion co-occurrent and due to closed fracture of sacrum (disorder)
207957008,Closed fracture lumbar vertebra (disorder)
311862008,Closed fracture involving thorax with lower back and pelvis and limbs (disorder)
207958003,"Closed fracture lumbar vertebra, burst (disorder)"
207963004,"Closed fracture lumbar vertebra, posterior arch (disorder)"
207960001,"Closed fracture lumbar vertebra, spondylolysis (disorder)"
207961002,"Closed fracture lumbar vertebra, spinous process (disorder)"
207962009,"Closed fracture lumbar vertebra, transverse process (disorder)"
207964005,"Closed fracture lumbar vertebra, tricolumnar (disorder)"
207959006,"Closed fracture lumbar vertebra, wedge (disorder)"
11311001000119101,Closed fracture of fifth lumbar vertebra (disorder)
11310841000119101,Closed fracture of first lumbar vertebra (disorder)
11310961000119109,Closed fracture of fourth lumbar vertebra (disorder)
49747005,Closed fracture of lumbar vertebra with spinal cord injury (disorder)
208057008,Closed spinal fracture with anterior lumbar cord lesion (disorder)
208058003,Closed spinal fracture with central lumbar cord lesion (disorder)
208056004,Closed spinal fracture with complete lumbar cord lesion (disorder)
208059006,Closed spinal fracture with posterior lumbar cord lesion (disorder)
11310881000119106,Closed fracture of second lumbar vertebra (disorder)
11310921000119104,Closed fracture of third lumbar vertebra (disorder)
269062008,Closed fracture of cervical spine (disorder)
269063003,Closed fracture atlas (disorder)
207896001,"Closed fracture atlas, comminuted (disorder)"
207895002,"Closed fracture atlas, isolated arch or articular process (disorder)"
269064009,Closed fracture axis (disorder)
207897005,"Closed fracture axis, odontoid process (disorder)"
207901004,"Closed fracture axis, posterior arch (disorder)"
207898000,"Closed fracture axis, spondylolysis (disorder)"
207899008,"Closed fracture axis, spinous process (disorder)"
207900003,"Closed fracture axis, transverse process (disorder)"
207902006,"Closed fracture axis, tricolumnar (disorder)"
207903001,"Closed fracture cervical vertebra, burst (disorder)"
207908005,"Closed fracture cervical vertebra, posterior arch (disorder)"
207906009,"Closed fracture cervical vertebra, spinous process (disorder)"
207907000,"Closed fracture cervical vertebra, transverse process (disorder)"
207909002,"Closed fracture cervical vertebra, tricolumnar (disorder)"
207904007,"Closed fracture cervical vertebra, wedge (disorder)"
207998001,Closed fracture of cervical spine with cord lesion (disorder)
81442004,Closed fracture of cervical region with spinal cord injury (disorder)
8840000,Closed fracture of C1-C4 level with spinal cord injury (disorder)
8459005,Closed fracture of C1-C4 level with incomplete cord lesion (disorder)
53868003,Anterior cord syndrome co-occurrent and due to closed fracture of C1-C4 level (disorder)
50888000,Closed fracture of C1-C4 level with central cord syndrome (disorder)
51514006,Closed fracture of C1-C4 level with posterior cord syndrome (disorder)
208001004,"Closed spinal fracture with anterior cervical cord lesion, C1-4 (disorder)"
208003001,"Closed spinal fracture with posterior cervical cord lesion, C1-4 (disorder)"
269067002,Closed fracture of fifth cervical vertebra (disorder)
269066006,Closed fracture of fourth cervical vertebra (disorder)
269069004,Closed fracture of seventh cervical vertebra (disorder)
269068007,Closed fracture of sixth cervical vertebra (disorder)
269065005,Closed fracture of third cervical vertebra (disorder)
207910007,Multiple closed fractures of cervical vertebrae (disorder)
766775007,Closed fracture of coccyx (disorder)
22973003,Closed fracture of vertebral column with spinal cord injury (disorder)
44434003,Closed fracture of thoracic spine with spinal cord injury (disorder)
31882001,Closed fracture of T1-T6 level with spinal cord injury (disorder)
13456001,Closed fracture of T1-T6 level with incomplete spinal cord lesion (disorder)
14493003,Anterior cord syndrome co-occurrent and due to closed fracture of T1-T6 level (disorder)
52289006,Closed fracture of T1-T6 level with central cord syndrome (disorder)
31033002,Closed fracture of T1-T6 level with posterior cord syndrome (disorder)
208029001,"Closed spinal fracture with anterior thoracic cord lesion, T1-6 (disorder)"
208031005,"Closed spinal fracture with posterior thoracic cord lesion, T1-6 (disorder)"
207974008,Closed fracture sacrum (disorder)
207975009,Closed compression fracture sacrum (disorder)
207976005,Closed vertical fracture of sacrum (disorder)
207938004,Closed fracture thoracic vertebra (disorder)
11310521000119109,Closed fracture of first thoracic vertebra (disorder)
11310641000119102,Closed fracture of fourth thoracic vertebra (disorder)
11310561000119104,Closed fracture of second thoracic vertebra (disorder)
11310601000119104,Closed fracture of third thoracic vertebra (disorder)
208028009,"Closed spinal fracture with complete thoracic cord lesion, T1-6 (disorder)"
72513001,Closed fracture of T7-T12 level with spinal cord injury (disorder)
18960007,Closed fracture of T7-T12 level with incomplete spinal cord lesion (disorder)
13194006,Anterior cord syndrome co-occurrent and due to closed fracture of T7-T12 level (disorder)
8183009,Closed fracture of T7-T12 level with central cord syndrome (disorder)
41133002,Closed fracture of T7-T12 level with posterior cord syndrome (disorder)
208035001,"Closed spinal fracture with anterior thoracic cord lesion,T7-12 (disorder)"
208037009,"Closed spinal fracture with posterior thoracic cord lesion, T7-12 (disorder)"
208034002,"Closed spinal fracture with complete thoracic cord lesion,T7-12 (disorder)"
207939007,"Closed fracture thoracic vertebra, burst (disorder)"
207944000,"Closed fracture thoracic vertebra, posterior arch (disorder)"
207941008,"Closed fracture thoracic vertebra, spondylolysis (disorder)"
207942001,"Closed fracture thoracic vertebra, spinous process (disorder)"
207943006,"Closed fracture thoracic vertebra, transverse process (disorder)"
207945004,"Closed fracture thoracic vertebra, tricolumnar (disorder)"
207940009,"Closed fracture thoracic vertebra, wedge (disorder)"
311814002,Closed multiple fractures of thoracic spine (disorder)
42942008,Compression fracture of vertebral column (disorder)
314667001,Burst fracture of vertebra (disorder)
281914007,Burst fracture of cervical vertebra (disorder)
207929001,"Open fracture cervical vertebra, burst (disorder)"
281934008,Burst fracture of lumbar vertebra (disorder)
207966007,"Open fracture lumbar vertebra, burst (disorder)"
281924004,Burst fracture of thoracic vertebra (disorder)
18960001000004105,Burst fracture of fourth thoracic vertebra (disorder)
29580001000004102,Burst fracture of ninth thoracic vertebra (disorder)
207950005,"Open fracture thoracic vertebra, burst (disorder)"
263180005,Jefferson fracture (disorder)
723144001,Stable burst fracture of first cervical vertebra (disorder)
722641001,Unstable burst fracture of first cervical vertebra (disorder)
311806008,Osteoporotic collapse of cervical vertebra (disorder)
281920008,Three column fracture of cervical vertebra (disorder)
207935001,"Open fracture cervical vertebra, tricolumnar (disorder)"
207928009,"Open fracture axis, tricolumnar (disorder)"
281912006,Wedge fracture of cervical vertebra (disorder)
207930006,"Open fracture cervical vertebra, wedge (disorder)"
473436001,Three column classification system burst fracture of vertebra (disorder)
281941002,Three column fracture of lumbar vertebra (disorder)
207972007,"Open fracture lumbar vertebra, tricolumnar (disorder)"
281930004,Three column fracture of thoracic vertebra (disorder)
207956004,"Open fracture thoracic vertebra, tricolumnar (disorder)"
473435002,Two column classification system burst fracture of vertebra (disorder)
430948002,Compression fracture of cervical spine (disorder)
281913001,Crush fracture of cervical vertebra (disorder)
426646004,Compression fracture of lumbar spine (disorder)
28490001000004108,Compression fracture of second lumbar vertebra (disorder)
281933002,Crush fracture of lumbar vertebra (disorder)
311890007,Osteoporotic collapse of lumbar vertebra (disorder)
281932007,Wedge fracture of lumbar vertebra (disorder)
207967003,"Open fracture lumbar vertebra, wedge (disorder)"
698077007,Compression fracture of thoracic spine (disorder)
281923005,Crush fracture of thoracic vertebra (disorder)
311891006,Osteoporotic collapse of thoracic vertebra (disorder)
281922000,Wedge fracture of thoracic vertebra (disorder)
207951009,"Open fracture thoracic vertebra, wedge (disorder)"
207978006,Open compression fracture sacrum (disorder)
240198002,Osteoporotic vertebral collapse (disorder)
314668006,Wedge fracture of vertebra (disorder)
307137009,Anterior wedge fracture of vertebra (disorder)
