MedCodeID,Description
2663911000006113,Open fracture of C1-C4 level with incomplete spinal cord lesion
2668241000006113,Open fracture of vertebral column with spinal cord injury
4198091000006119,Open fracture of sacrum AND/OR coccyx with complete cauda equina lesion
4353011000006118,Closed fracture of sacrum AND/OR coccyx with cauda equina injury
4353021000006114,Open fracture of sacrum AND/OR coccyx with cauda equina injury
325323015,Fracture of cervical spine
4378851000006119,Fracture of cervical vertebra
1220722015,Fracture of neck
325324014,[X]Fracture of other parts of neck
4378891000006113,Fracture of lumbar spine
1220724019,Fracture of lumbar vertebra
4378911000006110,Open fracture of cervical region with spinal cord injury
194543011,Fracture of coccyx
194542018,Fracture of sacrum
4424181000006118,Closed reduction of spinal fracture
4424171000006116,Closed reduction of fracture of vertebra
4424191000006115,Closed reduction of fracture of vertebral body
4424201000006117,Closed reduction of fracture of spinous process of vertebra
4424211000006119,Closed reduction of fracture of transverse process of vertebra
2709381000006112,Closed fracture of T7-T12 level with anterior cord syndrome
2713271000006116,Closed fracture of T1-T6 level with incomplete spinal cord lesion
2728791000006114,Reduction of fracture of vertebra
2728781000006111,Reduction of fracture of spine
2729621000006112,Closed fracture of T1-T6 level with anterior cord syndrome
2749351000006114,Fracture of vertebral column without spinal cord injury
2764931000006112,Open fracture of T1-T6 level with spinal cord injury
402850015,Fracture of spine with spinal cord lesion
2526081000006114,Fracture of vertebral column with spinal cord injury
402849015,Fracture of vertebra with spinal cord lesion
318599011,Closed fracture of spine with spinal cord lesion unspecified
318600014,Open fracture of spine with spinal cord lesion unspecified
318601013,Fracture of vertebral column with spinal cord injury
276471011,Other specified decompression of fracture of spine
276474015,Decompression of fracture of spine NOS
276467013,Decompression of fracture of spine
276468015,Complex decompression of fracture of spine
276469011,Anterior decompression of fracture of spine
43041000006111,Open reduction of fracture of spine and excision of facet of spine
875111000006113,Halo skull traction
276484019,Halo skull traction for fracture of spine
12452471000006111,Primary collar stabilisation of spinal fracture
4684951000006116,Primary collar stabilization of cervical spine fracture
4684931000006111,Primary collar stabilisation of cervical spine fracture
276488016,Primary collar stabilisation of cervical spine fracture
276498010,Revision to bedrest stabilisation of spinal fracture
4685031000006111,Revision to bedrest stabilization of spinal fracture
210131000006113,Primary closed reduction cervical spine fracture and collar stabilisation
4685151000006117,Primary closed reduction cervical spine fracture and collar stabilization
12452461000006116,Primary closed reduction spinal fracture and collar stabilisation
4685131000006112,Primary closed reduction cervical spine fracture and collar stabilisation
4685171000006110,Primary closed reduction spinal fracture and bedrest stabilization
210111000006119,Primary closed reduction spinal fracture and bedrest stabilisation
210051000006117,Primary closed reduction spinal fracture and skull traction stabilisation
4685191000006111,Primary closed reduction spinal fracture and skull traction stabilization
4685211000006112,Primary closed reduction spinal fracture and cast stabilization
210121000006110,Primary closed reduction spinal fracture and cast stabilisation
210141000006115,Primary closed reduction spinal fracture and external fixation
12451851000006113,Revision to closed reduction spinal fracture and collar stabilisation
4685251000006113,Revision to closed reduction of cervical spine fracture and collar stabilization
4685231000006118,Revision to closed reduction of cervical spine fracture and collar stabilisation
171491000006118,Revision to closed reduction of cervical spine fracture and collar stabilisation
171401000006113,Revision to closed reduction spinal fracture and bedrest stabilisation
4685271000006115,Revision to closed reduction spinal fracture and bedrest stabilization
171441000006110,Revision to closed reduction spinal fracture and skull traction stabilisation
4685291000006119,Revision to closed reduction spinal fracture and skull traction stabilization
171411000006111,Revision to closed reduction spinal fracture and cast stabilisation
4685311000006115,Revision to closed reduction spinal fracture and cast stabilization
171421000006115,Revision to closed reduction spinal fracture and external fixation
205491000006111,Primary open reduction of cervical spine fracture and collar stabilisation
4685351000006119,Primary open reduction of cervical spine fracture and collar stabilization
12452431000006113,Primary open reduction spinal fracture and collar stabilisation
4685331000006114,Primary open reduction of cervical spine fracture and collar stabilisation
205471000006110,Primary open reduction spinal fracture and bedrest stabilisation
4685371000006112,Primary open reduction spinal fracture and bedrest stabilization
4685391000006113,Primary open reduction spinal fracture and skull traction stabilization
205451000006117,Primary open reduction spinal fracture and skull traction stabilisation
4685411000006113,Primary open reduction spinal fracture and cast stabilization
205481000006113,Primary open reduction spinal fracture and cast stabilisation
276543015,Primary open reduction spinal fracture and external fixation
12451691000006118,Revision to open reduction spinal fracture and collar stabilisation
159391000006112,Revision to open reduction of cervical spine fracture and collar stabilisation
4685431000006119,Revision to open reduction of cervical spine fracture and collar stabilisation
4685451000006114,Revision to open reduction of cervical spine fracture and collar stabilization
4685471000006116,Revision to open reduction spinal fracture and bedrest stabilization
159371000006111,Revision to open reduction spinal fracture and bedrest stabilisation
159471000006115,Revision to open reduction spinal fracture and skull traction stabilisation
4685491000006115,Revision to open reduction spinal fracture and skull traction stabilization
159381000006114,Revision to open reduction spinal fracture and cast stabilisation
4685511000006114,Revision to open reduction spinal fracture and cast stabilization
159401000006114,Revision to open reduction spinal fracture and external fixation
204961000006112,Primary open reduction spinal fracture and internal fixation with plate
276566019,Fixation of fracture of spine using Harrington rod
204981000006119,Primary open reduction spinal fracture and internal fixation with wire
204971000006117,Primary open reduction spinal fracture and internal fixation with rod system
204941000006113,Primary open reduction spinal fracture and internal fixation with segmental wire system
204951000006110,Primary open reduction spinal fracture and internal fixation with internal fixator
159441000006111,Revision to open reduction spinal fracture and internal fixation with wire
159421000006116,Revision to open reduction spinal fracture and internal fixation with plate
159431000006118,Revision to open reduction spinal fracture and internal fixation with rod system
159361000006116,Revision to open reduction spinal fracture and internal fixation with segmental wire system
159411000006112,Revision to open reduction spinal fracture and internal fixation with internal fixator
2527751000006118,Open reduction of open sacral fracture
2800931000006116,Closed fracture of T7-T12 level with incomplete spinal cord lesion
2812621000006110,Open reduction of spinal fracture
276481010,Open reduction of fracture of spine NEC
4816081000006112,Stress fracture of vertebra
311305016,Fatigue fracture of vertebra
40881000006116,Osteoporosis with pathological fracture of lumbar vertebrae
40891000006118,Osteoporosis with pathological fracture of thoracic vertebrae
40871000006119,Osteoporosis with pathological fracture of cervical vertebrae
2823831000006110,Open fracture of C5-C7 level with incomplete spinal cord lesion
318344018,Fracture of neck and trunk
318729017,Fracture of neck and trunk NOS
318375010,"Closed fracture atlas, isolated arch or articular process"
318376011,"Closed fracture atlas, comminuted"
318377019,"Closed fracture axis, odontoid process"
318378012,"Closed fracture axis, spondylolysis"
318379016,"Closed fracture axis, spinous process"
318380018,"Closed fracture axis, transverse process"
318381019,"Closed fracture axis, posterior arch"
318382014,"Closed fracture axis, tricolumnar"
318383016,"Closed fracture cervical vertebra, burst"
318384010,"Closed fracture cervical vertebra, wedge"
318385011,"Closed fracture cervical vertebra, spondylolysis"
318386012,"Closed fracture cervical vertebra, spinous process"
318387015,"Closed fracture cervical vertebra, transverse process"
318388013,"Closed fracture cervical vertebra, posterior arch"
318389017,"Closed fracture cervical vertebra, tricolumnar"
318390014,Multiple closed fractures of cervical vertebrae
318418017,"Open fracture atlas, isolated arch or articular process"
318419013,"Open fracture atlas, comminuted"
318420019,"Open fracture axis, odontoid process"
318421015,"Open fracture axis, spondylolysis"
318422010,"Open fracture axis, spinous process"
318423017,"Open fracture axis, transverse process"
318424011,"Open fracture axis, posterior arch"
318425012,"Open fracture axis, tricolumnar"
318426013,"Open fracture cervical vertebra, burst"
318427016,"Open fracture cervical vertebra, wedge"
318428014,"Open fracture cervical vertebra, spondylolysis"
318429018,"Open fracture cervical vertebra, spinous process"
318430011,"Open fracture cervical vertebra, transverse process"
318431010,"Open fracture cervical vertebra, posterior arch"
318432015,"Open fracture cervical vertebra, tricolumnar"
318433013,Multiple open fractures of cervical vertebrae
318445016,Closed fracture thoracic vertebra not otherwise specified
318443011,Other specified closed fracture thoracic vertebra
895281000006117,#Thoracic spine-no cord lesion
318435018,Closed fracture thoracic vertebra
318436017,"Closed fracture thoracic vertebra, burst"
318437014,"Closed fracture thoracic vertebra, wedge"
318438016,"Closed fracture thoracic vertebra, spondylolysis"
318439012,"Closed fracture thoracic vertebra, spinous process"
318440014,"Closed fracture thoracic vertebra, transverse process"
318441013,"Closed fracture thoracic vertebra, posterior arch"
318442018,"Closed fracture thoracic vertebra, tricolumnar"
318446015,Open fracture thoracic vertebra
318447012,"Open fracture thoracic vertebra, burst"
318448019,"Open fracture thoracic vertebra, wedge"
318449010,"Open fracture thoracic vertebra, spondylolysis"
318450010,"Open fracture thoracic vertebra, spinous process"
318451014,"Open fracture thoracic vertebra, transverse process"
318452019,"Open fracture thoracic vertebra, posterior arch"
318453012,"Open fracture thoracic vertebra, tricolumnar"
895291000006119,#Lumbar spine - no cord lesion
318454018,Closed fracture lumbar vertebra
318455017,"Closed fracture lumbar vertebra, burst"
318456016,"Closed fracture lumbar vertebra, wedge"
318457013,"Closed fracture lumbar vertebra, spondylolysis"
318458015,"Closed fracture lumbar vertebra, spinous process"
318459011,"Closed fracture lumbar vertebra, transverse process"
318460018,"Closed fracture lumbar vertebra, posterior arch"
318461019,"Closed fracture lumbar vertebra, tricolumnar"
318462014,Open fracture lumbar vertebra
318463016,"Open fracture lumbar vertebra, burst"
318464010,"Open fracture lumbar vertebra, wedge"
