MedCodeID,Description
4831361000006116,"Turner phenotype, karyotype normal"
315435019,"Turner's phenotype, karyotype normal"
83621000006115,"Turner's phenotype, karyotype 46X iso (Xq)"
4831371000006111,"Karyotype 46, X iso (Xq)"
4831381000006114,"Karyotype 46, X with abnormal sex chromosome except iso (Xq)"
83711000006115,"Turner's,karyotype 46X + abnorm. sex chromosome,not iso(Xq)"
5340101000006117,"Turner phenotype, partial X deletion karyotype"
378514015,"Turner's phenotype, partial X deletion karyotype"
5340121000006110,Turner phenotype - ring chromosome karyotype
5340111000006119,Turner's phenotype - ring chromosome karyotype
83671000006119,"Turner's phenotype, ring chromosome karyotype"
5913691000006113,"Mosaicism 45, X; 46, XX"
3124561000006117,TS - Turner's syndrome
378512016,Ovarian dwarfism NEC
400961019,"Turner's phenotype, other variant karyotypes"
315803010,Turner syndrome
3124521000006111,Pterygolymphangiectasia syndrome
400962014,Turner's syndrome NOS
491780017,Turner's syndrome
3124531000006114,Bonnevie-Ullrich syndrome
893491000006119,Gonadal dysgenesis - Turner
378513014,Bonnevie-Ullrich syndrome NOS
3124541000006116,Gonadal dysgenesis syndrome
7662601000006113,XO syndrome
7662581000006115,45XO - Turner's syndrome
7662591000006117,"45, X syndrome"
7662571000006118,Monosomy X
7662621000006115,XO - Turner's syndrome
7662611000006111,"Karyotype 45, X"
83611000006111,"Turner's phenotype, karyotype 45X"
7662641000006110,Mosaic Turner syndrome
83641000006110,Mosaic Turner syndrome
83721000006111,"Mosaicism 45, X or other cell line with abnormal sex chromosome"
