SNOMEDCTCodes,Description
44054006,Type 2 diabetes mellitus
190331003,Type 2 diabetes mellitus with hyperosmolar coma
190388001,Type 2 diabetes mellitus with multiple complications
190389009,Type 2 diabetes mellitus with ulcer
199230006,Pre-existing type 2 diabetes mellitus
237599002,Insulin treated Type II diabetes mellitus
237627000,Pregnancy and type 2 diabetes mellitus
313436004,Type 2 diabetes mellitus without complication
314902007,Type 2 diabetes mellitus with peripheral angiopathy
314903002,Type 2 diabetes mellitus with arthropathy
314904008,Type 2 diabetes mellitus with neuropathic arthropathy
395204000,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
420279001,Type 2 diabetes mellitus with nephropathy
420436000,Mononeuropathy co-occurrent and due to type 2 diabetes mellitus
420715001,Type 2 diabetes mellitus with persistent microalbuminuria
420756003,Diabetic cataract associated with type II diabetes mellitus
421326000,Diabetes type 2 with neurological disorder
421631007,Gangrene associated with type 2 diabetes mellitus
421750000,Type 2 diabetes mellitus with ketoacidosis
421779007,Exudative maculopathy associated with type II diabetes mellitus
421847006,Diabetes mellitus type 2 with ketoacidotic coma
421986006,Type 2 diabetes mellitus with persistent proteinuria
422014003,Disorder due to type II diabetes mellitus
422034002,Retinopathy co-occurrent and due to type 2 diabetes mellitus
422099009,Diabetic oculopathy associated with type II diabetes mellitus
422166005,Peripheral circulatory disorder associated with type II diabetes mellitus
443694000,Type 2 diabetes mellitus - poor control
703138006,Type 2 diabetes mellitus in remission
713703005,Gastroparesis due to type 2 diabetes mellitus
713706002,Type 2 diabetes mellitus with polyneuropathy
719216001,Type 2 diabetes mellitus with hypoglycaemic coma
279321000000104,Diabetes type II review
754121000000107,Type 2 diabetic dietary review
791000119109,Diabetic angina pectoris associated with type 2 diabetes mellitus
