V2Codes,Description
K15..,Cystitis
K150.,Acute cystitis
K151.,Chronic interstitial cystitis
K1510,Hunner's ulcer
K1511,Panmural fibrosis of bladder
K1512,Submucous cystitis
K151z,Chronic interstitial cystitis NOS
K152.,Other chronic cystitis
K1520,Subacute cystitis
K152y,Chronic cystitis unspecified
K152z,Other chronic cystitis NOS
K153.,Trigonitis
K1530,Acute trigonitis
K1531,Chronic trigonitis
K1532,Urethrotrigonitis
K153z,Trigonitis NOS
K154.,Cystitis in diseases EC
K1540,Cystitis in actinomycosis
K1541,Cystitis in amoebiasis
K1542,Cystitis in bilharziasis
K1543,Cystitis in echinococcus infestation
K1544,Cystitis in diphtheria
K1545,Cystitis in gonorrhoea
K1546,Cystitis in moniliasis
K1547,Cystitis in trichomoniasis
K1548,Cystitis in tuberculosis
K154z,Cystitis in diseases EC NOS
K155.,Recurrent cystitis
K15y.,Other specified cystitis
K15y0,Cystitis cystica
K15y1,Irradiation cystitis
K15y2,Abscess of bladder
K15y3,Malakoplakia of bladder
K15yz,Other cystitis NOS
K15z.,Cystitis NOS
K190.,"Urinary tract infection, site not specified"
K1900,"Bacteriuria, site not specified"
K1901,"Pyuria, site not specified"
K1902,Post operative urinary tract infection
K1903,Recurrent urinary tract infection
K1904,Chronic urinary tract infection
K1905,Urinary tract infection
K1906,Urosepsis
K190X,"Persistent proteinuria, unspecified"
K190z,"Urinary tract infection, site not specified NOS"
