MedCodeID,Description
292483016,"Diabetes mellitus, adult onset, with hyperosmolar coma"
4758011000006112,Type 2 diabetes mellitus with hyperosmolar coma
84541000006111,Type 2 diabetes mellitus with multiple complications
292577016,Type 2 diabetes mellitus with multiple complications
84911000006119,Type II diabetes mellitus with multiple complications
280581000006118,Non-insulin-dependent diabetes mellitus with multiple complications
292576013,Type II diabetes mellitus with multiple complications
85001000006117,Type II diabetes mellitus with ulcer
84631000006119,Type 2 diabetes mellitus with ulcer
280551000006114,Non-insulin-dependent diabetes mellitus with ulcer
292581016,Type II diabetes mellitus with ulcer
292579018,Type 2 diabetes mellitus with ulcer
306113018,"Pre-existing diabetes mellitus, non-insulin-dependent"
4796321000006113,Pre-existing type 2 diabetes mellitus
841351000006110,Insulin treated Type II diabetes mellitus
5109461000006115,Diabetes type 2 on insulin
1223147012,Insulin treated Type II diabetes mellitus
840951000006119,Insulin treated Type 2 diabetes mellitus
1223148019,Insulin treated non-insulin dependent diabetes mellitus
914391000006116,Insulin treated Type 2 diabetes mellitus
5110001000006118,Pregnancy and type 2 diabetes mellitus
11931861000006112,Pre-existing type 2 diabetes mellitus in pregnancy
1988741000006117,Pregnancy and non-insulin-dependent diabetes mellitus
457328010,Non-insulin-dependent diabetes mellitus without complication
85011000006119,Type II diabetes mellitus without complication
457330012,Type II diabetes mellitus without complication
84641000006112,Type 2 diabetes mellitus without complication
616511000006110,"Diabetes mellitus, adult onset, no mention of complication"
457329019,Type 2 diabetes mellitus without complication
84591000006119,Type 2 diabetes mellitus with peripheral angiopathy
84961000006116,Type II diabetes mellitus with peripheral angiopathy
280561000006111,Non-insulin-dependent diabetes mellitus with peripheral angiopathy
459308015,Type 2 diabetes mellitus with peripheral angiopathy
459306016,Type II diabetes mellitus with peripheral angiopathy
459309011,Non-insulin dependent diabetes mellitus with arthropathy
459311019,Type II diabetes mellitus with arthropathy
459310018,Type 2 diabetes mellitus with arthropathy
84491000006118,Type 2 diabetes mellitus with arthropathy
84861000006112,Type II diabetes mellitus with arthropathy
84941000006115,Type II diabetes mellitus with neuropathic arthropathy
459313016,Type 2 diabetes mellitus with neuropathic arthropathy
281181000006116,Non-insulin dependent diabetes mellitus with neuropathic arthropathy
459312014,Type II diabetes mellitus with neuropathic arthropathy
84571000006115,Type 2 diabetes mellitus with neuropathic arthropathy
1667891000000113,Hyperosmolar non-ketotic state in type II diabetes mellitus
1488898011,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
850691000006118,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
280531000006119,Non-insulin dependent diabetes mellitus with nephropathy
914261000006119,Diabetes type 2 with nephropathy
587521000006111,Non-insulin-dependent diabetes mellitus with renal comps
84921000006110,Renal disorder due to type 2 diabetes mellitus
616551000006111,"Diabetes mellitus, adult onset, with renal manifestation"
914041000006111,Type II diabetes mellitus with renal complications
