CTV3Codes,Description
A32y3,Diphtheritic cystitis
A9811,Acute gonococcal cystitis
A9831,Chronic gonococcal cystitis
K15..,Inflammation of bladder
K150.,NULL
K151.,Chronic interstitial cystitis
K1510,Hunner's ulcer
K1511,Panmural fibrosis of bladder
K1512,Submucous cystitis
K151z,Chronic interstitial cystitis NOS
K152.,Other chronic cystitis
K1520,Subacute cystitis
K152y,Chronic cystitis unspecified
K152z,Other chronic cystitis NOS
K153.,(Trigonitis) or (follicular cystitis)
K1530,Acute trigonitis
K1531,Chronic trigonitis
K1532,Urethrotrigonitis
K153z,Trigonitis NOS
K154.,Cystitis in diseases EC
K1540,Actinomycotic cystitis
K1541,Amoebic cystitis
K1542,Schistosomiasis of bladder
K1543,Echinococcal cystitis
K1544,NULL
K1545,Gonococcal cystitis
K1546,Monilial cystitis
K1547,Trichomonal cystitis
K1548,Tuberculous cystitis
K154z,Cystitis in diseases EC NOS
K155.,Recurrent cystitis
K15y.,Other specified cystitis
K15y0,Cystitis cystica
K15y1,Irradiation cystitis
K15y2,Pyocystis
K15y3,NULL
K15yz,Other cystitis NOS
K15z.,Cystitis NOS
K1632,Diverticulitis of bladder
K190.,Urinary tract infection: [site not specified] or [recurrent]
K1900,Bacteriuria: [site not specified] or [asymptomatic]
K1901,Pyuria
K1902,Postoperative urinary tract infection
K1903,Recurrent urinary tract infection
K1904,Chronic urinary tract infection
K1905,NULL
K1906,NULL
K190X,NULL
K190z,"Urinary tract infection, site not specified NOS"
Kyu50,[X]Other chronic cystitis
Kyu51,[X]Other cystitis
X30Na,Recurrent cystitis - culture-negative
X30Nb,Chronic cystitis - culture negative
X30Nc,Chronic nonspecific cystitis
X30Nd,Acute radiation cystitis
X30Ne,Chronic radiation cystitis
X30Nf,Chemical cystitis
X30Ng,Leukoplakia of bladder
X30Nh,Malakoplakia of bladder
X30NV,Infective cystitis
X30NX,Chronic infective cystitis
X30NY,Non-infective cystitis
X30NZ,Acute cystitis - culture-negative
X30Pa,Recurrent infective cystitis
X30PZ,Acute culture positive cystitis
Xa0t3,Amyloid of bladder
Xa8EJ,Acute cystitis
Xa8EK,Chronic cystitis
XaA05,Bullous cystitis
XaB66,Acute infective cystitis
XaY6b,Follicular cystitis
XE0dq,Trigonitis
XE0fX,Acute cystitis (& [recurrent])
XE0fZ,(Cystitis NOS) or (trigonitis)
XM0sZ,Acute recurrent cystitis
XM1Ov,Infected diverticulum of bladder
XM1Ox,Cystitis of pregnancy
XM1Us,Sterile pyuria
