SNOMEDCTCodes,Description
13470001,Chronic ulcerative ileocolitis (disorder)
14311001,Severe chronic ulcerative colitis (disorder)
15342002,Chronic ulcerative enterocolitis (disorder)
24829000,Eosinophilic ulcerative colitis (disorder)
43752006,Ulcerative colitis and/or proctitis
52231000,Chronic ulcerative proctitis (disorder)
52506002,Chronic ulcerative rectosigmoiditis (disorder)
64766004,Ulcerative colitis (disorder)
78324009,Mild chronic ulcerative colitis (disorder)
78712000,Moderate chronic ulcerative colitis (disorder)
128600008,Acute ulcerative colitis (disorder)
155764007,Ulcerative colitis
196986004,Ulcerative proctocolitis
196987008,Ulcerative ileocolitis
196988003,Ulcerative colitis
196989006,Ulcerative proctocolitis
196990002,Ulcerative proctocolitis NOS
196991003,Ulcerative enterocolitis
196992005,Ulcerative ileocolitis
197535008,[X]Other ulcerative colitis
201727001,Arthropathy in ulcerative colitis (disorder)
201807008,Juvenile arthritis in ulcerative colitis (disorder)
235714007,Ulcerative enterocolitis (disorder)
266447004,Ulcerative colitis
275549008,History of ulcerative colitis (situation)
295046003,Ulcerative proctocolitis (disorder)
404908004,Toxic megacolon due to ulcerative colitis (disorder)
410484008,Iritis with ulcerative colitis (disorder)
414156000,Exacerbation of ulcerative colitis (disorder)
441971007,Chronic left-sided ulcerative colitis (disorder)
442159003,Chronic ulcerative pancolitis (disorder)
444546002,Chronic ulcerative colitis (disorder)
444548001,Ulcerative pancolitis (disorder)
445243001,Left sided ulcerative colitis (disorder)
697969008,Ulcerative colitis in remission (disorder)
732966008,Secondary autoimmune hemolytic anemia co-occurrent and due to ulcerative colitis (disorder)
1085131000119105,Abscess of intestine co-occurrent and due to chronic ulcerative pancolitis (disorder)
1085141000119101,Complication due to chronic ulcerative pancolitis (disorder)
1085151000119104,Fistula of intestine due to chronic ulcerative pancolitis (disorder)
1085161000119102,Intestinal obstruction due to chronic ulcerative pancolitis (disorder)
1085171000119108,Rectal hemorrhage due to chronic ulcerative pancolitis (disorder)
1085181000119106,Abscess of intestine co-occurrent and due to chronic ulcerative proctitis (disorder)
1085191000119109,Complication due to chronic ulcerative proctitis (disorder)
1085201000119107,Fistula of intestine due to chronic ulcerative proctitis
1085211000119105,Intestinal obstruction due to chronic ulcerative proctitis (disorder)
1085221000119103,Rectal hemorrhage due to chronic ulcerative proctitis
1085231000119100,Abscess of intestine co-occurrent and due to chronic ulcerative rectosigmoiditis (disorder)
1085241000119109,Complication due to chronic ulcerative rectosigmoiditis (disorder)
1085251000119106,Fistula of large intestine due to chronic ulcerative rectosigmoiditis (disorder)
1085261000119108,Intestinal obstruction due to chronic ulcerative rectosigmoiditis (disorder)
1085271000119102,Rectal hemorrhage due to chronic ulcerative rectosigmoiditis (disorder)
1092841000119100,Abscess of intestine co-occurrent and due to ulcerative colitis (disorder)
1092851000119103,Complication due to ulcerative colitis (disorder)
1092861000119101,Fistula of intestine due to ulcerative colitis (disorder)
1092871000119107,Intestinal obstruction due to ulcerative colitis (disorder)
1092881000119105,Rectal hemorrhage due to ulcerative colitis (disorder)
