MedCodeID,Description
9317391000006112,Skin ulcer due to varicose veins
300982014,[X]Varicose veins of other specified sites
300795013,Other specified varicose veins
300796014,Varicose veins
4403381000006113,Varices
65401000006114,Varices - other
395804011,Venous varices
4403391000006111,Varicosities
884791000006114,Varicose ulcer + inflammation
300723011,Varicose veins of the leg with ulcer and eczema
300724017,Varicose veins of the leg with rupture
4779571000006115,Ruptured varicose vein of leg
884801000006110,Ruptured varicose veins
4779581000006117,Bleeding varicose vein of leg
888661000006119,"Varicose veins,legs - obst."
307706016,Varicose veins of legs in pregnancy and puerperium NOS
65531000006119,Varicose veins of legs in pregnancy/puerperium unspecified
65511000006113,Varicose veins of legs in pregnancy and the puerperium - delivered
65521000006117,Varicose veins of legs in pregnancy and the puerperium - delivered with postnatal complication
65491000006119,Varicose veins of legs in pregnancy and the puerperium with antenatal complication
65501000006110,Varicose veins of legs in pregnancy and the puerperium with postnatal complication
5051021000006116,Multiple phlebectomy
5051031000006118,Multiple avulsions
5051011000006112,Multiple avulsions of varicose veins
350683012,Varicose veins of leg with long saphenous vein distribution
350684018,Varicose veins of leg with short saphenous vein distribution
5059471000006114,Calf perforator varicose veins
2888831000006111,Varicose veins of lower extremity with inflammation
2888841000006118,Varicose veins with inflammation of lower extremity
5492341000006118,Simple varicose veins
5492361000006119,Bleeding varicose veins
5492351000006116,Ruptured varicose veins
5575541000006118,Varicose eczema leg
884781000006111,Varicose eczema - leg
411635018,Varicose veins of the leg with eczema
5843611000006117,Varicose veins of lower extremity without ulcer AND without inflammation
5924601000006111,Varicose ulcer of lower limb
5924591000006115,Varicose ulcer of lower extremity
457115011,Varicose vein of leg with phlebitis
6029061000006110,Varicose veins of leg in long saphenous vein distribution with eczema
6029071000006115,Varicose veins of leg in short saphenous vein distribution with eczema
6029081000006117,Varicose veins of leg in long saphenous vein distribution with ulcer
6029101000006113,Varicose veins of leg in short saphenous vein distribution with ulcer
6683131000006115,Calcinosis in varicose veins
1548941000006119,Ultrasound guided foam sclerotherapy for varicose vein of leg
7368271000006110,Ligation and stripping of varicose vein of lower limb
7373301000006110,Recurrent varicose vein of lower leg
7373311000006113,Recurrent varicose vein of lower limb
7380141000006111,High ligation and stripping of long saphenous vein and multiple avulsions of varicose veins
