SNOMEDCTCodes,Description
128060009,Venous varices (disorder)
403569009,Calcinosis in varicose veins (disorder)
266330004,Ruptured varicose veins (disorder)
195448005,Varicose veins of the leg with rupture (disorder)
266329009,Simple varicose veins (disorder)
72866009,Varicose veins of lower extremity (disorder)
234057004,Calf perforator varicose veins (disorder)
449651003,Recurrent varicose vein of lower limb (disorder)
449650002,Recurrent varicose vein of lower leg (disorder)
304026004,Varicose ulcer of lower extremity (disorder)
313348002,Varicose veins of leg in long saphenous vein distribution with ulcer (disorder)
69352009,Varicose veins of lower extremity with ulcer AND inflammation (disorder)
195447000,Varicose veins of the leg with ulcer and eczema (disorder)
313254003,Varicose vein of leg with phlebitis (disorder)
234055007,Varicose veins of leg with long saphenous vein distribution (disorder)
313346003,Varicose veins of leg in long saphenous vein distribution with eczema (disorder)
234056008,Varicose veins of leg with short saphenous vein distribution (disorder)
313347007,Varicose veins of leg in short saphenous vein distribution with eczema (disorder)
313350005,Varicose veins of leg in short saphenous vein distribution with ulcer (disorder)
200204002,Varicose veins of legs in pregnancy and the puerperium (disorder)
200206000,Varicose veins of legs in pregnancy and the puerperium - delivered (disorder)
200207009,Varicose veins of legs in pregnancy and the puerperium - delivered with postnatal complication (disorder)
200208004,Varicose veins of legs in pregnancy and the puerperium with antenatal complication (disorder)
200209007,Varicose veins of legs in pregnancy and the puerperium with postnatal complication (disorder)
24366001,Varicose veins of lower extremity with inflammation (disorder)
297713002,Varicose veins of lower extremity without ulcer AND without inflammation (disorder)
706913006,Varicose veins of lower limb co-occurrent with edema (disorder)
733129005,Varicose veins of lower limb with nontruncal reflux (disorder)
275700003,Varicose veins of the leg with eczema (disorder)
10692931000119102,Skin ulcer due to varicose veins (disorder)
706883004,Pain due to varicose veins of lower extremity (finding)
233459001,Multiple avulsions of varicose veins (procedure)
450531005,High ligation and stripping of long saphenous vein and multiple avulsions of varicose veins (procedure)
450532003,Ligation of short saphenous vein and multiple avulsions of varicose veins (procedure)
9365003,Stripping of lower limb varicose veins (procedure)
449320003,Ligation and stripping of varicose vein of lower limb (procedure)
762537007,Livedoid vasculitis of lower limb due to varicose veins of lower limb (disorder)
762535004,Hemosiderin pigmentation of lower limb due to varicose veins of lower limb (disorder)
762536003,Lipodermatosclerosis of lower limb due to varicose veins of lower limb (disorder)
425542000,Ultrasound guided foam sclerotherapy for varicose vein of leg (procedure)
