V2Codes,Description
14A9.,H/O varicose veins
2482.,o/e varicose veins
G83..,Varicose veins of the legs
G830.,Varicose veins of legs with ulcer
G831.,Varcose veins of the legs with ulcer
G832.,Varicose veins of legs wih ulcer and eczema
G833.,Varicose veins of legs with rupture
G834.,Varicose veins of leg without mention of complicaiton
G8340,Varicose veins of leg with long saphenous vein distribution
G8341,Varicose veins of leg with short saphenous vein distribution
G835.,Infected varicose ulcer
G836.,Varicose veins of leg with phlebitis
G837.,Venous ulcer of leg
G83z.,Varicose veins of leg NOS
8L2..,Varicose vein operation planned
7A67.,Ligation of varicose vein of leg
7A670,Ligation of long saphenous vein
7A671,Ligation of short saphenous vein
7A672,Ligation of recurrent varicose vein of leg
7A673,Ligation of perforating varicose vein of leg
7A674,High ligation of long saphenous vein
7A67y,Other specified ligattion of varicose vein of leg
7A67z,Ligation of varicose vein of leg NOS
9NOV.,Seen in varicose vein clinic
8HT7.,Referral to varicose vein clinic
7A68.,Injection into varicose vein of leg
7A680,Injection of sclerosing substance into varicose vein of leg
7A682,Ultrasound guided foam sclerotherapy for varicose vein of leg
7A683,Transluminated powered phelbectomy of varicose vein of leg
7A684,Injection of sclerosing substance into vein of leg NEC
7A68y,Other specified injection into varicose vein of leg NOS
7A68z,Injection into varicose vein NOS
7A69.,Other operations on varicose vein of leg
7A690,Stripping of long saphenous vein
7A691,Stripping of short saphenous vein
7A692,Stripping of varicose vein of leg NEC
7A693,Avulsion of varicose vein of leg
7A694,Local excision of varicose vein of leg
7A695,Incision of varicose vein of leg
7A696,Endovascular radiofrequency ablation of varicose vein of leg
7A697,Endovascular laser ablation of varicose vein of leg
7A69y,Other specified other operation on varicose vein of leg
7A69z,Other operation on varicose vein of leg NOS
7A6L.,Combined opertions on varicose vein of leg
7A6L0,Combined operations on primary long saphenous vein
7A6L1,Combined operations on primary short saphenous vein
7A6L2,Combined operations on primary long and short saphenous vein
7A6L3,Combined oepration on recurrent long saphenous vein
7A6L4,Combined operations on recurrent short saphenous vein
7A6L5,Combined operations recurrent long and short saphenous vein
7A6Ly,Other specified combined operarations on varicose veins of leg
7A6Lz,Combined operations on varicose vein of leg NOS
7A6M.,Transluminal operations on varicose vein of leg
7A6M0,Percutaneous transluminal laser ablation long saphenous vein
7A6M1,Radiofrequency ablation of varicose vein of leg
7A6M2,Percutaneous transluminal lase ablation of vein NEC
7A6M3,Perc transluminal lase ablation of varicose vein NEC
7A6My,Other specified transluminal operations on varicose vein leg
7A6Mz,Transluminal operations on varicose vein of leg NOS
