MedCodeID,Description
2618321000000117,Recommendation to self-refer for counselling
2665181000006115,Termination counseling
1215838017,Abortion counselling
2665191000006117,Abortion counseling
2665121000006119,Counseling for abortion
2665171000006118,TOP counseling
213711000006111,Preg. termination counselling
1215840010,Termination counselling
2665111000006110,Counseling for termination of pregnancy
1215839013,TOP counselling
2665101000006112,Counselling for termination of pregnancy
2665131000006116,Counselling for abortion
265014012,Counselled by health visitor
4118371000006116,Counselling by chaplain
4118381000006118,Counseling by chaplain
4118391000006115,Inpatient counselling by chaplain
4118401000006118,Inpatient counseling by chaplain
4118421000006111,Outpatient counseling by chaplain
4118411000006115,Outpatient counselling by chaplain
4152421000006115,Specific patient counseling session
4152411000006111,Specific patient counselling session
12121481000006117,Counselling offered
264992015,Counselling offered
12618921000006112,Signposting to family support counselling
12618931000006110,Signposting to counselling
12625111000006118,Signposting to general practice based counselling
4426581000006116,Counselling - action
4426591000006118,Counseling - action
226921000000111,Date children offered counselling
264997014,Counselling of benefit
4639171000006115,Counseling of benefit
264998016,Counselling of no benefit
4639191000006119,Counseling of no benefit
265006018,Person NOS counselled
264994019,Person counseled
265000012,Person counselled
11924081000006111,Person counseled
265001011,Patient counselled
4639231000006112,Patient counseled
4639251000006117,Family counseled
265002016,Family counselled
4639271000006110,Relative counseled
265003014,Relative counselled
4639321000006119,Counseled by doctor
4639311000006110,Counselled by doctor
265012011,Counselled by a doctor
4639301000006112,Counseled by a doctor
4639341000006114,Counseled by a nurse
4639361000006113,Counselled by nurse
4639351000006111,Counseled by nurse
265013018,Counselled by a nurse
4639401000006115,Counseled by midwife
4639381000006115,Counseled by a midwife
265015013,Counselled by a midwife
4639391000006117,Counselled by midwife
4639431000006111,Counseled by social worker
265016014,Counselled by a social worker
4639441000006118,Counselled by social worker
4639421000006113,Counseled by a social worker
4639461000006119,Counseled by a counsellor
265017017,Counselled by a counsellor
4639471000006114,Counseled by counselor
4639481000006112,Counselled by counselor
4639491000006110,Counselled by voluntary worker
598531000006112,Counselled by a vol. worker
4639501000006119,Counseled by voluntary worker
265025015,Social counselling NOS
4639521000006112,Social counseling
265020013,Social counselling
265021012,Benefits counselling
4639541000006117,Benefits counseling
4639561000006118,Counseling about benefits
4639551000006115,Counselling about benefits
4639581000006111,Vocational counseling
265022017,Vocational counselling
265024016,Retirement counselling
4639621000006111,Retirement counseling
4639671000006112,Counselling for grieving
265032012,Grieving counselling NOS
265026019,Grieving counselling
4639661000006117,Grief counseling
4639641000006116,Grief counselling
4639651000006119,Grieving counseling
4639681000006110,Counseling for grieving
265028018,Bereavement counselling
4639711000006111,Counseling for bereavement
4639721000006115,Counselling for bereavement
4639701000006113,Bereavement counseling
265035014,Medical counselling
4639871000006111,Medical counseling
265061013,Medical counselling NOS
4639891000006112,Psychological counseling
265051018,Psychological counselling
4639911000006114,Psychosexual counseling
4639921000006118,Sex therapy
265052013,Psychosexual counselling
