SNOMEDCTCodes,Description
409063005,Counseling (procedure)
413473000,Counseling about alcohol consumption (procedure)
243068007,Counseling about bullying (procedure)
243067002,Counseling about coping strategies (procedure)
247871000000103,Anger management counselling (procedure)
313075001,Counseling for phobia (procedure)
445142003,Counseling about disease (procedure)
24165007,Alcoholism counseling (procedure)
784055004,Counseling for acquired polycystic kidney disease (procedure)
784054000,Counseling for congenital polycystic kidney disease (procedure)
286711000000107,Counseling for depression (procedure)
395072006,Counseling for postnatal depression (procedure)
313076000,Counseling for eating disorder (procedure)
428997004,Psychosocial counseling about cancer (procedure)
710199005,Counseling about fear (procedure)
711030000,Counseling about level of hope (procedure)
441331000124108,Counseling about nutrition using cognitive restructuring strategy (procedure)
441201000124108,Counseling about nutrition using cognitive-behavioral theoretical approach (procedure)
441271000124102,Counseling about nutrition using goal setting strategy (procedure)
441231000124100,Counseling about nutrition using health belief model (procedure)
441261000124109,Counseling about nutrition using motivational interviewing strategy (procedure)
441291000124101,Counseling about nutrition using problem solving strategy (procedure)
441341000124103,Counseling about nutrition using relapse prevention strategy (procedure)
441351000124101,Counseling about nutrition using rewards and contingency management strategy (procedure)
441281000124104,Counseling about nutrition using self-monitoring strategy (procedure)
441241000124105,Counseling about nutrition using social learning theory approach (procedure)
441301000124100,Counseling about nutrition using social support strategy (procedure)
441321000124105,Counseling about nutrition using stimulus control strategy (procedure)
441311000124102,Counseling about nutrition using stress management strategy (procedure)
441251000124107,Counseling about nutrition using transtheoretical model and stages of change approach (procedure)
310358004,Counseling about serious diagnosis (procedure)
710198002,Counseling about spiritual distress (procedure)
711028002,Counseling about tobacco use (procedure)
105393000,Counseling by chaplain (regime/therapy)
105394006,Inpatient counseling by chaplain (regime/therapy)
105395007,Outpatient counseling by chaplain (regime/therapy)
243069004,Counseling for abuse (procedure)
313070006,Counseling for domestic abuse (procedure)
243071004,Counseling for physical abuse (procedure)
313072003,Counseling for racial abuse (procedure)
243070003,Counseling for sexual abuse (procedure)
313071005,Counseling for substance abuse (procedure)
60112009,Drug addiction counseling (procedure)
299941000000103,Substance misuse structured counselling (procedure)
313069005,Counseling for verbal abuse (procedure)
737598000,Counseling for end of life issues (procedure)
313078004,Counseling for loss (procedure)
395184006,Counseling following miscarriage (procedure)
171007003,Counseling for bereavement (procedure)
171006007,Counseling for grieving (procedure)
514171000000100,Counselling about diagnosis (procedure)
