V2Codes,Description
67...,Counselling/health education
671..,Counselling - general
6712,Counselling offered
6714,Counselling carried out
6715,Counselling by other agency
6716,Counselling of benefit
6717,Counselling of no benefit
671Z.,Counselling - general NOS
6735,Counselled by a social worker
6736,Counselled by a counsellor
6737,Counselled by a vol. worker
673Z.,Counselled by person NOS
8M8..,Counselling requested
9NJ1.,In-house counselling
9NJR.,In-house counselling first appointment
9NJT.,In-house counselling follow-up appointment
