MedCodeID,Description
325314018,Family therapy
4153181000006115,FT- Family therapy
4153171000006118,Family psychotherapy
4153151000006111,Family psychotherapy procedure
12627191000006116,TFP - Transference focused psychotherapy
12627181000006119,Transference focused psychotherapy
4218411000006118,"Sexual psychotherapy, female therapist - male patient"
2739951000006114,"Sexual psychotherapy, female therapist - female patient"
2523351000006114,Brief group psychotherapy
2746841000006110,Expressive psychotherapy
2746851000006112,Exploratory verbal psychotherapy
2501191000006113,Behavioural psychotherapy
2501141000006116,Behaviour conditioning therapy
2501201000006111,Behavior modification technique
2501171000006112,Behaviour modification technique
2501221000006118,Behavioral psychotherapy
2501131000006114,Behavior modification psychotherapy
2501251000006110,Therapeutic conditioning
2501121000006111,Behavior modification
2501091000006112,Behavioural therapy
2501211000006114,Behavior therapy
2501161000006117,Behaviour modification psychotherapy
2501231000006115,Behaviour modification treatments and procedures
2501181000006110,Behaviour therapy
2501151000006119,Behaviour modification
2501241000006113,Behavior modification treatments and procedures
2501111000006115,Behavior conditioning therapy
2501101000006118,Behavioral therapy
4722651000006115,Convalescence after psychotherapy
593621000006119,Convalescence after psychother
283442014,General psychotherapy
4722711000006112,Psychotherapy - behavioral
283444010,Psychotherapy - behavioural
283445011,Psychotherapy - cognitive
283447015,Functional psychotherapy
283448013,Functional psychotherapy NOS
283455010,Stimulative psychotherapy
283462018,Stimulative psychotherapy NOS
283465016,Daily life psychotherapy NOS
283463011,Daily life psychotherapy
283466015,Anti-suicide psychotherapy
283470011,Anti-suicide psychotherapy NOS
283471010,Anti-criminal psychotherapy
486801000006114,Anti-criminal psychother. NOS
283477014,Therapeutic psychology
2793891000006115,Individual psychotherapy
2793901000006116,Dyadic therapy
4981491000006119,Cognitive and behavioral therapy
4981481000006117,Cognitive and behavioural therapy
283507013,Other psychosociological care
397204015,Psychotherapy/sociotherapy
283510018,Other sociopsych. care NOS
283511019,Psycho./socio.- therapy NOS
2927541000006119,"Sexual psychotherapy, group"
2942581000006113,Group analytical psychotherapy
2964221000006110,Interactive group medical psychotherapy
5869961000006117,Competitive games psychotherapy
5904551000006115,Psychoanalytical - psychodynamic therapy
5904531000006110,Psychoanalytic and psychodynamic therapy
5904541000006117,Explorative psychotherapy
5904561000006118,Long-term exploratory psychotherapy
5904571000006113,Jungian-based therapy
5904581000006111,Generic Jungian-based therapy
5904591000006114,Analytical psychology
5904601000006118,Long-term psychodynamic psychotherapy
5904611000006115,Humanistic and integrative therapy
5904641000006116,Narrative family psychotherapy
5904651000006119,Psychotherapeutic approaches using specific settings
5934201000006110,Developmental psychodynamic psychotherapy
