CTV3Codes,Description
X71bp,Psychotherapy
XaaUO,Cognitive rehabilitation therapy
XaItc,Brief solution focused psychotherapy
Xa8IG,Psychoanalytic and psychodynamic therapy
Xa8IJ,Long-term exploratory psychotherapy
3841.,Psychoanalysis
XaA8V,Generic psychoanalysis
XaA8W,Independent psychoanalysis
XaA8T,Kleinian psychoanalysis
XaA8U,Bion-based group psychoanalysis
XaA8X,Classical psychoanalysis
XaA8Y,Lacanian psychoanalysis
XaA8g,Group psychoanalysis
384Z.,Psychological analysis NOS
Xa8IM,Jungian-based therapy
Xa8IN,Generic Jungian-based therapy
Xa8IP,Analytical psychology
Xa8IR,Long-term psychodynamic psychotherapy
XaA8Z,Developmental psychodynamic psychotherapy
XaA8c,Supportive expressive psychodynamic psychotherapy
XaA8d,Psychodynamic-interpersonal psychotherapy
XaEVq,Psychodynamic psychotherapy
Xad7C,Focal psychodynamic therapy
Xa8II,Short-term psychodynamic therapy
XaXuc,Dynamic interpersonal therapy
XaA9g,Specific task orientated psychotherapy
XE0iL,Psychotherapy/sociotherapy
8G9Z.,Other psychotherapy NOS
8G9..,Other psychotherapy
8G1..,General psychotherapy
8G10.,Psychotherapy - behavioural
8G11.,Psychotherapy - cognitive
8G12.,Psychotherapy - psychodynamic
XaAUN,Seen by psychotherapist
Xaa4f,Seen by trainee psychotherapist
