V2Codes,Description
8G...,Psychotherapy
8G1..,General psychotherapy
8G10.,Psychotherapy - behavioural
8G100,Behavioural activation therapy
8G101,Dialectical behaviour therapy
8G102,Behavioural parent training
8G11.,Psychotherapy - cognitive
8G12.,Psychotherapy - psychodynamic
8G120,Short-term psychodynamic therapy
8G121,Dynamic interpersonal therapy
8G122,Focal psychodynamic therapy
8G14.,Cognitive analytic therapy
8G15.,Computerised cognitive behavioural therapy
8G16.,Interpersonal psychotherapy
8G18.,Cognitive stimulation therapy
9NlK.,Seen by psychotherapist
9NlK0,Seen by trainee psychotherapist
8HHT.,Referral to psychotherapist
ZV57D,"[V]Psychotherapy, not elsewhere classified"
ZV673,[V]Psychotherapy or other treatment for mental disorder follow-up
8G9Z.,Other psychotherapy NOS
8G9..,Other psychotherapy
8GZ..,Psycho./socio.- therapy NOS
