ProdCodeId,Description
1022641000033113,oxazepam capsules 30 mg
1025741000033113,oxazepam 10mg tablets
1025841000033115,oxazepam 15mg tablets
1025941000033111,oxazepam tablets 30 mg
10388041000033115,perizam 1mg/ml oral suspension (rosemont pharmaceuticals ltd)
10388141000033116,perizam 2mg/ml oral suspension (rosemont pharmaceuticals ltd)
11275941000033119,oxazepam 10mg/5ml oral suspension
11616241000033110,clonazepam 1mg/1ml solution for injection ampoules and diluent
11616341000033117,rivotril 1mg/1ml concentrate for solution for injection ampoules and diluent (imported (france))
1173341000033116,"rivotril injection 1mg/ml, 1 ml ampoule"
1177241000033117,rivotril 500microgram tablets (roche products ltd)
1177341000033110,rivotril 2mg tablets (roche products ltd)
12202541000033114,zacco 5mg/5ml oral suspension (thame laboratories ltd)
12202641000033110,zacco 10mg/5ml oral suspension (thame laboratories ltd)
12373741000033114,lorazepam oral solution 1 mg/ml (5 mg/5 ml)
12503341000033119,lorazepam 1mg/ml oral solution sugar free
12679241000033111,buspirone 5mg/5ml oral solution
13058141000033113,lorazepam 500microgram tablets
13058341000033111,buspirone 7.5mg tablets
13159441000033115,lorazepam 1mg orodispersible tablets
13159541000033119,lorazepam 2.5mg orodispersible tablets
1351241000033119,solis capsules 2 mg
1351341000033112,solis capsules 5 mg
1379741000033111,stesolid injection 5 mg/ml
1383241000033113,stesolid 10mg rectal tube (accord healthcare ltd)
1383341000033115,stesolid 5mg rectal tube (accord healthcare ltd)
1413741000033113,temazepam capsules 10 mg
1413841000033115,temazepam capsules 15 mg
1413941000033111,temazepam capsules 20 mg
1414041000033113,temazepam capsules 30 mg
1416741000033119,temazepam elixir 10 mg/5 ml
1417541000033113,temazepam gelthix gel-filled capsules 15 mg
1417641000033114,temazepam gelthix gel-filled capsules 30 mg
1417741000033117,temazepam gelthix gel-filled capsules 10 mg
1417841000033110,temazepam gelthix gel-filled capsules 20 mg
1418041000033116,temazepam hard gelatin capsules 10 mg
1418141000033117,temazepam hard gelatin capsules 20 mg
1422141000033111,temazepam planpak
1423141000033116,temazepam single dose vials 10 mg/5 ml
1428141000033113,tensium 10mg tablets (ddsa pharmaceuticals ltd)
1428241000033118,tensium 2mg tablets (ddsa pharmaceuticals ltd)
1428341000033111,tensium tablets 5 mg
1428441000033117,temazepam 10mg tablets
1428541000033116,temazepam 20mg tablets
1455941000033116,tropium 5mg capsules (dr reddy's laboratories (uk) ltd)
1470441000033118,triazolam tablets 0.125 mg
1470541000033117,triazolam tablets 0.25 mg
1498541000033113,valium capsules 2 mg
1501741000033117,valium injection 10 mg
1501841000033110,valium injection 5 mg/ml
1502941000033114,valclair 10mg suppositories (durbin plc)
1503041000033116,valium suppositories 10 mg
1503141000033117,valium syrup 2 mg/5 ml
1503541000033114,valium tablets 10 mg
1503841000033111,valium tablets 2 mg
1503941000033115,valium tablets 5 mg
1543541000033117,xanax 250microgram tablets (upjohn uk ltd)
1543641000033116,xanax 500microgram tablets (upjohn uk ltd)
1699841000033119,temazepam 10mg/5ml oral solution sugar free
172041000033110,buspirone 5mg tablets
172141000033114,buspirone 10mg tablets
172241000033119,buspar 10mg tablets (ixl pharma ltd)
1728141000033116,diazepam 5mg/5ml oral solution
1728241000033111,dialar strong oral solution 5 mg/5 ml
174141000033116,buspar 5mg tablets (ixl pharma ltd)
237641000033119,chlordiazepoxide hydrochloride capsules 10 mg
238141000033111,chlordiazepoxide 5mg capsules
238241000033116,chlordiazepoxide 10mg capsules
248541000033115,chlordiazepoxide hydrochloride tablets 10 mg
248641000033119,chlordiazepoxide hydrochloride tablets 5 mg
250241000033117,chlordiazepoxide tablets 25 mg
250641000033119,chlordiazepoxide 10mg tablets
250741000033111,chlordiazepoxide hydrochloride tablets 25 mg
250841000033118,chlordiazepoxide 5mg tablets
2601041000033112,clonazepam 2.5mg/ml drops sugar free
2601141000033111,rivotril 2.5mg/1ml drops (imported (switzerland))
2621141000033119,tropium 10mg capsules (dr reddy's laboratories (uk) ltd)
2621241000033114,tropium 5mg tablets (dr reddy's laboratories (uk) ltd)
2621341000033116,tropium 10mg tablets (dr reddy's laboratories (uk) ltd)
262841000033110,clobazam 10mg tablets
2640041000033113,clonazepam 125micrograms/5ml oral suspension
2667941000033119,clonazepam 625micrograms/5ml oral suspension
