SNOMEDCTCodes,Description
321241004,Alprazolam 250microgram tablets
4658311000001107,Alprazolam 250microgram tablets 60 tablet
4659211000001109,Alprazolam 500microgram tablets
3925811000001106,Ativan 4mg/1ml solution for injection ampoules - Pfizer Ltd
3926011000001109,Ativan 4mg/1ml solution for injection ampoules 10 ampoule - Pfizer Ltd
39320611000001105,Ativan 4mg/1ml solution for injection vials - Imported (Canada)
39320711000001101,Ativan 4mg/1ml solution for injection vials 25 vial - Imported (Canada)
737311000001108,Buspirone 10mg tablets
10838511000001105,Buspirone 10mg tablets 20 tablet
972911000001101,Buspirone 10mg tablets 30 tablet
1040411000001101,Buspirone 10mg tablets 90 tablet
5107411000001104,Buspirone 10mg tablets 100 tablet
19817311000001106,Buspirone 5mg tablets - Almus Pharmaceuticals Ltd
17896011000001100,Buspirone 5mg tablets - Sigma Pharmaceuticals Plc
1102211000001102,Buspirone 5mg tablets 30 tablet
5339211000001106,Buspirone 5mg tablets 60 tablet
1195011000001104,Buspirone 5mg tablets 90 tablet
16627711000001104,Buspirone 10mg tablets - Mylan
15062011000001102,Buspirone 10mg tablets - Sigma Pharmaceuticals Plc
22624511000001104,Buspirone 5mg tablets - DE Pharmaceuticals
34564611000001106,Buspirone 5mg tablets - Teva UK Ltd
292211000001101,Buspirone 10mg tablets - Alliance Healthcare (Distribution) Ltd
13188711000001102,Buspirone 10mg tablets - Dowelhurst Ltd
741511000001107,Buspirone 5mg tablets - Accord Healthcare Ltd
32707711000001100,Buspirone 5mg tablets - Alissa Healthcare Research Ltd
8299111000001107,Buspirone 5mg/5ml oral solution - Special Order
15062211000001107,Buspirone 5mg tablets - Sigma Pharmaceuticals Plc
8304411000001106,Buspirone 5mg/5ml oral solution
37227511000001106,Buspirone 7.5mg tablets - Strides Pharma UK Ltd
37236111000001102,Buspirone 7.5mg tablets
32709711000001108,Buspirone 10mg tablets - Alissa Healthcare Research Ltd
22624311000001105,Buspirone 10mg tablets - DE Pharmaceuticals
30005911000001102,Buspirone 10mg tablets - Mawdsley-Brooks & Company Ltd
34819211000001108,Buspirone 10mg tablets - Teva UK Ltd
13189111000001105,Buspirone 5mg tablets - Dowelhurst Ltd
38813311000001104,Buspirone 5mg tablets - Medihealth (Northern) Ltd
302511000001105,Buspirone 10mg tablets - A A H Pharmaceuticals Ltd
67611000001106,Buspirone 10mg tablets - Accord Healthcare Ltd
19817111000001109,Buspirone 10mg tablets - Almus Pharmaceuticals Ltd
38813111000001101,Buspirone 10mg tablets - Medihealth (Northern) Ltd
22204411000001106,Buspirone 10mg tablets - Phoenix Healthcare Distribution Ltd
21807311000001102,Buspirone 10mg tablets - Waymade Healthcare Plc
741811000001105,Buspirone 5mg tablets - A A H Pharmaceuticals Ltd
261111000001104,Buspirone 5mg tablets - Alliance Healthcare (Distribution) Ltd
444511000001100,Buspirone 5mg tablets - Kent Pharma (UK) Ltd
30004911000001101,Buspirone 5mg tablets - Mawdsley-Brooks & Company Ltd
16630211000001109,Buspirone 5mg tablets - Mylan
22204211000001107,Buspirone 5mg tablets - Phoenix Healthcare Distribution Ltd
21806511000001106,Buspirone 5mg tablets 30 tablet - Waymade Healthcare Plc
21806311000001100,Buspirone 5mg tablets - Waymade Healthcare Plc
8300111000001105,Buspirone 5mg/5ml oral suspension - Special Order
8300211000001104,Buspirone 5mg/5ml oral suspension 1 ml - Special Order
16630311000001101,Buspirone 5mg tablets 30 tablet - Mylan
30005011000001101,Buspirone 5mg tablets 30 tablet - Mawdsley-Brooks & Company Ltd
1932711000001101,Buspirone 5mg tablets 30 tablet - Kent Pharma (UK) Ltd
1933011000001107,Buspirone 5mg tablets 30 tablet - Alliance Healthcare (Distribution) Ltd
1932011000001103,Buspirone 5mg tablets 30 tablet - A A H Pharmaceuticals Ltd
21807511000001108,Buspirone 10mg tablets 30 tablet - Waymade Healthcare Plc
22204511000001105,Buspirone 10mg tablets 30 tablet - Phoenix Healthcare Distribution Ltd
38813211000001107,Buspirone 10mg tablets 30 tablet - Medihealth (Northern) Ltd
19817211000001103,Buspirone 10mg tablets 30 tablet - Almus Pharmaceuticals Ltd
1933311000001105,Buspirone 10mg tablets 30 tablet - Accord Healthcare Ltd
1933211000001102,Buspirone 10mg tablets 30 tablet - A A H Pharmaceuticals Ltd
38813411000001106,Buspirone 5mg tablets 30 tablet - Medihealth (Northern) Ltd
13189211000001104,Buspirone 5mg tablets 30 tablet - Dowelhurst Ltd
34819311000001100,Buspirone 10mg tablets 30 tablet - Teva UK Ltd
30006011000001105,Buspirone 10mg tablets 30 tablet - Mawdsley-Brooks & Company Ltd
22624411000001103,Buspirone 10mg tablets 30 tablet - DE Pharmaceuticals
32709811000001100,Buspirone 10mg tablets 30 tablet - Alissa Healthcare Research Ltd
8299411000001102,Buspirone 5mg/5ml oral solution 1 ml - Special Order
37227611000001105,Buspirone 7.5mg tablets 30 tablet - Strides Pharma UK Ltd
15062311000001104,Buspirone 5mg tablets 30 tablet - Sigma Pharmaceuticals Plc
32709611000001104,Buspirone 5mg tablets 30 tablet - Alissa Healthcare Research Ltd
1932211000001108,Buspirone 5mg tablets 30 tablet - Accord Healthcare Ltd
13188811000001105,Buspirone 10mg tablets 30 tablet - Dowelhurst Ltd
1933811000001101,Buspirone 10mg tablets 30 tablet - Alliance Healthcare (Distribution) Ltd
34564711000001102,Buspirone 5mg tablets 30 tablet - Teva UK Ltd
22624611000001100,Buspirone 5mg tablets 30 tablet - DE Pharmaceuticals
15062111000001101,Buspirone 10mg tablets 30 tablet - Sigma Pharmaceuticals Plc
16627911000001102,Buspirone 10mg tablets 30 tablet - Mylan
17896111000001104,Buspirone 5mg tablets 60 tablet - Sigma Pharmaceuticals Plc
19817411000001104,Buspirone 5mg tablets 30 tablet - Almus Pharmaceuticals Ltd
8299811000001100,Buspirone 5mg/5ml oral suspension 1 ml
8304311000001104,Buspirone 5mg/5ml oral suspension
37227411000001107,Buspirone 7.5mg tablets 30 tablet
5526911000001106,Buspar 5mg tablets - Dowelhurst Ltd
5527011000001105,Buspar 5mg tablets 60 tablet - Dowelhurst Ltd
737211000001100,Buspar 10mg tablets - IXL Pharma Ltd
1933411000001103,Buspar 10mg tablets 90 tablet - IXL Pharma Ltd
5107911000001107,Buspar 10mg tablets 100 tablet - IXL Pharma Ltd
13838811000001107,Buspar 10mg tablets - DE Pharmaceuticals
18548011000001100,Buspar 10mg tablets 20 tablet - DE Pharmaceuticals
13839311000001109,Buspar 10mg tablets 30 tablet - DE Pharmaceuticals
16143211000001101,Buspar 10mg tablets - Lexon (UK) Ltd
16350511000001104,Buspar 10mg tablets - Mawdsley-Brooks & Company Ltd
16350711000001109,Buspar 10mg tablets 20 tablet - Mawdsley-Brooks & Company Ltd
16350911000001106,Buspar 10mg tablets 90 tablet - Mawdsley-Brooks & Company Ltd
14300511000001104,Buspar 10mg tablets - Sigma Pharmaceuticals Plc
