V2Codes,Description
d21..,DIAZEPAM [ANXIOLYTIC]
d211.,*DIAZEPAM 2mg capsules
d212.,*DIAZEPAM 5mg capsules
d213.,DIAZEPAM 2mg tablets
d214.,DIAZEPAM 5mg tablets
d215.,DIAZEPAM 10mg tablets
d216.,DIAZEPAM 2mg/5mL elixir
d217.,*ALUPRAM 2mg tablets
d218.,*ALUPRAM 5mg tablets
d219.,*ALUPRAM 10mg tablets
d21A.,DIAZEPAM 5mg/5mL oral solution
d21B.,*RIMAPAM 2mg tablets
d21C.,*RIMAPAM 5mg tablets
d21D.,*RIMAPAM 10mg tablets
d21E.,DIALAR 2mg/5mL syrup
d21F.,DIALAR 5mg/5mL syrup
d21G.,*VALCLAIR 10mg suppositories
d21J.,DIAZEPAM 10mg/5mL suspension
d21a.,*ATENSINE 2mg tablets
d21b.,*ATENSINE 5mg tablets
d21c.,*ATENSINE 10mg tablets
d21d.,DIAZEMULS 10mg/2mL ampoules
d21e.,*EVACALM 2mg tablets
d21f.,*EVACALM 5mg tablets
d21g.,*SOLIS 2mg capsules
d21h.,*SOLIS 5mg capsules
d21i.,*STESOLID 10mg/2mL injection
d21j.,*STESOLID 20mg/4mL injection
d21k.,STESOLID 5mg rectal solution
d21l.,STESOLID 10mg rectal solution
d21m.,TENSIUM 2mg tablets
d21n.,TENSIUM 5mg tablets
d21o.,TENSIUM 10mg tablets
d21p.,*VALIUM 2mg capsules
d21q.,*VALIUM 5mg capsules
d21r.,*VALIUM 2mg tablets
d21s.,*VALIUM 5mg tablets
d21t.,*VALIUM 10mg tablets
d21u.,*VALIUM 2mg/5mL syrup
d21v.,VALIUM [ANXIOL] 10mg/2mL injection
d21w.,*VALIUM DUP DEL injection
d21x.,*VALIUM 5mg suppositories
d21y.,*VALIUM 10mg suppositories
d21z.,*DIAZEPAM 10mg suppositories
d22..,ALPRAZOLAM
d221.,XANAX 250micrograms tablets
d222.,XANAX 500micrograms tablets
d22y.,ALPRAZOLAM 250microgram tablets
d22z.,ALPRAZOLAM 500microgram tablets
d24..,CHLORDIAZEPOXIDE
d241.,CHLORDIAZEPOXIDE 5mg capsules
d242.,CHLORDIAZEPOXIDE 10mg capsules
d243.,CHLORDIAZEPOXIDE HYDROCHLORIDE 5mg tablets
d244.,CHLORDIAZEPOXIDE HYDROCHLORIDE 10mg tablets
d245.,CHLORDIAZEPOXIDE HYDROCHLORIDE 25mg tablets
d246.,*CHLORDIAZEPOXIDE 5mg tablets
d247.,*CHLORDIAZEPOXIDE 10mg tablets
d248.,*CHLORDIAZEPOXIDE 25mg tablets
d249.,LIBRIUM 5mg capsules
d24a.,LIBRIUM 10mg capsules
d24b.,*LIBRIUM 5mg tablets
d24c.,*LIBRIUM 10mg tablets
d24e.,*LIBRIUM 100mg injection
d24f.,TROPIUM 5mg capsules
d24g.,*TROPIUM 10mg capsules
d24h.,TROPIUM 5mg tablets
d24i.,TROPIUM 10mg tablets
d24j.,*TROPIUM 25mg tablets
d26..,CLOBAZAM
d261.,*CLOBAZAM 10mg capsules
d262.,*FRISIUM 10mg capsules
d263.,CLOBAZAM 10mg tablets
d264.,FRISIUM 10mg tablets
d265.,TAPCLOB 5mg/5mL oral suspension
d266.,CLOBAZAM 5mg/5mL oral suspension
d267.,TAPCLOB 10mg/5mL oral suspension
d268.,CLOBAZAM 10mg/5mL oral suspension
d2a..,LORAZEPAM [ANXIOLYTIC]
d2a1.,LORAZEPAM 1mg tablets
d2a2.,LORAZEPAM 2.5mg tablets
d2a3.,*ALMAZINE 1mg tablets
d2a4.,*ALMAZINE 2.5mg tablets
d2a5.,*ATIVAN 1mg tablets
d2a6.,*ATIVAN 2.5mg tablets
d2a7.,ATIVAN 4mg/1mL injection
d2ax.,*ATIVAN 4mg/mL injection
d2az.,LORAZEPAM 4mg/1mL injection
d2d..,OXAZEPAM
d2d1.,*OXAZEPAM 30mg capsules
d2d2.,OXAZEPAM 10mg tablets
d2d3.,OXAZEPAM 15mg tablets
d2d4.,OXAZEPAM 30mg tablets
d2d5.,*OXANID 10mg tablets
d2d6.,*OXANID 15mg tablets
d2d7.,*OXANID 30mg tablets
dn4..,CLONAZEPAM [EPILEPSY CONTROL]
dn41.,*RIVOTRIL 500mcg tablets
dn42.,*RIVOTRIL 2mg tablets
dn4w.,CLONAZEPAM 0.5mg/5mL sugar free oral solution
dn4x.,CLONAZEPAM 2mg/5mL sugar free oral solution
dn4y.,CLONAZEPAM 500microgram tablets
dn4z.,CLONAZEPAM 2mg tablets
