SNOMEDCTCodes,Description
19496311000001100,Sycrest 10mg sublingual tablets (Organon Pharma (UK) Ltd)
19496411000001107,Sycrest 10mg sublingual tablets (Organon Pharma (UK) Ltd) 60 tablet 6 x 10 tablets
19496611000001105,Sycrest 5mg sublingual tablets (Organon Pharma (UK) Ltd)
19496711000001101,Sycrest 5mg sublingual tablets (Organon Pharma (UK) Ltd) 60 tablet 6 x 10 tablets
19504311000001103,Asenapine 10mg sublingual tablets sugar free
19496211000001108,Asenapine 10mg sublingual tablets sugar freeÿ60ÿtablet
19504411000001105,Asenapine 5mg sublingual tablets sugar free
19496511000001106,Asenapine 5mg sublingual tablets sugar freeÿ60ÿtablet
35771811000001105,Reagila 1.5mg capsules (Recordati Pharmaceuticals Ltd)
35771911000001100,Reagila 1.5mg capsules (Recordati Pharmaceuticals Ltd) 28 capsule 4 x 7 capsules
35772111000001108,Reagila 3mg capsules (Recordati Pharmaceuticals Ltd)
35772211000001102,Reagila 3mg capsules (Recordati Pharmaceuticals Ltd) 28 capsule 4 x 7 capsules
35772411000001103,Reagila 4.5mg capsules (Recordati Pharmaceuticals Ltd)
35772511000001104,Reagila 4.5mg capsules (Recordati Pharmaceuticals Ltd) 28 capsule 4 x 7 capsules
35772711000001109,Reagila 6mg capsules (Recordati Pharmaceuticals Ltd)
35772811000001101,Reagila 6mg capsules (Recordati Pharmaceuticals Ltd) 28 capsule 4 x 7 capsules
35853811000001105,Cariprazine 1.5mg capsules
35771711000001102,Cariprazine 1.5mg capsulesÿ28ÿcapsule
35853911000001100,Cariprazine 3mg capsules
35772011000001107,Cariprazine 3mg capsulesÿ28ÿcapsule
35854011000001102,Cariprazine 4.5mg capsules
35772311000001105,Cariprazine 4.5mg capsulesÿ28ÿcapsule
35854111000001101,Cariprazine 6mg capsules
35772611000001100,Cariprazine 6mg capsulesÿ28ÿcapsule
21295511000001107,Clozapine diluent oral solution (Special Order)
21295611000001106,Clozapine diluent oral solution (Special Order) 1 ml
16209411000001107,Clozapine 100mg/5ml oral solution (Special Order)
16209511000001106,Clozapine 100mg/5ml oral solution (Special Order) 1 ml
16209711000001101,Clozapine 100mg/5ml oral suspension (Special Order)
16209811000001109,Clozapine 100mg/5ml oral suspension (Special Order) 1 ml
20582511000001103,Clozapine 100mg/5ml oral suspension (Special Order) 100 ml
20582611000001104,Clozapine 100mg/5ml oral suspension (Special Order) 300 ml
37559511000001109,Clozapine 125mg/5ml solution for injection ampoules (Imported (Netherlands))
37559611000001108,Clozapine 125mg/5ml solution for injection ampoules (Imported (Netherlands)) 10 ampoule
18173611000001105,Clozapine 50mg/ml oral suspension sugar free (Special Order)
18173711000001101,Clozapine 50mg/ml oral suspension sugar free (Special Order) 1 ml
3832011000001100,Clozaril 100mg tablets (Viatris UK Healthcare Ltd)
3832211000001105,Clozaril 100mg tablets (Viatris UK Healthcare Ltd) 28 tablet 2 x 14 tablets
3832611000001107,Clozaril 100mg tablets (Viatris UK Healthcare Ltd) 84 tablet 6 x 14 tablets
3832711000001103,Clozaril 100mg tablets (Viatris UK Healthcare Ltd) 100 tablet
7974011000001109,Denzapine 100mg tablets (Britannia Pharmaceuticals Ltd)
7974111000001105,Denzapine 100mg tablets (Britannia Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
7974211000001104,Denzapine 100mg tablets (Britannia Pharmaceuticals Ltd) 84 tablet 6 x 14 tablets
16609311000001102,Denzapine 100mg tablets (Britannia Pharmaceuticals Ltd) 100 tablet
8839511000001103,Zaponex 100mg tablets (Leyden Delta B.V.)
8840811000001105,Zaponex 100mg tablets (Leyden Delta B.V.) 84 tablet 6 x 14 tablets
10122211000001103,Zaponex 100mg tablets (Leyden Delta B.V.) 500 tablet
15505711000001105,Denzapine 200mg tablets (Britannia Pharmaceuticals Ltd)
15505811000001102,Denzapine 200mg tablets (Britannia Pharmaceuticals Ltd) 50 tablet 5 x 10 tablets
35400911000001109,Denzapine 200mg tablets (Britannia Pharmaceuticals Ltd) 100 tablet
3830311000001101,Clozaril 25mg tablets (Viatris UK Healthcare Ltd)
3830711000001102,Clozaril 25mg tablets (Viatris UK Healthcare Ltd) 28 tablet 2 x 14 tablets
3830911000001100,Clozaril 25mg tablets (Viatris UK Healthcare Ltd) 84 tablet 6 x 14 tablets
3831111000001109,Clozaril 25mg tablets (Viatris UK Healthcare Ltd) 100 tablet
7972911000001104,Denzapine 25mg tablets (Britannia Pharmaceuticals Ltd)
7973011000001107,Denzapine 25mg tablets (Britannia Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
7973111000001108,Denzapine 25mg tablets (Britannia Pharmaceuticals Ltd) 84 tablet 6 x 14 tablets
16609411000001109,Denzapine 25mg tablets (Britannia Pharmaceuticals Ltd) 100 tablet
8838911000001102,Zaponex 25mg tablets (Leyden Delta B.V.)
8839111000001107,Zaponex 25mg tablets (Leyden Delta B.V.) 84 tablet 6 x 14 tablets
10121911000001101,Zaponex 25mg tablets (Leyden Delta B.V.) 500 tablet
15498911000001105,Denzapine 50mg tablets (Britannia Pharmaceuticals Ltd)
15499011000001101,Denzapine 50mg tablets (Britannia Pharmaceuticals Ltd) 50 tablet 5 x 10 tablets
35401111000001100,Denzapine 50mg tablets (Britannia Pharmaceuticals Ltd) 100 tablet
37688211000001100,Zaponex 100mg orodispersible tablets (Leyden Delta B.V.)
37688411000001101,Zaponex 100mg orodispersible tablets (Leyden Delta B.V.) 28 tablet 4 x 7 tablets
37687211000001104,Zaponex 12.5mg orodispersible tablets (Leyden Delta B.V.)
37687311000001107,Zaponex 12.5mg orodispersible tablets (Leyden Delta B.V.) 28 tablet 4 x 7 tablets
37688811000001104,Zaponex 200mg orodispersible tablets (Leyden Delta B.V.)
37688911000001109,Zaponex 200mg orodispersible tablets (Leyden Delta B.V.) 28 tablet 4 x 7 tablets
37687511000001101,Zaponex 25mg orodispersible tablets (Leyden Delta B.V.)
37687611000001102,Zaponex 25mg orodispersible tablets (Leyden Delta B.V.) 28 tablet 4 x 7 tablets
37687811000001103,Zaponex 50mg orodispersible tablets (Leyden Delta B.V.)
37688011000001105,Zaponex 50mg orodispersible tablets (Leyden Delta B.V.) 28 tablet 4 x 7 tablets
15506011000001104,Denzapine 50mg/ml oral suspension (Britannia Pharmaceuticals Ltd)
15506111000001103,Denzapine 50mg/ml oral suspension (Britannia Pharmaceuticals Ltd) 100 ml
21295211000001109,Clozapine diluent oral solution
21295311000001101,Clozapine diluent oral solutionÿ1ÿml
16210711000001106,Clozapine 100mg/5ml oral solution
