V2Codes,Description
d4t..,AMISULPRIDE
d4t1.,AMISULPRIDE 50mg tablets
d4t2.,AMISULPRIDE 200mg tablets
d4t3.,SOLIAN 50mg tablets
d4t4.,SOLIAN 200mg tablets
d4t5.,SOLIAN 400mg tablets
d4t6.,SOLIAN 100mg/mL sugar free oral solution
d4t7.,SOLIAN 100mg tablets
d4tx.,AMISULPRIDE 100mg tablets
d4ty.,AMISULPRIDE 100mg/mL sugar free oral solution
d4tz.,AMISULPRIDE 400mg tablets
d4v..,ARIPIPRAZOLE
d4v1.,ABILIFY 10mg tablets
d4v2.,ABILIFY 15mg tablets
d4v3.,ABILIFY 30mg tablets
d4v4.,ABILIFY 5mg tablets
d4v5.,ABILIFY 10mg oro-dispersible tablets
d4v6.,ABILIFY 15mg oro-dispersible tablets
d4v7.,ABILIFY 1mg/mL oral solution
d4v8.,ABILIFY 9.75mg/1.3mL solution for injection
d4v9.,ABILIFY MAINTENA 400mg pdr+solv for suspension for injection
d4vr.,ARIPIPRAZOLE 400mg pdr+solvent for suspension for injection
d4vs.,ARIPIPRAZOLE 9.75mg/1.3mL solution for injection
d4vt.,ARIPIPRAZOLE 1mg/mL oral solution
d4vu.,ARIPIPRAZOLE 10mg oro-dispersible tablets
d4vv.,ARIPIPRAZOLE 15mg oro-dispersible tablets
d4vw.,ARIPIPRAZOLE 5mg tablets
d4vx.,ARIPIPRAZOLE 30mg tablets
d4vy.,ARIPIPRAZOLE 15mg tablets
d4vz.,ARIPIPRAZOLE 10mg tablets
d4x..,ASENAPINE
d4x1.,SYCREST 5mg sublingual tablets
d4x2.,ASENAPINE 5mg sublingual tablets
d4x3.,SYCREST 10mg sublingual tablets
d4x4.,ASENAPINE 10mg sublingual tablets
d4l..,CLOZAPINE
d4l1.,CLOZAPINE 25mg tablets
d4l2.,CLOZAPINE 100mg tablets
d4l3.,CLOZARIL 25mg tablets x84CP
d4l5.,CLOZARIL COMMUNITY PACK 25mg tablets x28CP
d4l6.,CLOZARIL COMMUNITY PACK 100mg tablets x28CP
d4l7.,DENZAPINE 25mg tablets
d4l8.,DENZAPINE 100mg tablets
d4l9.,ZAPONEX 25mg tablets
d4lA.,ZAPONEX 100mg tablets
d4lB.,DENZAPINE 50mg/mL oral suspension 100mL
d4lC.,CLOZAPINE 50mg/mL oral suspension
d4lD.,DENZAPINE 50mg tablets
d4lE.,CLOZAPINE 50mg tablets
d4lF.,DENZAPINE 200mg tablets
d4lG.,CLOZAPINE 200mg tablets
d4y..,LURASIDONE
d4y1.,LATUDA 18.5mg tablets
d4y2.,LURASIDONE 18.5mg tablets
d4y3.,LATUDA 37mg tablets
d4y4.,LURASIDONE 37mg tablets
d4y5.,LATUDA 74mg tablets
d4y6.,LURASIDONE 74mg tablets
d4r..,OLANZAPINE
d4r1.,OLANZAPINE 5mg tablets
d4r2.,OLANZAPINE 7.5mg tablets
d4r3.,OLANZAPINE 10mg tablets
d4r4.,ZYPREXA 5mg tablets
d4r5.,ZYPREXA 7.5mg tablets
d4r6.,ZYPREXA 10mg tablets
d4r7.,OLANZAPINE 2.5mg tablets
d4r8.,ZYPREXA 2.5mg tablets
d4r9.,ZYPREXA VELOTAB 5mg dispersible tablets
d4rA.,ZYPREXA VELOTAB 10mg dispersible tablets
d4rB.,ZYPREXA 15mg tablets
d4rC.,ZYPREXA VELOTAB 15mg dispersible tablets
d4rD.,ZYPREXA 10mg injection (pdr for recon)
d4rE.,ZYPREXA VELOTAB 20mg dispersible tablets
d4rF.,ZYPREXA 20mg tablets
d4rG.,ZALASTA 2.5mg tablets
d4rH.,ZALASTA 5mg tablets
d4rI.,ZALASTA 7.5mg tablets
d4rJ.,ZALASTA 15mg tablets
d4rK.,ZALASTA 20mg tablets
d4rL.,ZALASTA 5mg dispersible tablets
d4rM.,ZALASTA 10mg dispersible tablets
d4rN.,ZALASTA 15mg dispersible tablets
d4rO.,ZALASTA 20mg dispersible tablets
d4rP.,ZALASTA 10mg tablets
d4rt.,OLANZAPINE 20mg tablets
d4ru.,OLANZAPINE 20mg dispersible tablets
d4rv.,OLANZAPINE 10mg injection (pdr for recon)
d4rw.,OLANZAPINE 15mg dispersible tablets
d4rx.,OLANZAPINE 15mg tablets
d4ry.,OLANZAPINE 5mg dispersible tablets
d4rz.,OLANZAPINE 10mg dispersible tablets
d58x.,OLANZAPINE 405mg powder+solvent for suspension for injection
d58z.,OLANZAPINE 210mg powder+solvent for suspension for injection
d58y.,OLANZAPINE 300mg powder+solvent for suspension for injection
d4w..,PALIPERIDONE
d4w1.,INVEGA 3mg m/r tablets
d4w2.,INVEGA 6mg m/r tablets
d4w3.,INVEGA 9mg m/r tablets
d4w4.,*INVEGA 12mg m/r tablets
d4w5.,XEPLION 50mg suspension for injection prefilled syringe
d4w6.,XEPLION 75mg suspension for injection prefilled syringe
d4w7.,XEPLION 100mg suspension for injection prefilled syringe
d4w8.,XEPLION 150mg suspension for injection prefilled syringe
d4w9.,XEPLION 100mg + 150mg susp for injection prefilled syringes
d4wr.,PALIPERIDONE 100mg + 150mg susp for inj prefilled syringes
d4ws.,PALIPERIDONE 150mg suspension for injection pfs
d4wt.,PALIPERIDONE 100mg suspension for injection pfs
d4wu.,PALIPERIDONE 75mg suspension for injection prefilled syringe
d4wv.,PALIPERIDONE 50mg suspension for injection prefilled syringe
d4ww.,*PALIPERIDONE 12mg m/r tablets
d4wx.,PALIPERIDONE 9mg m/r tablets
d4wy.,PALIPERIDONE 6mg m/r tablets
d4wz.,PALIPERIDONE 3mg m/r tablets
d4s..,QUETIAPINE
d4s1.,QUETIAPINE 25mg tablets
d4s2.,QUETIAPINE 100mg tablets
d4s3.,QUETIAPINE 200mg tablets
d4s4.,QUETIAPINE 25mg+100mg tablets starter pack
d4s5.,SEROQUEL 25mg tablets
d4s6.,SEROQUEL 100mg tablets
d4s7.,SEROQUEL 200mg tablets
d4s8.,SEROQUEL 25mg+100mg tablets starter pack
d4s9.,SEROQUEL 150mg tablets
d4sA.,SEROQUEL 25mg+100mg+150mg tablets starter pack
d4sB.,SEROQUEL 300mg tablets
d4sC.,SEROQUEL XL 50mg m/r tablets
d4sD.,SEROQUEL XL 200mg m/r tablets
d4sE.,SEROQUEL XL 300mg m/r tablets
d4sF.,SEROQUEL XL 400mg m/r tablets
d4sG.,SEROQUEL XL 150mg m/r tablets
d4sH.,SONDATE XL 50mg m/r tablets
d4sI.,SONDATE XL 200mg m/r tablets
