ProdCodeId,Description
1003641000033113,olanzapine 10mg tablets
1003741000033116,olanzapine 5mg tablets
1003841000033114,olanzapine 7.5mg tablets
10041141000033118,biquelle xl 50mg tablets (aspire pharma ltd)
10041241000033113,biquelle xl 150mg tablets (aspire pharma ltd)
10041341000033115,biquelle xl 200mg tablets (aspire pharma ltd)
10041441000033114,biquelle xl 300mg tablets (aspire pharma ltd)
10041541000033110,biquelle xl 400mg tablets (aspire pharma ltd)
10041741000033119,zaluron xl 50mg tablets (fontus health ltd)
10041841000033112,zaluron xl 150mg tablets (fontus health ltd)
10041941000033116,zaluron xl 200mg tablets (fontus health ltd)
10042041000033110,zaluron xl 300mg tablets (fontus health ltd)
10042141000033114,zaluron xl 400mg tablets (fontus health ltd)
10254741000033110,mintreleq xl 50mg tablets (aristo pharma ltd)
10254841000033117,mintreleq xl 150mg tablets (aristo pharma ltd)
10254941000033113,mintreleq xl 200mg tablets (aristo pharma ltd)
10255041000033113,mintreleq xl 300mg tablets (aristo pharma ltd)
10255141000033112,mintreleq xl 400mg tablets (aristo pharma ltd)
10615141000033115,atrolak xl 50mg tablets (accord healthcare ltd)
10615241000033110,atrolak xl 200mg tablets (accord healthcare ltd)
10615341000033117,atrolak xl 300mg tablets (accord healthcare ltd)
10615441000033111,atrolak xl 400mg tablets (accord healthcare ltd)
10946341000033116,aripiprazole 400mg powder and solvent for suspension for injection pre-filled syringes
10946441000033110,abilify maintena 400mg powder and solvent for prolonged-release suspension for injection pre-filled syringes (otsuka pharmaceuticals (u.k.) ltd)
1150041000033111,quetiapine 100mg tablets
1150141000033110,quetiapine 200mg tablets
1150241000033115,quetiapine 25mg tablets
1150341000033113,"quetiapine fumarate tablets (starter pack) 6 x 25 mg, 2 x 100 mg"
11578941000033118,psyquet xl 50mg tablets (sandoz ltd)
11579241000033119,psyquet xl 150mg tablets (sandoz ltd)
11579341000033112,psyquet xl 200mg tablets (sandoz ltd)
11579441000033118,psyquet xl 300mg tablets (sandoz ltd)
11579541000033117,psyquet xl 400mg tablets (sandoz ltd)
11694341000033111,paliperidone 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes
11694441000033117,paliperidone 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes
11694541000033116,paliperidone 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes
11694641000033115,paliperidone 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes
11694741000033112,trevicta 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes (janssen-cilag ltd)
11694841000033119,trevicta 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes (janssen-cilag ltd)
11694941000033110,trevicta 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes (janssen-cilag ltd)
11695041000033110,trevicta 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes (janssen-cilag ltd)
11730041000033115,quetiapine 200mg/5ml oral suspension
1173841000033113,risperdal 1mg/ml oral solution (janssen-cilag ltd)
1173941000033117,risperidone 1mg/ml oral solution sugar free
11753641000033118,quetiapine 20mg/ml oral suspension sugar free
1176241000033115,risperdal 1mg tablets (janssen-cilag ltd)
1176341000033113,risperdal 2mg tablets (janssen-cilag ltd)
1176441000033119,risperdal 3mg tablets (janssen-cilag ltd)
1176541000033118,risperdal 4mg tablets (janssen-cilag ltd)
1176641000033117,risperidone 1mg tablets
1176741000033114,risperidone 2mg tablets
1176841000033116,risperidone 3mg tablets
1176941000033112,risperidone 4mg tablets
1177641000033119,risperdal 6mg tablets (janssen-cilag ltd)
1177741000033111,risperidone 6mg tablets
11781941000033118,brancico xl 150mg tablets (zentiva)
11782041000033112,brancico xl 200mg tablets (zentiva)
11782141000033111,brancico xl 300mg tablets (zentiva)
11782241000033116,brancico xl 400mg tablets (zentiva)
11782341000033114,brancico xl 50mg tablets (zentiva)
12428041000033114,atrolak xl 150mg tablets (accord healthcare ltd)
12665341000033110,cariprazine 1.5mg capsules
12665441000033116,cariprazine 3mg capsules
12665541000033115,cariprazine 4.5mg capsules
12665641000033119,cariprazine 6mg capsules
12665741000033111,reagila 1.5mg capsules (recordati pharmaceuticals ltd)
12665841000033118,reagila 3mg capsules (recordati pharmaceuticals ltd)
12665941000033114,reagila 4.5mg capsules (recordati pharmaceuticals ltd)
12666041000033116,reagila 6mg capsules (recordati pharmaceuticals ltd)
1277641000033116,seroquel 100mg tablets (luye pharma ltd)
1277741000033113,seroquel 200mg tablets (luye pharma ltd)
1277841000033115,seroquel 25mg tablets (luye pharma ltd)
1277941000033111,"seroquel tablets (starter pack) 6 x 25 mg, 2 x 100 mg"
12988741000033118,olanzapine 2.5mg orodispersible tablets sugar free
12988841000033111,olanzapine 7.5mg orodispersible tablets sugar free
12990341000033118,arpoya 5mg tablets (torrent pharma (uk) ltd)
12990441000033112,arpoya 10mg tablets (torrent pharma (uk) ltd)
12990541000033113,arpoya 15mg tablets (torrent pharma (uk) ltd)
12990641000033114,arpoya 30mg tablets (torrent pharma (uk) ltd)
13158341000033119,clozapine 100mg orodispersible tablets sugar free
13158441000033113,clozapine 12.5mg orodispersible tablets sugar free
13158541000033114,clozapine 200mg orodispersible tablets sugar free
13158641000033110,clozapine 25mg orodispersible tablets sugar free
13158741000033118,clozapine 50mg orodispersible tablets sugar free
13158841000033111,zaponex 100mg orodispersible tablets (leyden delta b.v.)
13158941000033115,zaponex 12.5mg orodispersible tablets (leyden delta b.v.)
13159041000033112,zaponex 200mg orodispersible tablets (leyden delta b.v.)
13159141000033111,zaponex 25mg orodispersible tablets (leyden delta b.v.)
13159241000033116,zaponex 50mg orodispersible tablets (leyden delta b.v.)
13353241000033112,aripiprazole 1mg/ml oral solution sugar free
13581641000033117,risperidone 250microgram tablets
1366641000033118,solian 200 tablets (sanofi)
1366741000033110,solian 50 tablets (sanofi)
13734841000033110,quetiapine 600mg modified-release tablets
13734941000033119,biquelle xl 600mg tablets (aspire pharma ltd)
1565141000033119,zyprexa 10mg tablets (eli lilly and company ltd)
1565241000033114,zyprexa 5mg tablets (eli lilly and company ltd)
1565341000033116,zyprexa 7.5mg tablets (eli lilly and company ltd)
1661141000033114,olanzapine 2.5mg tablets
1713941000033118,zyprexa 2.5mg tablets (eli lilly and company ltd)
1832841000033113,"quetiapine fumarate tablets (starter pack) 6x25 mg, 2x100 mg, 2x150 mg"
1832941000033117,"seroquel tablets (starter pack) 6x25 mg, 2x100 mg, 2x150 mg"
1844641000033118,quetiapine 150mg tablets
1844741000033110,seroquel 150mg tablets (astrazeneca uk ltd)
2077741000033115,olanzapine 5mg oral lyophilisates sugar free
2077841000033113,olanzapine 10mg oral lyophilisates sugar free
2077941000033117,zyprexa 5mg velotabs (eli lilly and company ltd)
2078041000033119,zyprexa 10mg velotabs (eli lilly and company ltd)
2188141000033115,risperdal 500microgram tablets (janssen-cilag ltd)
2188241000033110,risperidone 500microgram tablets
2216641000033113,amisulpride 400mg tablets
2216741000033116,solian 400 tablets (sanofi)
2644841000033114,amisulpride 100mg/ml oral solution sugar free
2644941000033118,solian 100mg/ml oral solution (sanofi)
2759641000033117,olanzapine 15mg tablets
2759741000033114,olanzapine 15mg oral lyophilisates sugar free
2759841000033116,zyprexa 15mg tablets (eli lilly and company ltd)
2759941000033112,zyprexa 15mg velotabs (eli lilly and company ltd)
2779841000033118,risperdal consta 25mg powder and solvent for suspension for injection vials (janssen-cilag ltd)
2779941000033114,risperdal consta 37.5mg powder and solvent for suspension for injection vials (janssen-cilag ltd)
2780041000033113,risperdal consta 50mg powder and solvent for suspension for injection vials (janssen-cilag ltd)
2780141000033112,risperidone 25mg powder and solvent for suspension for injection vials
2780241000033117,risperidone 37.5mg powder and solvent for suspension for injection vials
2780341000033110,risperidone 50mg powder and solvent for suspension for injection vials
2835141000033114,amisulpride 100mg tablets
2835241000033119,solian 100 tablets (sanofi)
284941000033113,clozaril 25mg tablets (mylan)
285041000033113,clozaril 100mg tablets (mylan)
2868841000033116,risperidone 1mg orodispersible tablets sugar free
2868941000033112,risperidone 2mg orodispersible tablets sugar free
2869041000033115,risperdal quicklet 1mg orodispersible tablets (janssen-cilag ltd)
2869141000033116,risperdal quicklet 2mg orodispersible tablets (janssen-cilag ltd)
287541000033112,clozapine 100mg tablets
287641000033113,clozapine 25mg tablets
2975841000033113,quetiapine 300mg tablets
