SNOMEDCTCodes,Description
13179311000001103,Azathioprine 25mg tablets 28 tablet - Dowelhurst Ltd
5493711000001103,Azathioprine 25mg tablets 50 tablet - Dowelhurst Ltd
5493811000001106,Azathioprine 25mg tablets 100 tablet - Dowelhurst Ltd
8388611000001100,Azathioprine 25mg tablets - Teva UK Ltd
8388711000001109,Azathioprine 25mg tablets 28 tablet - Teva UK Ltd
10643411000001106,Azathioprine 25mg tablets 100 tablet - Teva UK Ltd
8743211000001102,Azathioprine 30mg capsules - Special Order
8743311000001105,Azathioprine 30mg capsules 1 capsule - Special Order
27990111000001105,Azathioprine 50mg tablets - Ennogen Healthcare Ltd
27990211000001104,Azathioprine 50mg tablets 56 tablet - Ennogen Healthcare Ltd
17790011000001100,Azathioprine 50mg tablets - Phoenix Healthcare Distribution Ltd
17790311000001102,Azathioprine 50mg tablets 56 tablet - Phoenix Healthcare Distribution Ltd
17790411000001109,Azathioprine 50mg tablets 100 tablet - Phoenix Healthcare Distribution Ltd
18280311000001100,Azathioprine 50mg tablets - Strides Pharma UK Ltd
18280411000001107,Azathioprine 50mg tablets 56 tablet - Strides Pharma UK Ltd
18280511000001106,Azathioprine 50mg tablets 100 tablet - Strides Pharma UK Ltd
8733511000001103,Azathioprine 10mg capsules - Special Order
8733611000001104,Azathioprine 10mg capsules 1 capsule - Special Order
744711000001104,Azathioprine 25mg tablets - A A H Pharmaceuticals Ltd
2011511000001101,Azathioprine 25mg tablets 28 tablet - A A H Pharmaceuticals Ltd
2011611000001102,Azathioprine 25mg tablets 100 tablet - A A H Pharmaceuticals Ltd
338311000001105,Azathioprine 25mg tablets - Kent Pharma (UK) Ltd
9456811000001101,Azathioprine 25mg tablets 28 tablet - Kent Pharma (UK) Ltd
2018911000001104,Azathioprine 25mg tablets 100 tablet - Kent Pharma (UK) Ltd
29997811000001108,Azathioprine 25mg tablets - Mawdsley-Brooks & Company Ltd
29997911000001103,Azathioprine 25mg tablets 28 tablet - Mawdsley-Brooks & Company Ltd
29998011000001101,Azathioprine 25mg tablets 100 tablet - Mawdsley-Brooks & Company Ltd
24505211000001107,Azathioprine 25mg tablets - Sandoz Ltd
24505411000001106,Azathioprine 25mg tablets 28 tablet - Sandoz Ltd
24505511000001105,Azathioprine 25mg tablets 100 tablet - Sandoz Ltd
10288111000001102,Azathioprine 50mg tablets - Focus Pharmaceuticals Ltd
10288311000001100,Azathioprine 50mg tablets 56 tablet - Focus Pharmaceuticals Ltd
8742911000001104,Azathioprine 5mg capsules - Special Order
8743111000001108,Azathioprine 5mg capsules 1 capsule - Special Order
611111000001100,Azathioprine 25mg tablets - Alliance Healthcare (Distribution) Ltd
2019011000001108,Azathioprine 25mg tablets 28 tablet - Alliance Healthcare (Distribution) Ltd
2019111000001109,Azathioprine 25mg tablets 100 tablet - Alliance Healthcare (Distribution) Ltd
38801911000001101,Azathioprine 25mg tablets - Medihealth (Northern) Ltd
38802011000001108,Azathioprine 25mg tablets 28 tablet - Medihealth (Northern) Ltd
39842711000001103,Azathioprine 25mg tablets 100 tablet - Medihealth (Northern) Ltd
15070411000001103,Azathioprine 25mg tablets - Sigma Pharmaceuticals Plc
15070511000001104,Azathioprine 25mg tablets 28 tablet - Sigma Pharmaceuticals Plc
29773311000001107,Azathioprine 25mg tablets 100 tablet - Sigma Pharmaceuticals Plc
21780411000001106,Azathioprine 25mg tablets - Waymade Healthcare Plc
21780511000001105,Azathioprine 25mg tablets 28 tablet - Waymade Healthcare Plc
21780611000001109,Azathioprine 25mg tablets 100 tablet - Waymade Healthcare Plc
37077111000001106,Azathioprine 50mg tablets - Relonchem Ltd
37077211000001100,Azathioprine 50mg tablets 56 tablet - Relonchem Ltd
37077311000001108,Azathioprine 50mg tablets 100 tablet - Relonchem Ltd
428011000001101,Azathioprine 50mg tablets - Sandoz Ltd
2025311000001100,Azathioprine 50mg tablets 56 tablet - Sandoz Ltd
29907211000001109,Azathioprine 50mg tablets 100 tablet - Sandoz Ltd
715511000001100,Azathioprine 50mg tablets - Teva UK Ltd
