ProdCodeId,Description
1009241000033113,oprisine tablets 50 mg
141241000033112,berkaprine tablets 50 mg
3050441000033115,azathioprine 20mg/5ml oral suspension
3151941000033113,azathioprine 50mg/5ml oral suspension
3188041000033113,azathioprine 10mg capsules
3216241000033117,azathioprine 25mg/5ml oral suspension
5891341000033119,azathioprine 50mg/5ml oral solution
5989441000033119,azathioprine 100mg/5ml oral suspension
6066841000033115,azathioprine 30mg/5ml oral suspension
752841000033111,imuran 50mg powder for solution for injection vials (aspen pharma trading ltd)
754441000033119,imuran 50mg tablets (aspen pharma trading ltd)
755241000033116,imuran tablets 10 mg
755441000033115,imuran 25mg tablets (aspen pharma trading ltd)
755741000033110,immunoprin 50mg tablets (ashbourne pharmaceuticals ltd)
8493941000033115,azathioprine 250mg/5ml oral solution
9702441000033111,azapress 50mg tablets (ennogen pharma ltd)
97241000033118,azathioprine 50mg powder for solution for injection vials
9852141000033113,azathioprine 75mg/5ml oral suspension
98641000033119,azathioprine 25mg tablets
98741000033111,azathioprine 50mg tablets
98841000033118,azathioprine tablets 10 mg
98941000033114,azamune tablets 50 mg
