CTV3Codes,Description
Ub0qp,Cognitive and behavioural therapy
XaABO,Cognitive - behaviour therapy
Xad6J,Cognitive behavioural therapy for psychosis
Xaaa6,Cognitive behavioural therapy parenting programme
XaQC0,Guided self help cognitive behavioural therapy
XaKzQ,Computerised cognitive behavioural therapy
Xa8I9,Generic cognitive behavioural therapy
XaM2I,Cognitive behavioural therapy by unidisciplinary team
XaM2J,Cognitive behavioural therapy by multidisciplinary team
XaM2K,Other specified cognitive behavioural therapy
XaM2L,Cognitive behavioural therapy NOS
XaR2j,Referral to cognitive behavioural therapist
XaR5D,Referral for cognitive behavioural therapy
XaYgB,Referral for high intensity cognitive behavioural therapy
XaZsD,Group cognitive behavioural therapy
