MedCodeID,Description
12115601000006115,Referral for CBTp (cognitive behavioural therapy for psychosis)
12115591000006111,Referral for cognitive behavioural therapy for psychosis
12621561000006110,Signposting for digital cognitive behavioural therapy for insomnia
12621571000006115,Signposting for dCBT (digital cognitive behaviour therapy) for insomnia
12621581000006117,Signposting for dCBT - I (digital cognitive behaviour therapy for insomnia)
12621591000006119,Referral for digital cognitive behavioural therapy for insomnia
12621611000006113,Referral for dCBT - I (digital cognitive behaviour therapy for insomnia)
12621601000006110,Referral for dCBT (digital cognitive behaviour therapy) for insomnia
12621631000006119,Self referral for dCBT (digital cognitive behaviour therapy) for insomnia
12621621000006117,Self referral for digital cognitive behavioural therapy for insomnia
12621641000006112,Self referral for dCBT - I (digital cognitive behaviour therapy for insomnia)
12624801000006114,Digital cognitive behavioural therapy for insomnia
12624811000006112,dCBT - I - digital cognitive behavioural therapy for insomnia
12624821000006116,dCBT (digital cognitive behavioural therapy) for insomnia
12624831000006118,Digital CBT (cognitive behavioural therapy) for insomnia
12627501000006116,CBT-ED - Cognitive behavioural therapy for eating disorders
4981411000006112,Cognitive therapy approach
4981421000006116,Cognitive approach
4981431000006118,Psychotherapy - cognitive
4981401000006114,Cognitive therapy
4981481000006117,Cognitive and behavioural therapy
4981491000006119,Cognitive and behavioral therapy
372421000000112,Cognitive behavioural therapy by unidisciplinary team
5904441000006118,Generic cognitive behavioral therapy
5904431000006111,Generic cognitive behavioural therapy
5904521000006112,Beck cognitive therapy
5904511000006116,Beck's cognitive therapy
5932081000006117,Cognitive restructuring
1480417011,Cognitive stimulation
1885621000006115,CST - Cognitive stimulation therapy
7047931000006112,Cognitive behavioral therapy by multidisciplinary team
2674396013,Cognitive behavioural therapy by multidisciplinary team
7101731000006116,Computerized cognitive behavioral therapy
2695950014,Computerised cognitive behavioural therapy
7229531000006118,Paradoxical intention behavior therapy
643051000000113,Paradoxical intention behaviour therapy
1178851000000114,Guided self help cognitive behavioural therapy
7289181000006115,Guided self-help cognitive behavioural therapy
7289191000006117,Guided self-help cognitive behavioral therapy
1159091000000119,Referral for cognitive behavioural therapy
2272861000000113,Cognitive rehabilitation therapy
7766281000006111,Cognitive behavioral therapy for psychosis
7766271000006113,Cognitive behavioural therapy for psychosis
2502581000000119,CBTp - cognitive behavioural therapy for psychosis
7766291000006114,CBTp - cognitive behavioral therapy for psychosis
8262821000006114,Referral for high intensity cognitive behavioural therapy
2223621000000112,Group cognitive behavioural therapy
2278751000000116,Cognitive behavioural therapy parenting programme
8359441000006112,Rapid instructional pacing
1554781000006115,Cognitive behavioural therapy
372461000000116,Other specified cognitive behavioural therapy
372381000000115,Cognitive behavioural therapy NOS
2475003019,Cognitive-behaviour therapy
