V2Codes,Description
8G13.,Cognitive-behaviour therapy
8G130,Cognitive behavioural therapy parenting programme
8G131,CBTp - cognitive behavioural therapy for psychosis
7L1a.,Cognitive behavioural therapy
7L1a0,Cognitive behavioural therapy by unidisciplinary team
7L1a1,Cognitive behavioural therapy by multidisciplinary team
7L1ay,Other specified cognitive behavioural therapy
7L1az,Cognitive behavioural therapy NOS
8G510,Group cognitive behavioural therapy
8G15.,Computerised cognitive behavioural therapy
8HlK.,Referral for cognitive behavioural therapy
