SNOMEDCTCodes,Description
327083007,Ciclosporin 100mg capsules
1155011000001109,Ciclosporin 100mg capsules 30 capsule
23677311000001108,Ciclosporin 100mg capsules 50 capsule
327082002,Ciclosporin 25mg capsules
1169111000001103,Ciclosporin 25mg capsules 30 capsule
5572011000001109,Ciclosporin 25mg capsules 50 capsule
327085000,Ciclosporin 50mg capsules
1327411000001104,Ciclosporin 50mg capsules 30 capsule
27728811000001103,Ciclosporin 50mg capsules 50 capsule
327090002,Ciclosporin 10mg capsules
1134411000001102,Ciclosporin 10mg capsules 30 capsule
5365211000001102,Ciclosporin 10mg capsules 60 capsule
36139311000001109,Ciclosporin 100mg/ml oral solution sugar free
327093000,Ciclosporin 100mg/ml oral solution sugar free
3490311000001102,Ciclosporin 100mg/ml oral solution sugar free 50 ml
36139511000001103,Ciclosporin 250mg/5ml solution for infusion ampoules
327095007,Ciclosporin 250mg/5ml solution for infusion ampoules
995611000001109,Ciclosporin 250mg/5ml solution for infusion ampoules 10 ampoule
36140311000001101,Ciclosporin 50mg/1ml solution for infusion ampoules
327094006,Ciclosporin 50mg/1ml solution for infusion ampoules
1033811000001107,Ciclosporin 50mg/1ml solution for infusion ampoules 10 ampoule
24158111000001107,Ciclosporin 100mg capsules - Ethigen Ltd
24158211000001101,Ciclosporin 100mg capsules 30 capsule - Ethigen Ltd
25695111000001104,Ciclosporin 100mg capsules - Icarus Pharmaceuticals Ltd
25695311000001102,Ciclosporin 100mg capsules 30 capsule - Icarus Pharmaceuticals Ltd
23428211000001103,Ciclosporin 100mg capsules - J M McGill Ltd
23428311000001106,Ciclosporin 100mg capsules 30 capsule - J M McGill Ltd
17857011000001106,Ciclosporin 100mg capsules - Phoenix Healthcare Distribution Ltd
17857111000001107,Ciclosporin 100mg capsules 30 capsule - Phoenix Healthcare Distribution Ltd
22408311000001108,Ciclosporin 25mg capsules - DE Pharmaceuticals
22408411000001101,Ciclosporin 25mg capsules 30 capsule - DE Pharmaceuticals
26021211000001109,Ciclosporin 25mg capsules - Ennogen Healthcare Ltd
