ProdCodeId,Description
10615741000033116,vanquoral 10mg capsules (teva uk ltd)
1221841000033110,sandimmun 25mg capsules (novartis pharmaceuticals uk ltd)
1221941000033119,sandimmun 100mg capsules (novartis pharmaceuticals uk ltd)
1222041000033113,sandimmun 50mg capsules (novartis pharmaceuticals uk ltd)
1242041000033111,sandimmun intravenous infusion 50 mg/ml
1247941000033110,sandimmun 100mg/ml oral solution (novartis pharmaceuticals uk ltd)
1657941000033110,neoral 10mg capsules (novartis pharmaceuticals uk ltd)
1904241000033116,sangcya sugar-free oral solution 100 mg/ml
3086941000033119,ciclosporin 10mg capsules
3087041000033118,ciclosporin 25mg capsules
3087141000033119,ciclosporin 100mg capsules
3087241000033114,ciclosporin 50mg capsules
3087341000033116,ciclosporin 100mg/ml oral solution sugar free
3156841000033113,ciclosporin 50mg/1ml solution for infusion ampoules
3156941000033117,ciclosporin 250mg/5ml solution for infusion ampoules
3157041000033116,sandimmun 50mg/1ml concentrate for solution for infusion ampoules (novartis pharmaceuticals uk ltd)
3157141000033117,sandimmun 250mg/5ml concentrate for solution for infusion ampoules (novartis pharmaceuticals uk ltd)
5334641000033116,deximune 100mg capsules (dexcel-pharma ltd)
5334741000033113,deximune 50mg capsules (dexcel-pharma ltd)
5334841000033115,deximune 25mg capsules (dexcel-pharma ltd)
5891641000033110,capimune 100mg capsules (mylan)
5891741000033118,capimune 25mg capsules (mylan)
5891841000033111,capimune 50mg capsules (mylan)
6390741000033112,capsorin 25mg capsules (morningside healthcare ltd)
6390841000033119,capsorin 50mg capsules (morningside healthcare ltd)
6390941000033110,capsorin 100mg capsules (morningside healthcare ltd)
958341000033114,neoral 100mg capsules (novartis pharmaceuticals uk ltd)
958441000033115,neoral 25mg capsules (novartis pharmaceuticals uk ltd)
958541000033119,neoral 50mg capsules (novartis pharmaceuticals uk ltd)
964241000033115,neoral 100mg/ml oral solution (novartis pharmaceuticals uk ltd)
9956441000033114,vanquoral 100mg capsules (teva uk ltd)
9956541000033110,vanquoral 50mg capsules (teva uk ltd)
9956641000033111,vanquoral 25mg capsules (teva uk ltd)
