CTV3Codes,Description
XE1S1,Combined oral contraceptive - use
x002N,COC - Combined oral contraceptives
g8A2.,Ethinylestradiol+drospirenone 30micrograms/3mg tablet
g8A1.,Yasmin tablet
g88z.,Ethinylestradiol+gestodene 20micrograms/75micrograms tablet
g888.,Femodette tablet
g88A.,SUNYA 20/75 tablets
g813.,Ethinylestradiol+desogestrel 20micrograms/150micrograms tablet
g812.,Mercilon tablet
g877.,Ethinylestradiol+norethisterone acetate 20micrograms/1mg tablet
g873.,Loestrin 20 tablet
x004H,Ethinylestradiol 30mcg+progestogen
g811.,Marvelon tablet
g822.,Ethinyloestradiol+ethynodiol diacetate 30micrograms/2mg tablet
g821.,Conova 30 tablet
g886.,Ethinylestradiol+gestodene 30micrograms/75micrograms tablet
g882.,Femodene tablet
g889.,KATYA 30/75 tablets
g881.,Minulet tablet
g887.,Ethinylestradiol+gestodene+placebo 30micrograms/75micrograms tablet
g883.,Femodene ED tablet
g83A.,Ethinylestradiol+levonorgestrel 30micrograms/150micrograms tablet
g834.,Microgynon 30 tablet
g83D.,Microgynon 30 ED tablet
g837.,Ovranette tablet
g83B.,Ethinylestradiol+levonorgestrel 30micrograms/250micrograms tablet
g831.,Eugynon 30 tablet
g836.,Ovran 30 tablet
g878.,Ethinylestradiol+norethisterone acetate 30micrograms/1.5mg tablet
g874.,Loestrin 30 tablet
g869.,Ethinylestradiol+norethisterone 35micrograms/500micrograms tablet
g862.,Brevinor tablet
g865.,Ovysmen tablet
g86A.,Ethinylestradiol+norethisterone 35micrograms/1mg tablet
g863.,Neocon 1/35 tablet
g864.,Norimin tablet
g892.,Ethinylestradiol+norgestimate 35micrograms/250micrograms tablet
g891.,Cilest tablet
g83C.,Ethinyloestradiol+levonorgestrel 50micrograms/250micrograms tablet
g851.,Eugynon-50 tablet
g835.,Ovran tablet
g838.,Schering PC4 tablet
g871.,Anovlar-21 tablet
g872.,Gynovalr-21 tablet
g841.,Minilyn tablet
g876.,Minovlar-ED tablet
g875.,Minovlar tablet
g913.,Mestranol+norethisterone 50micrograms/1mg tablet
g911.,Norinyl-1 tablet
g912.,Ortho-Novin 1/50 tablet
x01MH,Phased oral contraceptive
g885.,Triadene tablet
g884.,Tri-Minulet tablet
g832.,Logynon tablet
g833.,Logynon ED tablet
g839.,Trinordiol tablet
g861.,Binovum tablet
g866.,Synphase tablet
g867.,Trinovum tablet
g868.,Trinovum ED tablet
g8...,Combined oral contraceptive - ethinyloestradiol
g815.,GEDAREL 30micrograms/150micrograms tablets
g816.,GEDAREL 20micrograms/150micrograms tablets
g817.,CIMIZT 30micrograms/150micrograms tablets
g818.,LESTRAMYL 20micrograms/150micrograms tablets
