V2Codes,Description
g811.,MARVELON tablets
g812.,MERCILON tablets
g813.,ETHINYLESTRADIOL+DESOGESTREL 20micrograms/150micrograms tablets
g814.,ETHINYLESTRADIOL+DESOGESTREL 30micrograms/150micrograms tablets
g815.,GEDAREL 30micrograms/150micrograms tablets
g816.,GEDAREL 20micrograms/150micrograms tablets
g817.,CIMIZT 30micrograms/150micrograms tablets
g818.,LESTRAMYL 20micrograms/150micrograms tablets
g819.,LESTRAMYL 30micrograms/150micrograms tablets
g81A.,ALENVONA 30micrograms/150micrograms tablets
g81B.,ALENINI 20micrograms/150micrograms tablets
g81C.,BIMIZZA 20micrograms/150micrograms tablets
g82..,ETYNODIOL DIACETATE [COMBINED ORAL CONTRACEPTIVE]
g821.,*CONOVA-30 tablets
g822.,ETHINYLOESTRADIOL+ETHYNODIOL DIAC 30micrograms/2mg tablets
g83..,LEVONORGESTREL [COMBINED ORAL CONTRACEPTIVE]
g831.,*EUGYNON-30 tablets
g832.,LOGYNON tablets
g833.,LOGYNON-ED tablets
g834.,MICROGYNON-30 tablets
g835.,*OVRAN tablets
g836.,*OVRAN-30 tablets
g837.,OVRANETTE tablets
g839.,*TRINORDIOL tablets
g83A.,ETHINYLESTRADIOL+LEVONORGESTREL 30micrograms/150micrograms tablets
g83C.,ETHINYLOESTRADIOL+LEVONORGESTREL 50micrograms/250micrograms tablets
g83D.,MICROGYNON 30 ED tablets
g83E.,LEVEST tablets
g83F.,TRIREGOL tablets
g83G.,RIGEVIDON tablets
g83H.,ELEVIN tablets
g83I.,MAEXENI tablets
g83J.,ERLIBELLE tablets
g841.,*MINILYN tablets
g85..,NORGESTREL [COMBINED ORAL CONTRACEPTIVE]
g851.,*EUGYNON-50 tablets
g861.,BINOVUM tablets
g862.,BREVINOR tablets
g863.,*NEOCON-1/35 tablets
g864.,NORIMIN tablets
g865.,OVYSMEN tablets
g866.,SYNPHASE tablets
g867.,TRINOVUM tablets
g868.,*TRINOVUM ED tablets
g869.,ETHINYLESTRADIOL+NORETHISTERONE 35micrograms/500micrograms tablets
g86A.,ETHINYLESTRADIOL+NORETHISTERONE 35mcg/1mg tablets
g87..,NORETHISTERONE ACETATE [COMBINED ORAL CONTRACEPTIVE]
g871.,*ANOVLAR-21 tablets
g872.,*GYNOVALR-21 tablets
g873.,LOESTRIN-20 tablets
g874.,LOESTRIN-30 tablets
g877.,ETHINYLESTRADIOL+NORETHISTERONE ACETATE 20micrograms/1mg tablets
g9...,COMBINED ORAL CONTRACEPTIVE - MESTRANOL
g911.,NORINYL-1 tablets
g912.,*ORTHONOVIN-1/50 tablets
g913.,MESTRANOL+NORETHISTERONE 50micrograms/1mg tablets
gl...,COMBINED ORAL CONTRACEPTIVE - ESTRADIOL
gl1..,NOMEGESTROL ACETATE (COMBINED ORAL CONTRACEPTIVE)
gl11.,ZOELY 2.5mg/1.5mg tablets
gl12.,NOMEGESTROL ACETATE+ESTRADIOL 2.5mg/1.5mg tablets
g8...,COMBINED ORAL CONTRACEPTIVE - ETHINYLOESTRADIOL
g88..,GESTODENE [COMBINED ORAL CONTRACEPTIVE]
g881.,*MINULET tablets
g882.,FEMODENE tablets
g883.,FEMODENE ED tablets
g884.,*TRI-MINULET tablets
g885.,TRIADENE tablets
g886.,ETHINYLESTRADIOL+GESTODENE 30micrograms/75micrograms tablets
g887.,ETHINYLESTRADIOL+GESTODENE+PLACEBO 30micrograms/75micrograms tablets
g888.,FEMODETTE tablets
g889.,KATYA 30/75 tablets
g88A.,SUNYA 20/75 tablets
g88B.,MILLINETTE 20micrograms/75micrograms tablets
g88C.,MILLINETTE 30micrograms/75micrograms tablets
g88D.,JULIPERLA 20micrograms/75micrograms tablets
g88E.,SOFIPERLA 30micrograms/75micrograms tablets
g88z.,ETHINYLESTRADIOL+GESTODENE 20micrograms/75micrograms tablets
g89..,NORGESTIMATE [COMBINED OC]
g891.,CILEST tablets
g892.,ETHINYLESTRADIOL+NORGESTIMATE 35micrograms/250micrograms tablets
g893.,LIZINNA tablets
g8A..,DROSPIRENONE
g8A1.,YASMIN tablets
g8A2.,ETHINYLESTRADIOL+DROSPIRENONE 30micrograms/3mg tablets
g8A3.,YAZ tablets
g8A4.,ETHINYLESTRADIOL+DROSPIRENONE 20micrograms/3mg tablets
g8A5.,LUCETTE tablets
g8A6.,ACONDRO 30micrograms/3mg tablets
g8A7.,CLEOSENSA 30micrograms/3mg tablets
g8A8.,ELOINE tablets
g8A9.,YACELLA 0.03mg/3mg tablets
gk...,COMBINED ORAL CONTRACEPTIVE - ESTRADIOL VALERATE
gk1..,DIENOGEST (COMBINED ORAL CONTRACEPTIVE)
gk11.,QLAIRA tablets
g838.,*SCHERING-PC4 tablets
g83B.,ETHINYLESTRADIOL+LEVONORGESTREL 30micrograms/250micrograms tablets
g84..,*LYNOESTRENOL
g86..,NORETHISTERONE [COMBINED ORAL CONTRACEPTIVE]
g875.,*MINOVLAR tablets
g876.,*MINOVLAR-ED tablets
g878.,ETHINYLESTRADIOL+NORETHISTERONE ACETATE 30mcg/1.5mg tablets
g91..,NORETHISTERONE [COMBINED ORAL CONTRACEPTIVE]
fh11.,*CYCLO-PROGYNOVA 1mg tablets
fh12.,CYCLO-PROGYNOVA 2mg tablets
fh13.,*MENOPHASE tablets
fh14.,*MIXOGEN tablets
fh15.,*PREMPAK 0.625 tablets
fh16.,*PREMPAK 1.25 tablets
fh17.,PREMPAK-C 0.625 tablets x1 month
fh18.,PREMPAK-C 1.25 tablets x1 month
fh19.,TRISEQUENS tablets
fh1C.,ESTRADIOL+NORETHISTERONE ACETATE 2mg/1mg tablets
fh1D.,*FEMOSTON-2/20 tablets
fh1E.,FEMOSTON-2/10 tablets
fh1F.,TRIDESTRA tablets
fh1G.,FEMOSTON-1/10 tablets
fh1H.,ELLESTE-DUET 2mg tablets
fh1I.,NOVOFEM tablets
fh1J.,*IMPROVERA tablets
fh1K.,ESTRADIOL VALERATE+NORETHISTERONE 2mg/0.7mg tablets
fh1L.,CLIMESSE tablets
fh1M.,ELLESTE-DUET 1mg tablets
fh1P.,*EVOREL PAK patches+tablets
fh1Q.,ELLESTE DUET CONTI tablets
fh1R.,ESTRADIOL+NORETHISTERONE ACETATE 1mg/0.5mg tablets
fh1S.,KLIOVANCE 1mg/0.5mg tablets
fh1T.,NUVELLE CONTINUOUS tablets
fh1U.,FEMOSTON-CONTI tablets
fh1V.,INDIVINA 1mg/2.5mg tablets
fh1W.,INDIVINA 1mg/5mg tablets
fh1X.,INDIVINA 2mg/5mg tablets
fh1Z.,FEMOSTON-CONTI 0.5mg/2.5mg tablets
fh1a.,PREMPAK-C 0.625 tablets x3 months
fh1b.,PREMPAK-C 1.25 tablets x3 months
fh1c.,*TRISEQUENS FORTE tablets
fh1d.,*NUVELLE tablets
fh1f.,*CLIMAGEST tablets x1 month
fh1g.,*CLIMAGEST tablets x3 months
fh1h.,CLIMAGEST 1mg tablets
fh1j.,CLIMAGEST 2mg tablets
fh1k.,PREMIQUE 0.625mg/5mg tablets
fh1l.,*PREMIQUE CYCLE 10mg tablets
fh1m.,*FEMAPAK 80 patches+tablets
fh1n.,*FEMAPAK 40 patches+tablets
fh1o.,*ADGYN COMBI 2mg tablets
fh1t.,*FEMTAB CONTINUOUS tablets
fh1u.,CONJUGATED OESTROGENS 0.3mg / MEDROXYPROGESTERONE ACETATE 1.5mg tablets
fh1v.,PREMIQUE LOW DOSE 0.3mg/1.5mg tablets
fh1w.,CONJUGATED OESTROGENS 0.625mg / MEDROXYPROGESTERONE ACETATE 5mg tablets
fh1x.,DROSPIRENONE 2mg / ESTRADIOL 1mg tablets
fh1y.,ANGELIQ 2mg/1mg tablets
fh1z.,CLINORETTE tablets
fh21.,*CONTROVLAR tablets
