ProdCodeId,Description
1021541000033119,ovran tablets (wyeth pharmaceuticals)
1021641000033118,ovranette 150microgram/30microgram tablets (pfizer ltd)
1021741000033110,ovysmen 500microgram/35microgram tablets (janssen-cilag ltd)
1022041000033119,ovran 30 tablets
10541641000033114,bimizza 150microgram/20microgram tablets (morningside healthcare ltd)
10541741000033117,yacella 0.03mg/3mg tablets (morningside healthcare ltd)
10599741000033112,ethinylestradiol 20microgram / drospirenone 3mg tablets
10599841000033119,eloine 0.02mg/3mg tablets (bayer plc)
10611641000033111,daylette 0.02mg/3mg tablets (consilient health ltd)
10645141000033113,juliperla 75microgram/20microgram tablets (actavis uk ltd)
10645341000033111,sofiperla 75microgram/30microgram tablets (actavis uk ltd)
10982041000033113,cilique 250microgram/35microgram tablets (consilient health ltd)
11736341000033116,yiznell 0.03mg/3mg tablets (lupin healthcare (uk) ltd)
12185141000033110,leandra 30microgram/150microgram tablets (genesis pharmaceuticals ltd)
12194041000033111,ellanite 0.03mg/3mg tablets (stragen uk ltd)
1267141000033118,schering pc4 tablets (schering health care ltd)
13449541000033116,akizza 75microgram/20microgram tablets (morningside healthcare ltd)
13449641000033115,akizza 75microgram/30microgram tablets (morningside healthcare ltd)
13713341000033113,ambelina 150microgram/30microgram tablets (crescent pharma ltd)
1468341000033115,tri-minulet tablets (wyeth pharmaceuticals)
162041000033118,brevinor 500microgram/35microgram tablets (pfizer ltd)
1625541000033112,kliovance tablets (novo nordisk ltd)
1798241000033118,nuvelle continuous tablets (bayer plc)
1890341000033111,femodette tablets (bayer plc)
260341000033119,cilest 35microgram/250microgram tablets (janssen-cilag ltd)
2731641000033115,yasmin tablets (bayer plc)
3191741000033119,estradiol 2mg / norethisterone acetate 1mg tablets
3192641000033116,estradiol 1mg / norethisterone acetate 500microgram tablets
3193141000033119,ethinylestradiol 35microgram / norethisterone 500microgram tablets
3193241000033114,ethinylestradiol 35microgram / norgestimate 250microgram tablets
3193441000033110,levonorgestrel 250microgram / ethinylestradiol 30microgram tablets
3193541000033111,ethinylestradiol 30microgram / gestodene 75microgram tablets
3193641000033112,ethinylestradiol 20microgram / norethisterone acetate 1mg tablets
3193741000033115,ethinylestradiol 30microgram / norethisterone acetate 1.5mg tablets
3193841000033113,ethinylestradiol 30microgram / desogestrel 150microgram tablets
3193941000033117,ethinylestradiol 20microgram / desogestrel 150microgram tablets
3194041000033115,ethinylestradiol 30microgram / levonorgestrel 150microgram tablets
3194141000033116,ethinylestradiol 35microgram / norethisterone 1mg tablets
3194241000033111,mestranol 50microgram / norethisterone 1mg tablets
3194341000033118,ethinylestradiol 30microgram / drospirenone 3mg tablets
3194541000033113,ethinylestradiol 20microgram / gestodene 75microgram tablets
4201241000033111,sunya 20/75 tablets (stragen uk ltd)
4201341000033118,katya 30/75 tablets (stragen uk ltd)
5078441000033114,qlaira tablets (bayer plc)
508441000033118,elleste duet conti tablets (mylan)
5414341000033114,levest 150/30 tablets (morningside healthcare ltd)
5474441000033112,yaz tablets (imported (united states))
556741000033116,eugynon 30 tablets (schering health care ltd)
556841000033114,eugynon 50 tablets (schering health care ltd)
571641000033116,femodene ed tablets (bayer plc)
574741000033110,femodene tablets (bayer plc)
5820441000033112,gedarel 30microgram/150microgram tablets (consilient health ltd)
5820841000033110,gedarel 20microgram/150microgram tablets (consilient health ltd)
5821441000033115,millinette 30microgram/75microgram tablets (consilient health ltd)
5822441000033111,millinette 20microgram/75microgram tablets (consilient health ltd)
5824341000033111,rigevidon tablets (consilient health ltd)
6116641000033112,elevin 150microgram/30microgram tablets (medrx licences ltd)
805541000033114,kliofem tablets (novo nordisk ltd)
8248441000033114,cimizt 30microgram/150microgram tablets (morningside healthcare ltd)
8348341000033114,estradiol 1.5mg / nomegestrol 2.5mg tablets
8348441000033115,zoely 2.5mg/1.5mg tablets (theramex hq uk ltd)
8494041000033118,lizinna 250microgram/35microgram tablets (morningside healthcare ltd)
850041000033115,loestrin 20 tablets (galen ltd)
852341000033117,loestrin 30 tablets (galen ltd)
868441000033118,marvelon tablets (merck sharp & dohme ltd)
8947241000033111,lucette 0.03mg/3mg tablets (consilient health ltd)
905141000033112,mercilon 150microgram/20microgram tablets (merck sharp & dohme ltd)
917941000033116,microgynon 30 tablets (bayer plc)
919541000033116,microgynon 30 ed tablets (bayer plc)
921441000033113,minulet tablets (wyeth pharmaceuticals)
9220441000033113,acondro 0.03mg/3mg tablets (mylan)
9295641000033113,lestramyl 20microgram/150microgram tablets (mylan)
9295741000033116,lestramyl 30microgram/150microgram tablets (mylan)
9301341000033113,alenvona 150microgram/30microgram tablets (teva uk ltd)
9301641000033117,cleosensa 0.03mg/3mg tablets (actavis uk ltd)
9302141000033119,erlibelle 30microgram/150microgram tablets (actavis uk ltd)
9307041000033115,aidulan 20microgram/75microgram tablets (lupin healthcare (uk) ltd)
9307141000033116,aidulan 30microgram/75microgram tablets (lupin healthcare (uk) ltd)
9307341000033118,maexeni 150microgram/30microgram tablets (lupin healthcare (uk) ltd)
9309141000033111,munalea 150microgram/20microgram tablets (lupin healthcare (uk) ltd)
9309241000033116,munalea 150microgram/30microgram tablets (lupin healthcare (uk) ltd)
9808541000033112,dretine 0.03mg/3mg tablets (theramex hq uk ltd)
9808841000033114,alenini 150microgram/20microgram tablets (actavis uk ltd)
987341000033118,norimin 1mg/35microgram tablets (pfizer ltd)
989041000033112,norinyl-1 tablets (pfizer ltd)
3076041000033112,premique low dose 0.3mg/1.5mg modified-release tablets (pfizer ltd)
1136041000033114,premique 0.625mg/5mg tablets (pfizer ltd)
3192741000033113,conjugated oestrogens 625microgram / medroxyprogesterone 5mg tablets
3192841000033115,conjugated oestrogens 300microgram / medroxyprogesterone 1.5mg modified-release tablets
3192941000033111,conjugated oestrogens 625microgram tablets and norgestrel 150microgram tablets
3193041000033118,conjugated oestrogens 1.25mg tablets and norgestrel 150microgram tablets
