SNOMEDCTCodes,Description
3407111000001100,"Estradiol 50micrograms/24hours transdermal patches and Norethisterone acetate 1mg tablets
"
3219511000001103,"Estradiol 50micrograms/24hours transdermal patches and Norethisterone acetate 1mg tablets 3 month supply
"
3219411000001102,"Estradiol 50micrograms/24hours transdermal patches and Norethisterone acetate 1mg tablets 1 month supply
"
17505311000001105,"FemSeven Sequi Phase 2 patches - Mawdsley-Brooks & Company Ltd
"
17505411000001103,"FemSeven Sequi Phase 2 patches 2 patch - Mawdsley-Brooks & Company Ltd
"
3207611000001107,"Nuvelle TS Phase II patches - Bayer Plc
"
3207811000001106,"Nuvelle TS Phase II patches 4 patch - Bayer Plc
"
4725711000001100,"Estradiol 50micrograms/24hours / Levonorgestrel 10micrograms/24hours transdermal patches
"
4709811000001107,"Estradiol 50micrograms/24hours / Levonorgestrel 10micrograms/24hours transdermal patches 2 patch
"
4709911000001102,"Estradiol 50micrograms/24hours / Levonorgestrel 10micrograms/24hours transdermal patches 6 patch
"
3406511000001107,"Estradiol 50micrograms/24hours / Levonorgestrel 20micrograms/24hours transdermal patches
"
3207211000001105,"Estradiol 50micrograms/24hours / Levonorgestrel 20micrograms/24hours transdermal patches 4 patch
"
16178811000001106,"FemSeven Sequi Phase 2 patches - Lexon (UK) Ltd
"
19964411000001100,"FemSeven Conti patches - Lexon (UK) Ltd
"
16178911000001101,"FemSeven Sequi Phase 2 patches 2 patch - Lexon (UK) Ltd
"
19964911000001108,"FemSeven Conti patches 4 patch - Lexon (UK) Ltd
"
37719111000001106,"FemSeven Sequi Phase 2 patches - Pilsco Ltd
"
4710211000001102,"FemSeven Sequi Phase 2 patches - Teva UK Ltd
"
37404211000001107,"FemSeven Conti patches - CST Pharma Ltd
"
37719211000001100,"FemSeven Sequi Phase 2 patches 6 patch - Pilsco Ltd
"
4710411000001103,"FemSeven Sequi Phase 2 patches 6 patch - Teva UK Ltd
"
4710311000001105,"FemSeven Sequi Phase 2 patches 2 patch - Teva UK Ltd
"
37404411000001106,"FemSeven Conti patches 12 patch - CST Pharma Ltd
"
37404311000001104,"FemSeven Conti patches 4 patch - CST Pharma Ltd
"
4338711000001100,"FemSeven Conti patches - Theramex HQ UK Ltd
"
37754511000001106,"FemSeven Sequi Phase 2 patches - CST Pharma Ltd
"
17956511000001108,"FemSeven Sequi Phase 2 patches - Waymade Healthcare Plc
"
4338911000001103,"FemSeven Conti patches 12 patch - Theramex HQ UK Ltd
"
4338811000001108,"FemSeven Conti patches 4 patch - Theramex HQ UK Ltd
"
37754711000001101,"FemSeven Sequi Phase 2 patches 6 patch - CST Pharma Ltd
"
37754611000001105,"FemSeven Sequi Phase 2 patches 2 patch - CST Pharma Ltd
"
17956611000001107,"FemSeven Sequi Phase 2 patches 2 patch - Waymade Healthcare Plc
"
4725711000001106,"Estradiol 50micrograms/24hours / Levonorgestrel 10micrograms/24hours transdermal patches
"
4339811000001101,"Estradiol 50micrograms/24hours / Levonorgestrel 7micrograms/24hours transdermal patches
"
4338611000001109,"Estradiol 50micrograms/24hours / Levonorgestrel 7micrograms/24hours transdermal patches 12 patch
"
4338511000001105,"Estradiol 50micrograms/24hours / Levonorgestrel 7micrograms/24hours transdermal patches 4 patch
"
17503911000001105,Evra transdermal patches - Mawdsley-Brooks & Company Ltd
17504011000001108,Evra transdermal patches 9 patch - Mawdsley-Brooks & Company Ltd
29052711000001103,Evra transdermal patches - Waymade Healthcare Plc
29052811000001106,Evra transdermal patches 9 patch - Waymade Healthcare Plc
10512211000001104,Evra transdermal patches - Dowelhurst Ltd
10512311000001107,Evra transdermal patches 9 patch - Dowelhurst Ltd
4608311000001102,Evra transdermal patches - Janssen-Cilag Ltd
4608811000001106,Evra transdermal patches 9 patch - Janssen-Cilag Ltd
4607911000001102,Ethinylestradiol 33.9micrograms/24hours / Norelgestromin 203micrograms/24hours transdermal patches 9 patch
18646711000001105,Evorel Sequi patches (DE Pharmaceuticals)
36065211000001103,Estradiol 50micrograms/24hours / Norethisterone 170micrograms/24hours transdermal patches
400547001,Estradiol 50micrograms/24hours / Norethisterone 170micrograms/24hours transdermal patches
3506711000001107,Estradiol 50micrograms/24hours / Norethisterone 170micrograms/24hours transdermal patches
3216411000001109,Estradiol 50micrograms/24hours / Norethisterone 170micrograms/24hours transdermal patches 24 patch
3216511000001108,Estradiol 50micrograms/24hours / Norethisterone 170micrograms/24hours transdermal patches 4 patch
3216311000001102,Estradiol 50micrograms/24hours / Norethisterone 170micrograms/24hours transdermal patches 8 patch
37361211000001101,Evorel Conti patches (CST Pharma Ltd)
37361411000001102,Evorel Conti patches (CST Pharma Ltd) 24 patch
37361311000001109,Evorel Conti patches (CST Pharma Ltd) 8 patch
18577911000001103,Evorel Conti patches (DE Pharmaceuticals)
18646611000001101,Evorel Conti patches (DE Pharmaceuticals) 4 patch
18578011000001101,Evorel Conti patches (DE Pharmaceuticals) 8 patch
18057011000001101,Evorel Conti patches (Lexon (UK) Ltd)
18070511000001108,Evorel Conti patches (Lexon (UK) Ltd) 4 patch
18057111000001100,Evorel Conti patches (Lexon (UK) Ltd) 8 patch
16573611000001109,Evorel Conti patches (Mawdsley-Brooks & Company Ltd)
16574011000001100,Evorel Conti patches (Mawdsley-Brooks & Company Ltd) 4 patch
16573711000001100,Evorel Conti patches (Mawdsley-Brooks & Company Ltd) 8 patch
37636711000001103,Evorel Conti patches (Pilsco Ltd)
37636811000001106,Evorel Conti patches (Pilsco Ltd) 24 patch
37718711000001103,Evorel Conti patches (Pilsco Ltd) 4 patch
37636911000001101,Evorel Conti patches (Pilsco Ltd) 8 patch
3216611000001107,Evorel Conti patches (Theramex HQ UK Ltd)
3216811000001106,Evorel Conti patches (Theramex HQ UK Ltd) 24 patch
3216911000001101,Evorel Conti patches (Theramex HQ UK Ltd) 4 patch
3216711000001103,Evorel Conti patches (Theramex HQ UK Ltd) 8 patch
15050811000001104,Evorel Conti patches (Waymade Healthcare Plc)
15050911000001109,Evorel Conti patches (Waymade Healthcare Plc) 4 patch
15170711000001102,Evorel Conti patches (Waymade Healthcare Plc) 8 patch
3940511000001100,Evorel Pak (Janssen-Cilag Ltd)
3940611000001101,Evorel Pak (Janssen-Cilag Ltd) 1 month supply 1 x (8 patches + 12 tablets)
18646811000001102,Evorel Sequi patches (DE Pharmaceuticals) 8 patch
18070811000001106,Evorel Sequi patches (Lexon (UK) Ltd)
18070911000001101,Evorel Sequi patches (Lexon (UK) Ltd) 8 patch
